Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 August 2009,TOMASBBloodhound,10," Note to Hollywood: This is how you make an action film.
","And yes, I'd consider this more of an action film than Sci/fi since it takes place in contemporary times and locations. Nowadays, it can be hard to distinguish an action film from a video game. In fact there is one coming out soon that appears to be both. I guess studios these days feel that kids need something to see while resting their fingers after long days of playing their Nintendos/Playstations/whatever. So they come up with all of these PG-13 action films that are often mere meditations of comic books, toys, or old TV shows. Looking back at T2, one may find the action films of today sorely lacking in comparison.",/review/rw1700863/?ref_=tt_urv
13 March 2008,851222,10," Movie that everyone should see!
",Greetings from Lithuania.,/review/rw1700863/?ref_=tt_urv
4 August 2002,Smells_Like_Cheese,10," This is the sequel that dreams are made of.
","Normally when people tell you about a sequel that was better than the original or just as good, Terminator 2 is always guaranteed to be in their list; why? Because this is THE action movie of all action movies, next to Die Hard, this is the movie that isn't just about the action as well, but has an incredible story and message behind it that will always stay with you. Terminator 2 like the first Terminator film has memorable lines, moments, and incredible effects. This is the film that made you believe in ""liquid metal"" machines. Robert Patrick's performance is flawless, to be honest I found him a million times more terrifying than Arnold in the first Terminator, because Robert looks like this normal average guy, but he's not like Arnold where he gets shot and you can clearly see he's a terminator, Robert goes back to human looking and won't stop. Not only that you don't know how to stop him. Linda Hamilton returns and gives a great performance as Sarah Conor who is no longer a meek little girl, she has turned into a strong woman who will do anything to protect her son and the future. Arnold is back and he's better then ever! No wonder in the future they made several terminators that look like him, he's great entertainment.",/review/rw1700863/?ref_=tt_urv
5 February 2005,mjw2305,10," This Terminator Sequel, may prove to be the best sequel ever made.
","After failing to kill Sarah Conner, the Machines are now trying again, only this time their after John Conner himself, as a boy. Sarah Conner is labelled insane after trying to burn down Cyberdyne Systems, the company that hid the remains of the first terminator she destroyed, and she is committed to a mental institute. John Resents his mother for the way he was brought up, and now lives with his foster parents.",/review/rw1700863/?ref_=tt_urv
5 November 2003,MovieAddict2016,10," He Said He'd Be Back...and He Certainly is!
","Who said sequels aren't any good? ""Terminator 2"" is the ultimate sequel, a big bad wolf ready to chomp the head off of anyone who crosses its path. It's dark, it's mean, and it's one tough movie. It's not as bleak as the first film, at least in terms of visuals, but rather has a new kind of bluish-tint that supplies a great backdrop to the ongoing battle between man and machine.",/review/rw1700863/?ref_=tt_urv
6 January 2018,ivo-cobra8,10," The best action sequel of all time and one of the best Schwarzenegger's movies my personal favorite
","Terminator 2: Judgment Day is (1991) is the best action sci-fi flick movie from the 90's ever made of all time. Terminator 2 is my personal favorite film I absolutely love this movie to death! Is my number 1 best movie ever till today the best of the best epic movie of all time. T2 was nominated for 4.Oscars the only movie of the franchise was nominated for an Oscar. If you watch T2 carefully and follow the story you never got bored and you are very entertained. This movie kicks ass! I love the hospital scenes mostly at night, the Cyberdyne building action sequences and of course steel mill action sequences are perfect for this film. This film deals with a lot of action, sci-fi and does involves a lot of paradox past travel. There is a lot of explosions and automatic weapons used in the movie and they are used well thousands of bullets are fired and explosive projectiles are fired at the police cars. ",/review/rw1700863/?ref_=tt_urv
6 March 2020,MR-ODIN,," Great
","A classic and belongs in the top tier of action films. The action sequences are exciting and plain awesome. Involving an arsenal of weapons, a Harley-Davidson and Arnold Schwarzenegger, action movies don't get better than this.",/review/rw1700863/?ref_=tt_urv
3 July 2017,Fella_shibby,10," Awesome action sequences, terrific sound effects n superb cgi. The chase sequence is awesome.
","I still remember seeing this movie for the first time in 1993 on a VHS. I was completely blown away by the action, special effects n sound. Bought the VHS in '94 n saw countless number of times that the VHS nearly got burned out. Bought a DVD recently n revisited it. T2 is a timeless movie. It is much better than the original. It has superb car chases, big guns, dynamic explosions, gore, tension, suspense, etc. The chase sequence is awesome and nail bitingly intense, it is one of the best action sequences ever made. The pacing is impeccable and the action sequences still stands out. This movie has awesome sound effects, perfect cinematography n impeccable editing. I don't think there must b an action fan who hasn't seen this movie. It has an awesome cgi, action n sound effects. The scene in the Institute where Arnie walks in slow motion with a shot gun n Patrick, the cold emotionless killer, approaching is so full of tension. This movie also has a creepy n dreadful atmosphere. The movie is very violent n action packed.",/review/rw1700863/?ref_=tt_urv
31 August 2015,TheLittleSongbird,10," A bigger, richer sequel that is every bit as fantastic as its predecessor and even surpasses it in some areas
","The original Terminator film is one of the greatest films of the action genre, and still holds up as a fantastic film, not just of its genre but in general too. Terminator 2: Judgement Day is considered one of the best sequels ever made, and it is a consensus that I agree with. While it does lack somewhat in its predecessor's darkness and brutality, it delivers just as much in the writing and action and feels bigger and richer.",/review/rw1700863/?ref_=tt_urv
11 November 2016,Leofwine_draca,10," The purest form of action cinema there is
","At the time of release, this was one of the biggest, most expensive, box office hits ever made. Obviously that reputation has long since been diminished by films which have come since, but I still remember the hype and excitement that surrounded this film when I was but a ten year old boy. Containing Arnold Schwarzenegger's most accessible, likable performance, it's difficult to find fault with this near-masterpiece of adrenaline-pumping action.",/review/rw1700863/?ref_=tt_urv
30 April 2000,Quinoa1984,10," surpasses the original
","Terminator 2 perhaps shows that Cameron was at least was cognizant of life and its meaning. I mean, this IS the movie where the end of the world has the most impact outside of Dr. Strangelove, right? One of those outstanding dream scenes in movies, one of the ones that actually works because it's true in its savage simplicity, Linda Hamilton's Sarah Connor sees herself in her 1984 waitress get up with baby John in a playground and then everything gets wiped out by the BIG BOMB (Dmitri) that also incinerates Hamilton into BBQ.",/review/rw1700863/?ref_=tt_urv
14 October 2005,SeminolePhenom,10," Words cannot describe the greatness of this movie
","A Terminator(Arnold Schwarzenegger) was sent from the future to kill the unborn son of Sarah Connor(Linda Hamilton) in the original. Now, that Terminator has been sent back again but with a different assignment: Protect John Connor. John Connor(Edward Furlong) is now about 10 years of age and must evade a new Terminator sent to kill him;The T-1000(Robert Patrick). Sarah, John, and The Terminator journey together on their quest to stop Judgement Day, with a trailing, shape-shifting Termiantor trailing from behind.",/review/rw1700863/?ref_=tt_urv
7 November 2013,SnoopyStyle,10," Great action and much more
","The future John Connor has sent a T-101 (Arnold Schwarzenegger) to protect the teenage John Connor (Edward Furlong) from the most advanced Terminator ever, the T-1000 (Robert Patrick). It's mimetic poly-alloy material allow it to mimic anything it touches. John must retrieve his mother Sarah Connor (Linda Hamilton) from the psychiatric hospital.",/review/rw1700863/?ref_=tt_urv
26 February 2002,SmileysWorld,9," One sequel that out does the original
","I am not a big fan of sequels,as most of them disappoint,but T2 certainly does not.In fact,it's a rare case,at least in my opinion, of a sequel actually surpassing the original film in terms of greatness.As in 99.9% of his films,Arnold Schwarzenegger is the good guy once again,but you don't mind once you witness the incredible villain performance of Robert Patrick.This film is nothing short of a beginning to end thrill ride.Let us not forget the talents of Linda Hamilton and Edward Furlong,who gave great supporting efforts.Thumbs up!",/review/rw1700863/?ref_=tt_urv
10 July 2021,Calicodreamin,10," Hasta la vista baby
",The best terminator movie by far and one of the all time greatest movies ever made. The effects are amazing for the early 90s and hold up even by todays standards. The storyline is easy to follow and the action scenes are amazing. The characters are well cast and the actors sell this movie. An absolute classic.,/review/rw1700863/?ref_=tt_urv
