Review_Date,Author,Rating,Review_Title,Review,Review_Url
1 January 2016,lesleyharris30,9," Filled with Whimiscal Characters and Heartwarming Stories,
","Love Actually is a great movie with several well developed story lines that all come together nicely and a terrific cast that can be both comedic and dramatic. It certainly wasn't an easy film to make and I'm sure the studio must have considered it a huge risk, telling stories from several characters in the space of two hours, with all of them having little to no connection with the others, but it worked, Richard Curtis clearly put hard work in to this script and gathered a very impressive cast to make it a hit. Of course, with the amount of stories there are, some of them felt underdeveloped, I found Alan Rickman and Emma Thompson's to be one of the most compelling, but in the great their story dosen't get any proper closure, Colin Firth's story felt very tight, I would like to have seen more of him with Sienna Guillory, but with a film as crowded as this you are going to feel underwhelmed with certain parts. The films cast really is terrific and is the main reason why a story as complicated and messy as this really works, Liam Neeson shines as a step dad hoping to cheer up the son of his deceased wife, Emma Thompson is delightful as a wife questioning her own decisions, Alan Rickman astounds as a confused husband, Hugh Grant is terrific as a prime minister who discovers love for the first time, every actor puts all their heart in to these roles and they are all a delight to watch. However, the best performance for me would have to be Bill Nighy, who shines in every scene as Billy Mack, playing a character in no way similar to any role he has done previously, he plays a straight up pompous musician, and he does it ridiculously well. Always a fun film to watch at Christmas time, Love Actually is funny, emotional and very sweet, I would recommend it to anyone looking for a good comedy or romance film. ",/review/rw3735028/?ref_=tt_urv
6 April 2004,milareppa,9," Surprisingly Enjoyable
","I hate romantic comedies. I detest them. You can list the actors I avoid watching: Hugh Grant, Sandra Bullock, Richard Gere, Julia Roberts. Romantic comedies make me cringe and I avoid them like the plague so you can imagine the foul mood I was in when I was forced to watch this film.",/review/rw3735028/?ref_=tt_urv
12 December 2020,Ed-Shullivan,10," I will never grow tired of seeing this Christmas classic over...and over...and over...again and again
","I have lost count of how many times I have watched this wonderfully written and acted Christmas romance themed classic film. At least once a year so that would be at least seventeen (17) times now. Great songs, a superb cast from top to bottom, heartwarming romances, and of course a must see ""FEEL GOOD"" ending.",/review/rw3735028/?ref_=tt_urv
28 November 2004,bzb2001,10," A deeply loving film rich in character
","It has been a long time since I have seen a movie so rich in character that I did not want it to end. Love Actually is not a love story, it is a story about love. Love that reinvents itself, multiplies itself, opens itself up, and even devastates.",/review/rw3735028/?ref_=tt_urv
28 August 2021,Northser,10," What a pearl...
","What a surprisingly warm and lovable movie this is, everything falls in place in the end, if there is reincarnation I hope that I will be born again in this film, I love it .!!!!",/review/rw3735028/?ref_=tt_urv
16 September 2015,anaconda-40658,8," Actually, Bill Nighy Gets All the Love Here.
","Love Actually (2003): Dir: Richard Curtis / Cast: Hugh Grant, Liam Neeson, Laura Linney, Bill Nighy, Keira Knightley: Supposedly a portrait of love featuring husbands, wives, grandparents, children, and various friends and relatives embracing in love. That is a fine picture except that it regards broken relationships and a false sense of love within infidelity. So it isn't love actually. Yet the film works due to detailed characters and circumstances. Director Richard Curtis barely holds the dozen or so subplots together but they flow with great detail. Ensemble cast includes Hugh Grant as the new Prime Minister of Britain who is overpowered with feelings towards his coffee steward. Liam Neeson plays a recent widow helping his son cope with love. Laura Linney plays a secretary trying to attract a co-worker but her cell phone is constantly ringing due to her brother being in an institution. Bill Nighy plays an ageing rock star who knows just how bad he is. Colin Firth plays a writer who falls for his Portuguese maid. Keira Knightley plays a newly wed who discovers that her husband's best man secretly had a crush on her. Great ensemble cast help keep the subplots interesting along with numerous superb locations that present different feeling. It doesn't always work due too delusional views of relationships that are the work of fiction if anything. Score: 8 / 10",/review/rw3735028/?ref_=tt_urv
29 May 2005,claudio_carvalho,9," Delightfull Homage to Love
","In London, from five weeks before Christmas up to a month after Christmas, the lives of different persons are linked by love. The Prime Minister (Hugh Grant) and the member of his household, Natalie (Martine McCutcheon); his sister Karen (Emma Thompson), her husband Harry (Alam Rickman) and Harry's secretary, Mia (Heike Makatsch); Harry's employees, Sarah (Laura Linney), a woman with a serious problem in her life, and the designer Karl (Rodrigo Santoro); the writer Jamie Bennett (Colin Firth) and his Portuguese maid Aurélia (Lúcia Moniz); the grieving widow Daniel (Liam Neeson) and his son, Sam; a porn actress and her colleague; the singer Billy Mack (Billy Nighy) and his manager; the just married couple Peter (Chiwetel Ejiofor) and Juliet (Keira Knightley) and their best man Mark (Andrew Lincoln); a British young man that travels to USA, trying to score women in that country. ",/review/rw3735028/?ref_=tt_urv
22 February 2022,sauravjoshi85,8," You'll actually love 'Love Actually'
",Love Actually is a romantic comedy film directed by Richard Curtis. The film stars an ensemble cast.,/review/rw3735028/?ref_=tt_urv
9 December 2021,frankperkins-76225,10," Americans can copy the formula, and it still won't be good.
","Love Actually is a phenomenal Christmas movie. My family and I watch it every year several weeks before Christmas and then on Christmas Eve. Due to our traditions, we celebrate Christmas on Christmas Eve rather than day yet I digress. After the wonderful success of this film there have been many like it, but it still doesn't have the character development and beauty that this one has.",/review/rw3735028/?ref_=tt_urv
8 November 2021,shawn_r_evans,10," Love this movie
","I don't know what it is about this movie. I love the cast and the incredible acting. I just for some reason need to watch it a few times a year. I love how the pornstar characters are still so nervous about kissing each other even though they have had a visual relationship.and still are so nervous to kiss for t
he first time. And the absolute respect he gives her even though they have seen each other nude,and how he doesn't assume anything about her and sees her for who she is not assuming she is just some girl who gets naked for anyone.",/review/rw3735028/?ref_=tt_urv
