Review_Date,Author,Rating,Review_Title,Review,Review_Url
1 August 2021,bakergarrett,7," Don't go into this expecting a monster movie
","Werewolves is not a good monster movie. It's not trying to be. It's trying to be a comedy and a twisty who done it. I think it succeeds at both it kept me guessing and kept me laughing. The two leads are both great, especially the ranger with wholesome attitude. I liked it enough to write this review.",/review/rw7492748/?ref_=tt_urv
4 February 2022,FeastMode,5," So close
","The premise is great, I love the tone, it's pretty funny, and I was generally amused. Everything in the setup intrigued me. But as an overall movie, I feel like it just missed the mark of being something memorable and rewatchable. And while the mystery aspect was well-done, they completely give it away at one point. I'm glad I watched it, but it missed the cut. (1 viewing, 2/3/2022)",/review/rw7492748/?ref_=tt_urv
3 August 2021,paul_haakonsen,6," Definitely a different approach to the werewolf genre...
","When I sat down to watch ""Werewolves Within"", I must admit that I hadn't even heard about the movie, nor seen a trailer or anything, so I wasn't really sure what I was in for here. Yeah, of course the title does sell the concept of this being a werewolf movie, but aside from that, then I only knew this was a horror comedy.",/review/rw7492748/?ref_=tt_urv
13 July 2021,Reviews_of_the_Dead,8," Solid Blend of Murder Mystery with Potential Creature and Comedy
","This was a movie that I popped up on my radar by going to the Gateway Film Center. Jaime was intrigued to check this one out as it looked funny. Horror/comedies can be hit or miss for me, but this did catch my interest to see. I knew that it would be a murder mystery with a potential monster in from the title. It also has Milana Vayntrub, Lilly from the AT&T commercials, and I'm a fan of her. The synopsis is basic that it is a feature adaptation of the video game where werewolves attack a small town.",/review/rw7492748/?ref_=tt_urv
17 October 2021,BA_Harrison,3," Werewolves without.
","In the remote mountain community of Beaverfield, a werewolf is at work, targeting the locals. With the power out, and no way to get help, the townsfolk gather at the local inn, unsure whether one of them is the savage beast in human form.",/review/rw7492748/?ref_=tt_urv
24 February 2022,UniqueParticle,9," I'm tired and still absolutely love this movie!
",Very amusing fun comedy/thriller the scenes flow very well! Melina Vayntrub is gorgeous and I enjoy anything with Sam Richardson. It was nice to hear some 90's music that's from my time even for one scene. Hard to watch with 2 hours sleep but definitely worth the viewing and I'd totally see Werewolves Within.,/review/rw7492748/?ref_=tt_urv
2 July 2021,kaefab,8," movie is hilarious and keeps you guessing til the end
","Its a slow burn, don't expect werewolf action until the end but the slow build up works amazing.",/review/rw7492748/?ref_=tt_urv
8 November 2021,abhibnlcs,8," Enjoyable story leading to a great twist, but not much werewolf action
",This was a very enjoyable movie. I'd say it's a good mix of comedy and thriller. I very much liked the way the twist at the end was presented.,/review/rw7492748/?ref_=tt_urv
25 June 2021,trinaboice,8," Dark comedy with some insightful moments
","IN A NUTSHELL:
The horror comedy is based on a video game Werewolves Within - PlayStation VR that I've never seen or played, so I had absolutely no expectations. It's directed by Josh Ruben and will make you laugh and cringe at the same time.",/review/rw7492748/?ref_=tt_urv
10 August 2021,CinemaClown,," More Amusing Than Thrilling Yet Thoroughly Entertaining
","Beautifully blending & balancing the elements of comedy, horror & whodunnit mystery into a howling gem, Werewolves Within is more amusing than scary yet manages to be captivating from start to finish. Packed with a colourful set of characters whose interplay injects a fresh quality to its witty & kinetic story, this indie comedy horror is one of the better delights of the year.",/review/rw7492748/?ref_=tt_urv
6 October 2021,meddlecore,3," Werewolves Within...Only...Without Werewolves...
","I'm not sure what I was expecting, going into a film that was adapted from a video game...but I can't help but be disappointed by this half assed horror comedy.",/review/rw7492748/?ref_=tt_urv
4 July 2021,MamadNobari97,2," Just Bad in Every Way Possible
","The movie with ""Werewolf"" in the title, and ""comedy"" and ""horror"" as genre tags, kinda unsurprisingly lacks all of them. Maybe 2 second of werewolf, literally zero attempt at comedy, and a handful of miserable attempt at jump scares. Don't watch it.",/review/rw7492748/?ref_=tt_urv
3 July 2021,wisemanfromtowne,3," Long and boring.
","I really tried to watch this one thru, but the dialogue scenes were just too long and boring that I ended up skipping thru till the last scene to find out who the werewolf was. It was just was too drawn out to enjoy. I really wanted to like it.... Oh well.",/review/rw7492748/?ref_=tt_urv
6 July 2021,bigbadbassface,8," Better than average horrody
",If you think Sam Richardson is funny as the awkwardly adorable guy with a heart of gold you will probably like this movie. Enough horror and gore for my dark side but still a good number of chuckle out loud moments. Definitely worth a watch if you're a fan of the dark comedy horror genre.,/review/rw7492748/?ref_=tt_urv
4 July 2021,rpaleschi,3," Disappointing and a Lack of Werewolves
",This movie had the opportunity to be great but really missed the mark and there is a definite lack of werewolf action.,/review/rw7492748/?ref_=tt_urv
6 July 2021,PedroPires90,4," Overacted (and overrated) pretentious quirkness
","I really can't understand why everybody - especially critics - love this film. Josh Ruben didn't convince me with Scare Me and neither with this one. Yes, it's quirkness is the typical quirkness that the White liberals love (the new Wes Anderson's deserves 5 stars even before it was released, just wait for it!).",/review/rw7492748/?ref_=tt_urv
