Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 February 2017,mjplysaght,10," The best show Nickelodeon has aired
","OK, so I was 12 when this show came out and needless to say, I was completely enamored by it. For a TV station like Nickelodeon, best known for its wacky shows like SpongeBob, Rocko's Modern Life and their sitcoms like Drake and Josh, to suddenly come out with this anime-inspired animated series with deep philosophical themes as well as tackling genocide and war, this was a massive step forward.",/review/rw1933458/?ref_=tt_urv
21 September 2018,cuzzinman,10," Great show with fantastic messages, lessons, philosophical discussions, character development, plots, and comedy
","This is show is one of the best shows ever created. There are many great lessons in this show that all people (adults and kids) should learn. The show delves into many branches of philosophy, including moral philosophy, that teaches people how to think critically and to always help and understand others. The show has a fantastic plot filled with great comedy and character development. The show has great action scenes as well! I highly recommend this show to everyone!",/review/rw1933458/?ref_=tt_urv
18 September 2016,A_Different_Drummer,10," I just rewatched the best TV series in the history of the world
",Hi there.,/review/rw1933458/?ref_=tt_urv
11 October 2010,KineticSeoul,9," One of the best animated shows I seen
","This is a anime style cartoon that kids and adults will enjoy watching. It really is one of the best cartoon show I seen in a while, there is little to almost no flaw to this show. I really wished it was longer though, instead of just 3 seasons. It really is a memorable adventure, which has many elements that will keep your attention from beginning to end. Plus just about every characters in this show is memorable and not just the main characters either, and for a bunch of cartoon characters I actually cared about what happens to them. One of the best animated series I seen, and I highly recommend anyone that enjoys a good story in a cartoon to watch this amazing show.",/review/rw1933458/?ref_=tt_urv
30 October 2005,ericjcant-1,10," The best in animated storytelling...
","Even though Avatar is of American origin, it has a lot of Japanese anime influence, particularly visually, but keeps the best of both animation cultures with it's American sense of playfulness and more realized characterization. The creators of Avatar have really crafted an artistic piece of fun and creative storytelling that is a rare gem for American TV. Avatar has strength in all the major areas of film and story, starting at ground level with an exceptionally believable world setting where war is taking place among the different nations. The main characters who find themselves caught in this struggle are three teens named Katara, Sokka, and Aang (the Avatar) who have set forth to bring harmony to the world through their influence and through the powers of the still developing Avatar. There is lot of humor and fun in this show, and you can't help but to really love these characters and their pets. But this is just the beginning of the glue that keeps you coming back. Great plots and stunning visuals are just as much of importance to the overall success of the show. The story lines are top notch, being both episodic in nature and chronologically integral from one show to the next. Each episode usually introduces a new and genuinely interesting opposition and/or characters to be overcome by the end of the show, and visually there is plenty of awe inspiring backgrounds and quality animation. With just enough well paced action, some sincere points of moral conviction (can you believe it), and witty humor makes the show a winning combination. This is entertainment for all ages, and definitely a must see.",/review/rw1933458/?ref_=tt_urv
16 August 2009,Quinoa1984,10," not just a great animated show or 'kids' show, it's a major show of this decade
","Avatar The Last Airbender shouldn't be underestimated. For a while I didn't even look twice at it due to it being on Nickelodeon and me being past the age of watching anything on Nick aside from the classic Nicktoons or Nick shows from the 1990s. But word got around that it was really fantastic, a sort of Kung fu style show where a master goes from place to place having adventures. Turns out the people I heard the word from weren't kidding: the saga of Aang, the last airbender and Avatar, who masters the four elements (air, earth, water, fire) and has to save the world by stopping the power-hungry fire lord, Ozai, is as epic as anything I've ever seen. It's an achievement of storytelling that creeps up on you, and while the first season isn't perfect the second season delivers episode after episode that enriches the characters and makes us care about them as we would in, for obvious example, Star Wars.",/review/rw1933458/?ref_=tt_urv
15 August 2014,theblackscythe,10," A Statement On Perfection. True Unequaled Bliss.
","This review will be very long. I adore this show with every fibre of my being, and view it to be a piece of animated perfection. I implore people to avoid the disgusting live-action adaptation by director M. Night Shyamalan, as it is a disrespectful sham that mocks everything that the show stood for and mastered.So as for the show itself, where to begin? Well let's start with the story overall. ",/review/rw1933458/?ref_=tt_urv
8 August 2010,TheLittleSongbird,10," Brilliant
","Recently, I replied to a thread on the Rocko's Modern Life boards, and I was absolutely shocked to learn that there were those who considered this as Nick's worst. Sorry, I disagree completely. Avatar:The Last Airbender in my opinion doesn't deserve to be included down there with ChalkZone and Rocket Power, if anything this is one of Nick's best shows along with Rocko's Modern Life, Ren and Stimpy and Angry Beavers.",/review/rw1933458/?ref_=tt_urv
23 May 2020,BadgerStorm4345,10," The Greatest American Animation of All Time
","Avatar: The Last Airbender is a very mature show that can be enjoyed at any age. This show has some of the greatest characters of all time and all of them go through realistic character arcs that natural. Gorgeous animation and amazing music give the show a cinematic feel. Despite an incredible first season, each season improves its quality greatly and doesn't cease to surprise and amaze me. Avatar: The Last Airbender is a perfect animated show.",/review/rw1933458/?ref_=tt_urv
13 April 2014,Alex_Hodgkinson,10," Satisfyingly Well-Rounded
","This series has brought out the child in me. I have been watching a series of TV marathons, and started to grow tired of the situation comedies which are there for humour and the serious dramas where everything is so dark and real. I wanted an adventure that is fun and I don't have to see all of the dark, realistic moments. This show was perfect for that. It brought out my inner child with its silly, fun and happy nature, yet still had an exciting, well rounded and intense story. It hit almost every mark.",/review/rw1933458/?ref_=tt_urv
