Review_Date,Author,Rating,Review_Title,Review,Review_Url
26 May 2012,hall895,7," Better than some people think
","Matthew Goode thinks Leap Year is a terrible movie. What's odd about that is Goode is one of the stars of the movie. What's even more odd is that it is not at all a terrible movie. Yes, it is very predictable and formulaic. But sometimes you have to remember that in life there are established formulas because those formulas work. And Leap Year, for what it is intended to be, works. No, it is not by any means a serious motion picture. But not every movie is meant to be The Godfather. There's plenty of room in the world for a light, breezy, enjoyable romantic comedy. And Leap Year fits the bill.",/review/rw3226133/?ref_=tt_urv
9 July 2010,claudio_carvalho,8," Always Kiss Like It Is the First Time and the Last Time
","The uptight stager Anna Brady (Amy Adams) from Boston is a planner that stages apartments for Realtors. Anna has been dating the cardiologist Jeremy (Adam Scott) for four years and they are buying a high standard apartment in Davenport together. Anna expects Jeremy to propose her in a dinner but he gives a pair of rings to her instead and travels to Dublin for a congress. Anna decides to meet him in Dublin on the February 29th and propose him in accordance with an old Irish folklore tradition from the Fifth Century of leap-year proposals by women. However, her airplane is forced to land in Wales due to bad weather and she is not able to find a connection since the Dublin airport is closed. She decides to travel in a supply vessel but she is forced to disembark in Dingle due to a storm. Anna walks to the only restaurant and inn of the area and she hires the cynical and sarcastic owner Declan (Matthew Goode) to drive her to Dublin. Declan accepts to drive her since he needs money to quit his debts and along their journey they have many incidents. But they fall in love for each other but when they finally arrive in Dublin, Jeremy proposes Anna.",/review/rw3226133/?ref_=tt_urv
17 August 2010,someofusarebrave,10," See this movie
","I loved this movie. It was the best romantic comedy I've seen all year, super sweet, with the right amount of sexual tension to keep the audience pegged to the screen without relying on sex to carry the thing through. First comedy I've seen in a long while that didn't somehow contrive to get the characters into bed with one another in order to further the plot along or convince the audience that they did in fact ""love"" each other. Great tale of two people who fall madly in love as one rediscovers her heritage, and one rediscovers his heart. This is the way movies should be made. Watch this movie. Well worth the watching.",/review/rw3226133/?ref_=tt_urv
8 January 2010,MovieZoo,7," Leap Year: nice romantic comedy
","Anna (Amy Adams) - busy, dedicated, talented, goal oriented with one track mind on life matters. Has ""what she wants and not what she needs"".",/review/rw3226133/?ref_=tt_urv
18 January 2021,glgabrielsen,7," This is a good romantic comedy!
","I'm a gruff kind of guy who finds romantic comedies formulaic and cheesy. I never sort of watched Pretty Woman, for goodness sake. And I'm sure the Irish hate it for all the oirishness. But as a romantic comedy, and that is what this is - not an unforgettable, epic movie, but a romantic comedy - it's pretty fine! Left me with a nice feel afterwards, I wasn't even a wee bit annoyed over inconsistencies and stereotypical characters!",/review/rw3226133/?ref_=tt_urv
8 January 2010,StarDragyn,9," Most fun I've had at a theater in quite a while
","I just got back from the theater under an hour ago, and am still in a good mood after having watched this. Some romantic comedies are more comedy than romance, or more romance than comedy, but this one blends the two into something especially delightful. I left the theater with more of a bounce in my step and a wide smile on my face, despite having had a not so great day.",/review/rw3226133/?ref_=tt_urv
1 May 2010,Gordon-11,," A beautiful romantic comedy
","This film is about an American woman who decides to fly to Ireland to surprise her boyfriend, and to propose to him because an Irish tradition allows it.",/review/rw3226133/?ref_=tt_urv
15 May 2021,chexsmate,8," A favorite!
","I've seen this movie multiple times over the years and just watched it again. Amy Adams carries the movie, she's a fantastic actress and Matthew Goode was still good looking in this movie. I have to admit watching her doing that much walking on Ireland's country roads made my feet hurt! The scenery is stunning!",/review/rw3226133/?ref_=tt_urv
9 January 2010,barbicane3333,10," An absolute delight
","I saw Leap Year today. Matthew Goode has been a favorite of mine since his performance in Chasing Liberty with Mandy Moore. Amy Adams was new to me. Both leads were outstanding in this film. I am 58 and single, an old softy who always looks for a good ""chick flick"" and this one is a beaut. I don't want to give away anything. Just see it. You will love the interplay between Amy and Matthew. Theirs is a very sweet romance that builds ever so slowly. For laughs, there are pratfalls and other silliness (that's a good thing). The supporting characters are also funny and charming. The Irish countryside is gorgeous. On the way out, I heard a man behind me tell his wife ""That was a good movie. I'd see it again."" So would I. Definitely!",/review/rw3226133/?ref_=tt_urv
9 June 2015,heartcore9,9," Fun, sweet romance w/two great actors
","This is a sweet, funny romantic comedy. It's silly at times. However, what's silly about it is the situations and some of the plot points. On the flip side, the actors are great dramatic actors and the dialogue isn't over the top silly, so the performances and moments between the two main characters bring it down to earth.",/review/rw3226133/?ref_=tt_urv
6 June 2015,A_Different_Drummer,8," sublime rom-com - VERY under-rated
","Sometimes after seeing (and enjoying) a particular film several times over a period of years -- which BTW is the real acid test of a film, ie, whether it holds up -- you revisit the IMDb database and discover that, for whatever reason, the critics of the day did not agree.",/review/rw3226133/?ref_=tt_urv
13 February 2011,Mag-13,10," Hey folks, it's a date movie.
","So many naysayers complain that Ireland and its people are misrepresented in this film, and that an Irish guy wouldn't go for a materialistic American.",/review/rw3226133/?ref_=tt_urv
