Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 March 2005,The_Void,8," Anything but dull
","Swimming Pool is a first rate film from French genius François Ozon. This thriller makes best use of everything that makes cinema great, and it is therefore a delight to view. Swimming Pool follows Sarah Morton, a British author that travels to her publisher's dream home in France in order to have a rest while she works on her new book. However, her tranquillity is soon disturbed when her publisher's daughter; a sex-crazed, good time girl, turns up out of the blue and turns Morton's rest into something quite different. One criticism that could be, and has been, made of this film is that not a lot a lot happens. That, however, depends on your viewpoint; the action is stretched, but the relaxed tone of the film blends magnificently with the beautiful French scenery, and Ozon's attention to detail with the characters ensures that, although slow, Swimming Pool never descends into boredom and there's always something on offer for it's audience to enjoy. I, personally, was completely entranced from start to finish.",/review/rw3800049/?ref_=tt_urv
7 December 2004,TxMike,," Clever movie that does not reveal itself until at least 15 or 20 minutes after it is over.
","Our neighbor Donna has a knack for buying offbeat DVDs, and 'Swimming Pool' is one of the more. She asked us to see it, and explain it to her. Charlotte Rampling plays the central character of Sarah Morton, a writer who seeks new inspiration at her publisher's vacation home in the south of France. All is well and quiet until Julie (pretty and nubile Ludivine Sagnier) shows up, claiming to be the daughter that Sarah's publisher failed to mention. Sarah and Julie are like fire and ice, oil and water, acid and caustic. Everything that Julie is, carefree, bold, and over sexed, Sarah isn't. Then, what we see developing is Sarah using Julie as the inspiration for her writing. Sarah begins to encourage Julie. And Julie provides much inspiration! This isn't a movie for those put off by nudity or the French habits of liberal sleeping around. But for those who like a clever and absorbing story, that will tingle your brain cells when it is over, having you asking ""What exactly happened?"" , then you will probably enjoy this one.",/review/rw3800049/?ref_=tt_urv
29 April 2005,evanston_dad,7," A Mostly Effective Erotic Thriller
","Makers of erotic thrillers need to be careful, as that is a genre that, if not handled carefully, can quickly fall prey to silliness and excess (think ""Fatal Attraction""). ""Swimming Pool"" is a thriller in the style of ""The Deep End,"" and more than once I was struck by similarities between the two in their respective tones and reliance on water as a recurring visual motif. Also, both films have a middle-aged female as the protagonist who becomes involved in covering up for the actions of a child (in ""The Deep End"" a literal child, in ""Swimming Pool"" a figurative one). Also, both films are completely unpredictable. Neither goes the direction in which the viewer thinks it's going to. However, ""Swimming Pool"" is much more abstract, and its ending leaves you wanting to watch the whole thing over immediately with an entirely different perspective on the action. This gimmick always makes for a memorable ending in movies that employ it, but too often it makes the rest of the movie seem somewhat pale in comparison, and this is the case here. ""Swimming Pool"" plays tricks with your perceptions, but the finale to which the film builds seems somewhat anti-climactic when it finally comes. ",/review/rw3800049/?ref_=tt_urv
26 July 2003,jotix100,8," What's real and what's fiction
","This film owes a great deal of gratitude to the second collaboration between Francois Ozon and his leading lady, Charlotte Rampling. They ought to team up more. ",/review/rw3800049/?ref_=tt_urv
25 March 2017,AnthonyMeg,9," François Ozon's Masterpiece .
","This movie is a real precious piece of art ,and the acting done by ""Charlotte Rampling"" deserves my thanks and appreciation and admiration too, i didn't think that it's going to amaze me with such twisted plot , this movie is in my ten most confusing ends movies , you will not be able to find an appropriate,logical interpretation for the story that easy , every explanation will refuted by another explanation from another viewer,therefor i think this film plot was accurately and purposely done to confound the viewer/mind-blow them so every one has to make interpretation that fits them .",/review/rw3800049/?ref_=tt_urv
17 October 2005,EighthSense,10," How I understood the movie
","The Sara Morton character is sick and tired of writing her stock-in-trade serial books, and wishes for inspiration for something NEW. She says so to her publisher, who wants to keep her writing them, and offers her a stay at his French villa for a rest and change of scenery.",/review/rw3800049/?ref_=tt_urv
29 May 2004,big-16,," Spoiler: Sarah is a woman, not a machine
","I saw the movie today. I think Sarah feels that everybody sees her as an object, not as a woman with sexual longings and desires. (You know, the same way we think of our parents or grandparents.) I don't think she ever had an affair with John. John simply seems as the only Male (sexual) Connection she has in her life. She gets jealous of the new writer, because he is flavour of the week with the publisher John. She craves for some attention, not as a money making machine, but as a WOMAN. She leaves for France, and tries to leave the mother-side of her womanhood behind (even if just for a little while) She finds it hard (because she still phones her father to see if he is all right, but only once in the beginning.) She doesn't want to be seen as a mother, but as a woman. She feels weird getting in touch with her sexual side. Our true selves always come out if there is no one watching over your shoulder, but there always is. That is why she removes the cross from the wall, because she feels uncomfortable going on this journey with God watching over her shoulder. ",/review/rw3800049/?ref_=tt_urv
18 July 2009,secondtake,7," Alluring and Deceptive, Beautifully Spare, Sometimes Slow
",Swimming Pool (2003),/review/rw3800049/?ref_=tt_urv
26 March 2015,Wuchakk,8," Engaging psychological drama with Ludivine Sagnier and Charlotte Rampling
","Released in 2003, ""Swimming Pool"" is a drama/psychological thriller about a popular English novelist named, Sarah (Charlotte Rampling), who vacations at her publisher's villa in France to find inspiration for her next book. Unfortunately, the publisher's oversexed daughter, Julie (Ludivine Sagnier), visits and disrupts her activities.",/review/rw3800049/?ref_=tt_urv
11 June 2004,claudio_carvalho,7," An Excellent Idea Wasted In a Very Disappointing Conclusion
","In London, the successful and weird middle-age writer of police and mystery novels Sarah Morton (Charlotte Rampling) is passing through a phase of lack of inspiration. Her publisher John Bosload (Charles Dance) invites her to spend some summertime days in his house in a small town in France, where there is inclusive a swimming pool. He also suggests her to make the experience of writing about a different theme. Sarah accepts the invitation and travels to the wonderful and lonely place. A few days later, she starts writing again, but her quiet rest is shaken with the unexpected arrival of Julie (Ludivine Sagnier), the sexy daughter of John. From that moment on, reality and dream blends in Sarah's world. I did not dislike this movie, but I believe it is indeed an excellent idea, wasted in a very disappointing conclusion. There are many unexplained subplots and the story is completely open to the most different interpretations, and of course I have mine. But without reading any information or clue from the writer and director François Ozon about his real intention, it is impossible to give a precise clarification. Europeans usually like this type of story, but in this situation, the film does not give necessary hints about the real intention of the plot, and the viewer can speculate only. Charlotte Rampling has a magnificent interpretation, Ludivine Sagnier has a very erotic performance, but to become an excellent film, many clarifications are missing. My vote is seven.",/review/rw3800049/?ref_=tt_urv
