Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 November 2003,Smells_Like_Cheese,10," ""There's no crying in baseball!""
","A League of their Own, another classic movie that I grew up with. I have to admit it, I'm a girl, I totally fell in love with this movie. But I'm one of the rare girls that loves baseball with a passion, I was raised in a very baseball oriented family, we live in Chicago, we kinda have to enjoy sports, lol. But growing up you wonder why baseball, football, basketball are more for the boys vs. the girls, girls can play but are not famous for it and if they are an athlete are accused of being manly. It's a tough world, but when I was 7 years old A League of their Own was released in theaters, my family saw this movie together and my life changed. Sounds silly, but this was the movie that reminded me to stay strong, at the time when women were expected to stay in the kitchen, as hard as they had to work for it, there was a women's baseball league during WWII. A League of their Own explores this hard but extremely fun time for the girls of the All American Baseball League.",/review/rw1006726/?ref_=tt_urv
16 May 2004,JamesHitchcock,7," Entertaining look at an obscure piece of sporting history
","Like most Englishmen, I know about as much about baseball as the average American knows about cricket. I am also not a great fan of sporting films in general, although there are a number of exceptions. Despite this, however, I generally love baseball films, of which there were a number of good examples in the late eighties and early nineties. ('Eight Men Out', 'Field of Dreams' and 'The Natural' all spring to mind). There is something about the sport that seems to lend itself to the cinema; perhaps British filmmakers should consider making a film about cricket, as the two sports have a lot in common. ",/review/rw1006726/?ref_=tt_urv
24 March 2002,SmileysWorld,8," A fitting,funny tribute
","Little did I know as a child that a professional women's baseball league even existed.That just goes to prove what little recognition these ladies have gotten over the years.This film finally pushes them over the top in terms of getting that recognition.Excellent perception and direction by Penny Marshall here in recreating this long ago time;a time of war when the nation needed the simple pleasures of life more than ever,to help them escape,at least temporarily,the horrors of the goings on overseas.With most of the male professional ball players overseas,our beloved women were called upon to fill the void,and boy did they ever fill it!It makes me wish, in some ways,that I could have been there to see it all.A fine comic performance here by Tom Hanks,as Jimmy Dugan, the somewhat reluctant and ignorant(at least,at first) manager of the Rockford Peaches. Outstanding performances as well from Madonna,Rosie O'Donnell,Geena Davis,and Lori Petty.A finer tribute could not have been made.Well done.",/review/rw1006726/?ref_=tt_urv
21 October 2015,AlsExGal,9," Never waste time, never waste an opportunity
","I watched this film for the nth time after many times as part of the ""Trailblazing Women"" series on Turner Classic Movies. After watching the Rosie the Riveter documentary, it really stands out how much women were ""used"" during World War II. They were told how important they were to the war effort. What wasn't emphasized was the transient nature of the situation, that it was ""until the men come back"", so they got used to doing something other than housework if they were married or pretty mind numbing low paying jobs if they were not. The women working in the factories during the war had good paying jobs and some independence for the first times in their lives, the same with the girls in this movie. They not only had good pay, but a place in the limelight, doing something they were good at doing - baseball - with crowds rooting for them, but like Dottie and Kit, they had just been playing as amateurs pre-War. Dottie doesn't want to join the league at first. What Kit says is true - Dotty is the prettier sister, the sister with more baseball talent, and she doesn't want to admit her own competitive spirit until she is given a chance to exercise it, and then that competitiveness somewhat scares her. Tom Hanks is brilliant as Jimmy Dugan, a washed up ball player who drank away the five best years of his career and is recruited to coach the Rockford Peaches. At first he doesn't take this job seriously, but time, a few verbal bouts with Dottie, and a growing attachment to the girls change that. Towards the end of the film he delivers one of the best monologues that I have ever heard about talent, opportunities lost, and the fact that certain moments never come again. I know somebody else wrote these lines, but he delivered them with heart. One line should be emblazoned on everybody's mind - ""If it wasn't hard everyone would do it. The hard is what makes it great."" Don't run away from anything because it is hard.",/review/rw1006726/?ref_=tt_urv
16 February 2001,Drewboy-2,10," What a wonderful film!
","I love this film!  Seeing Geena Davis, Lori Petty, Rosie O'Donnell and Madonna in one film is fantastic.  Having it directed by Penny Marshall makes it all the better.  After I watched it, for some strange reason I felt I'd watched an extended episode of ""Laverne & Shirley"" but this is great for the comedy!",/review/rw1006726/?ref_=tt_urv
3 July 2002,tfrizzell,," Pleasant Experience.
","""A League of Their Own"" tells a story that is rarely discussed in historical circles. The country is immersed in World War II and it is up to the women to keep professional baseball going. The film follows the sometimes rocky relationship between two sisters (Geena Davis and Lori Petty) who go from a small town in the midwest to the major leagues. Tom Hanks does outstanding work as the former player who now manages their team. Madonna and Rosie O'Donnell are among the other girls on the team who keep Hanks on his toes. Penny Marshall's direction is very solid here and she tells the story with a dignified style and grace that works well on the silver screen. A very good comedy-drama from the early-1990s. 4 stars out of 5.",/review/rw1006726/?ref_=tt_urv
15 June 2021,Med-Jasta,10," Perfect movie
",Everything about this movie is executed perfectly. The comedy is funny and isn't forced. The drama is real but not heavy. It's about two serious subjects but the message is in the subtext and doesn't hit you over the head.,/review/rw1006726/?ref_=tt_urv
20 July 2004,DennisLittrell,9," Stylish, warm and fun to watch
","(Note: Over 500 of my movie reviews are now available in my book ""Cut to the Chaise Lounge or I Can't Believe I Swallowed the Remote!"" Get it at Amazon.)",/review/rw1006726/?ref_=tt_urv
23 January 2005,mjw2305,8," A Simple but effective Movie
","Set at the start of World War 2, Geena Davis and Lori Petty are recruited to the first professional baseball league for women. The sisters struggle to keep the league going against the odds, while their own personal rivalry begins to escalate.",/review/rw1006726/?ref_=tt_urv
25 February 2006,rebeljenn,6," a good film for a wide audience
","'A League of Their Own' is a film about an all-female baseball team during the second World War. This film follows the stories about the team of females and their perspective on life and society (as women) during this time in history. I am not a fan of sports or sport-related films, but I did enjoy this one. I think that this film had enough elements for a wider audience to enjoy it. It also is able to combine comedy with drama and history, and it makes an exciting and engaging film with characters that are three-dimension and easy to care about. I think that this is an exciting film, and even if you dislike sports, the film has plenty more to offer for any viewer.",/review/rw1006726/?ref_=tt_urv
