Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 April 2020,howboutthisone_huh,9," eerily funny
","Once when I was starting out as a software engineer, I worked for an aerospace company. They paid a lot of money to relocate me to another city but the first day I started, the contract I was supposed to work on was canceled and so they told me to sit at a table outside the software development manager's office until they found another project for me. This was before cellphones, and tablets and laptops and mostly desktop computers. I had nothing to do for a month and when my table was overrun by other engineers in the same predicament I was usually down at the corporate library because that was the only place with a chair and desk I could sit at. I didn't want to make it appear as if I was useless. I mean, I just moved 2000 miles, so instead of bringing in books to read, I sat there for about a month reading the same corporate engineering manual, over and over and over. After about a month I was assigned to a project but things didn't get much better. I found out there was a pecking order to the programmers according to what their workspace looked like. On budget scraping projects, engineers were typically forced to work in a room without enough chairs or desks. I say desks loosely because sometimes they just had tables, sometimes card tables. Every day it was first come, first served. Anyway, the point is that we used to refer to a room full of engineers as a bullpen and the work the engineers produced under those conditions, well, bs. When I finally got a cubicle to work in, it was heaven. Fast forward 10 years and thanks to silicon valley, cubicles became bad and bullpens became good. Some genius figured out how to convince developers to work in a bullpen in order to save money on office furniture. And they figured out that they could pay these people less money if they provided them with free processed food and drinks. Pay them less, and take part of the savings to buy cheap junk food to give them so you can take away any reason they should be away from their desk or work a normal 8 hour day like everyone else and go home. That's the software development world for you, particularly silicon valley. Or, at least the image of silicon valley that everyone tries to reproduce.",/review/rw5218599/?ref_=tt_urv
13 April 2014,cadillac20,9," Hilarious and Scathing
","Silicon Valley is a TV show that was much talked about even before it's debut on HBO. With the Silicon Valley now finding a Hollywood-like atmosphere in the way it's viewed, the entertainment industry's focus on Silicon Valley and it's unique lifestyle and culture is somewhat new and has yet to find it's equilibrium of representation between the reality of the innovation happening there and the bizarre, comedy ammunition that lies in some of the more eccentric aspects. Mike Judge's Silicon Valley is a damn good start. It's witty and scathing, and takes an sarcastic approach to it with an outsider's eye. Of course, Mike Judge is no outsider, having worked in Palo Alto during the late 80's, and his disdain for it's people and culture shows.",/review/rw5218599/?ref_=tt_urv
10 May 2020,djanimartinov,8," Easy watch , addictive and actually wholesome and funny
","Deserves about a 8.7 . Really flows well , creates a good sense of accomplishment as the story progresses . Likeable characters , unpredictable funny jokes and moments (which is hard to find now a days ) . I also like that the episodes are 30 minutes , they keep it short enough to not make it too focussed on story yet long enough to not make it feel rushed and over filled with 1 liners. Overall a really easy watch as it doesn't require a lot of focus like other hbo shows , and it flows so easy that it becomes addictive as others have mentioned and has a certain likeablity that brings it together without force .",/review/rw5218599/?ref_=tt_urv
23 February 2020,kjproulx,9," One of the Best Television Comedies
","When it comes to Comedy on television, people seem to flock back to classics like Friends or Seinfeld. Before Netflix took over the industry, HBO held the standard for one of the greatest ways to watch new shows. They have proven time and time again that their content is of the highest value. For the most part, every time I start a new show distributed by HBO, I find myself hooked and eager to see more. Recently concluded, I discovered the show Silicon Valley about a year ago and it rapidly became one of my favourite shows. Here's why, if you haven't had the chance to watch it, you absolutely should.",/review/rw5218599/?ref_=tt_urv
17 June 2021,Supermanfan-13,9," So much funnier than I thought it would be!
",Silicon Valley was so much funnier that I originally thought it would be! I never watched it when it was originally on but recently I thought I'd give it a chance after hearing about how good it was for years. I'm glad I did! It had a perfect cast that made this one of the funnier and more underrated tv shows HBO has ever created. Every episode will keep you laughing as much as the previous ones!,/review/rw5218599/?ref_=tt_urv
13 July 2020,peter-laganis,8," Considering all the 6 seasons it's a solid 8/10
","It could have been a 9 or even a 10, but it lacks of character development and tends to repeat itself.
Don't get me wrong. The characters (especially the duo Gilfoyle-Dinesh) are extraordinary and well depicted, but they don't grow along the episodes. They are somehow glued to a repetitive story format.
Richard is a magnet for problems and akward situations, Gilfoyle is the clever and cynical genius, Dinesh is Gilfoyle's perfect counterweight, Erlich has some rare lucid moments and becomes annoying by smoking from his pot, Jared is the good samaritan ""having sex"" ...
Despite those two negative points, this is an intelligent warm tv-show with a gorgeous and humorous venture of an IT company
In conclusion: If you have ever worked for an IT company you will definitely enyoj watching it.",/review/rw5218599/?ref_=tt_urv
31 October 2019,bootsyjam,8," Fantastic but gets repetitive in Seasons 4 and 5
","Truly a one of a kind, with snappy dialogue and great characters charting the pitfalls of start ups in the new tech boom. No one else does it like this.",/review/rw5218599/?ref_=tt_urv
14 May 2014,OmarHartwellWhite,8," Best Comedy CURRENTLY Airing on TV
","I was a little skeptical about this show at first and went into with the impression that I would try it but it would lose my interest after an episode or two. This show so far has been a wonderful surprise. Unlike some comedies that create forced, awkward situations that are only funny to the recorded laugh track that plays, I have burst out laughing from a number of scenes that have aired in the few episodes so far. It is very original, smart, has a believable story and characters and has many funny moments with quite a few scenes that will catch you off guard and you will die laughing. At first this was just a show I was DVR'ing then watching at some point during the week maybe a few days later. However the last few episodes have been great and I have been watching live while it airs because it isn't a stupid comedy, it keeps you interested with a pretty good story.",/review/rw5218599/?ref_=tt_urv
29 September 2022,DiCaprioFan13,8," Hilarious!!
",Silicon Valley was so much funnier that I originally thought it would be. I never watched it when it was originally on tv but recently I thought I'd finally give it a chance after hearing about how good it was for years. I'm so glad that I did! I just finished season 4 and can't wait for the final 2 seasons. I have to admit I didn't care for it that much after the first few episodes but stuck with it and it just continued to get better and better and before you know it you're invested in these characters and care what happens to them. It had a perfect cast that made this one of the funnier and more underrated tv shows HBO has ever created. Every episode will keep you laughing as much as the previous ones.,/review/rw5218599/?ref_=tt_urv
7 April 2014,rasultnt2008,10," This show is smart
",I really don't like other HBO Comedies like Girls and Looking. I heard about this show and I'm a programmer myself so i thought i will give it a chance and I'm not disappointed.,/review/rw5218599/?ref_=tt_urv
