Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 June 2009,VetteRanger,9," A Guilty Favorite
","Gordon Ramsay, a rich and famous chef, years ago hit the reality TV circuit by acting as a consultant to failing restaurants.",/review/rw5072309/?ref_=tt_urv
21 November 2007,magellan333,7," Ramsay makes the show.
","Hell's Kitchen introduced me to Gordon Ramsay. The commercials for that show portray him as a harsh tyrant in a chef's jacket. This is not the case on Hell's Kitchen or on Kitchen Nightmares. Kitchen Nightmares is an enjoyable show that allows the viewer to better understand what goes on behind the scenes of the restaurant business. Part of the the show's entertainment though lies in the incompetence and arrogance of those working in the restaurants Gordon Ramsay sets out to rescue. Without Gordon Ramsay, this show would find itself on The Food Network or TLC. He truly makes the show great as he is hard but fair. He seeks to raise the bar to improve skills, decor and ultimately business. As he does this, it makes for a fairly entertaining reality show.",/review/rw5072309/?ref_=tt_urv
28 September 2011,Meven_Stoffat,10," My favourite guilty pleasure
","In all honesty, I have a gigantic man crush on Gordon Ramsay. There's just no one else like him. He tells it like it is, and There's just nothing he cannot do. Or so it seems. I'll admit I'd hate to be some runt on the show, but that's a good thing. And Kitchen Nightmares is proof that sometimes, one voice IS enough to stop a restaurant from serving crap.",/review/rw5072309/?ref_=tt_urv
29 June 2019,13Funbags,2," So fake
","In every episode the owner has asked Ramsey to come fix their restaurant. Then they fight with him and say there's nothing wrong with their restaurant. Ramsey threatens to leave, the owner wakes up and everything ends up great. Scripted crap.",/review/rw5072309/?ref_=tt_urv
24 May 2011,dcorvino,6," Not as good as the BBC version
","Although I am a fan of the series, the American version of Kitchen Nightmares is not as good as the British version. The American version seems much more dramatic. It is loaded with arguments, family problems, and near fisticuffs. The British version concentrates on the restaurant's problems and how to solve them. It is excellent. I don't want to see a bunch of staged drama (Similar to the fake drama in Cake Boss). I want reality, something that is missing from reality TV! I want to watch Gordon identify the problems, and fix the problems. Along the way, show me how the food is made and improved upon. And by the way, does Gordon really hate every single first meal he has at these restaurants? The chefs can't be that bad, at least not some of them anyway.",/review/rw5072309/?ref_=tt_urv
26 September 2007,DKosty123,8," So Many restaurants serve crap until Gordon Show Them
","The title to this show says it all. Every week Gordon is going to visit a restaurant with problems, show us all the problems, & then suggest & help the folks running the place to fix them up. Will he ever run out of bad places he can find?",/review/rw5072309/?ref_=tt_urv
12 October 2007,Zaniac1273,8," An enjoyable reality series
","After my wife got me addicted to Hell's Kitchen (US) during its first season, we've jumped at the opportunity to watch every show or series we could with Gordon in it.",/review/rw5072309/?ref_=tt_urv
14 July 2020,SadDevilExperience,7," This is the best reality TV series.
","Every episode of Kitchen Nightmares is the same. There's a failing restaurant, and we get an overview of the restaurant and why it's failing. The problems vary from a stubborn chef, a spineless owner, a clueless staff, or some mix of the above, but one thing is common: the food is terrible, but the owners don't seem to believe that. Gordon comes in, sees the restaurant, tries the food (big shock, he doesn't like the food) and he tells the owners that the food is not good, and the owners disagree and insist that their food is good, which leaves Chef Ramsay speechless. Later that night, he observes a terrible dinner service and then later inspects a more than filthy kitchen and Ramsay is furious. After getting the owners on board with change (which takes some time), they relaunch the menu (and most of the time, the decor), and the relaunch is a success, with the exception of a minor hiccup. That is your average Kitchen Nightmares episode........and I love it! There's something hypnotic about watching stubborn people so deep in denial getting yelled at by a decorated chef over how terrible their service and food are. My only concern with this show is how dramatized it is. They seem to focus more on drama between family and coworkers than they do on how a restaurant operates. In addition, some of the exercises Gordon Ramsay does with the owners seemed pointless. There was one episode that took place in a courtroom halfway through and two episodes had the owners boxing their feelings out. Those felt bizarre, like it was purely for theatrics. Other than that, I enjoyed this show. It had a capable formula and even featured some colorful personalities, and it actually made me want start cooking more.",/review/rw5072309/?ref_=tt_urv
13 December 2018,Mat_Nichol,4," Too predictable.
",Spoiler: it's a family run restaurant and they all argue with each other and nobody takes responsibility for anything. One of the staff will storm out shouting/crying.,/review/rw5072309/?ref_=tt_urv
13 August 2011,byerly0503,," Watch 1 Episode and you have seen them all.
","This show holds up to the usual lack of any redeeming values you'd expect in a show on FOX. All of the time on camera is spent watching family members yell at each other, dimwitted employees, Ramsay complaining, and patrons sending food back. Anything related to running a kitchen, the business of a restaurant, or cooking food is omitted. Don't bother to watch more than one episode since they are exactly the same. ",/review/rw5072309/?ref_=tt_urv
