Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 November 2014,DareDevilKid,7," Exciting, Macabre, Gothic Thriller
",Reviewed by: Dare Devil Kid (DDK),/review/rw3288380/?ref_=tt_urv
30 October 2014,pjr235,8," Brilliant!
","Had a great time watching this movie. I'm not a fan of 'old time-y' films but this was a good watch. The story was so that it kept my interest as I kept wondering where it was going to go with all this and I felt at one point it would turn out a bit cliché. I was wrong, and never bored getting from one scene to the next. I recommend it but I can't say much more other than I liked the cast (Don't want to spoil it). Great actors/actresses.",/review/rw3288380/?ref_=tt_urv
8 February 2015,planktonrules,9," One terrific film
","I loved ""Stonehearst Asylum"" and consider it among the best films I've seen recently. However, I'll be honest with you--why I like it probably isn't the reason you'd like the film. As a retired therapist and psychology teacher, I love films that talk about the history of mental health treatment--and this film is set during the bad old days of mental health treatment, when asylums were practically houses of horror. Add to this that the film is based loosely (very loosely) on an Edgar Allen Poe story and you've got most of what you'd need to capture my interest. Fortunately, the film also works when it comes to the acting--and there are some really terrific performances.",/review/rw3288380/?ref_=tt_urv
25 October 2014,RetroRick,9," Take your meds and watch it
","I did enjoy this film. Its a nice piece of Gothic melodrama rather than a Gothic horror (as it's made out to be) not least because its concern is to humanise rather than exploit its subject matter. 19th (and 20th) century mental asylums were fascinating and terrifying places, and fortunately or unfortunately depending on your opinion the film doesn't really explore the worst horrors that took place in those institutions. Etc is one of the 'abuses' that used to be forced on people, but since its still in some circumstances used today (as it can be effective for treating depression amongst other things) its got a slightly ambiguous status as an 'horror' treatment (although I've met people who were profoundly angry at being forced to undergo it). Despite this - the film works very well, not least because we never know quite what to expect from Ben Kingsley and the always top notch David Thewlis as the villains of the piece, and to go with the melodrama there's some genuine villainy & tragedy to keep the narrative going not to mention a few twists and turns.",/review/rw3288380/?ref_=tt_urv
24 October 2015,claudio_carvalho,8," One of the Best Films Released This Year
","A couple of days before 1899 Christmas, the Oxford new graduate Dr. Edward Newgate (Jim Sturgess) arrives at the Stonehearst Asylum for a training period as alienist. He is received by armed men commanded by Mickey Finn (David Thewlis) that takes him to the office of the superintendent Dr. Silas Lamb (Ben Kingsley), who tells that has not received his presentation letter but welcomes his help. Edward is surprised by the unusual treatment of Dr. Lamb that leaves the interns free in the institution instead of drugged and imprisoned. When he is introduced to the patient Eliza Graves (Kate Beckinsale), he becomes infatuated with her. He learns that she has partially mutilated the face of her abusive husband, who is a powerful man, and has been resident at the asylum since a couple of months ago. ",/review/rw3288380/?ref_=tt_urv
5 November 2014,cosmo_tiger,6," A movie that is good & worth seeing but with this cast it should have been better. I can see why it wasn't a big release.
","""Believe nothing of what you hear and only half of what you see."" Edward Newgate (Sturgess) has just graduated medical school and takes a job at a mental institution. When he gets to know his fellow doctors he isn't sure what to think. Little by little he begins to uncover secrets about the asylum and the more he finds out the stranger things seem. This was a good movie but at the same time it was also disappointing. I liked the idea of this and the twists were perfect and placed at the right time. None of them seemed too far fetched, but that also could have been because the movies was about an insane asylum. With a cast like this however I was expecting something a little bit better. Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsly and Michael Caine are all big name actors but the movie never rose to their level. This is a movie that is worth watching but it's best to temper your expectations when you see the cast. Overall, a movie that is good and worth seeing but with this cast I feel it could have been better. I can see why it wasn't a big theater release. I give this a disappointing B-.",/review/rw3288380/?ref_=tt_urv
1 November 2014,EragonOrigins,7," Trailer
",The movie is a good movie but thought I should mention this for the people who has made the trailer for this movie.,/review/rw3288380/?ref_=tt_urv
8 December 2014,mbarnard-smini,9," Highly underrated movie, surprisingly smart and will keep you wanting more
","I only watched this movie because it had the word ""Asylum"" in the title (Honestly - I just hoped it would have some Arkham Asylum type crazies in it). I did not have high expectations when I started watching this movie... ",/review/rw3288380/?ref_=tt_urv
28 October 2014,kandnmorgan,7," Great cast and entertaining
",Great acting from an impressive cast.,/review/rw3288380/?ref_=tt_urv
11 June 2015,TxMike,," Based on an Edgar Allen Poe story, set in 1899 England.
","I found this movie on Netflix streaming movies. Filled with accomplished actors, it is an entertaining tale with a twist at the end.",/review/rw3288380/?ref_=tt_urv
5 February 2015,rioplaydrum,7," Introduces a great debate about the treatment of the mentally ill
","The young doctor Newgate, stumbling in from the cold, introduces himself outside the gates of the isolated and ominous towering buildings of the Stonehearst Asylum, eager to observe and learn.",/review/rw3288380/?ref_=tt_urv
25 October 2014,lunchboxwanderer,9," Very happy I took the time to see this
",Stonehearst Asylum is an excellent movie.,/review/rw3288380/?ref_=tt_urv
