Review_Date,Author,Rating,Review_Title,Review,Review_Url
4 October 2021,jamdub-61934,2," Open your wallet 50!
","First episode showed promise for the first 30 minutes. Then came the club scene! Cheaply done! This is what Power suffered from early on but with better acting and a stronger script it survived. They need to put the money into the production and script. Scenes with 2-3 people in them, no volume background shots to add that believable ambience, no spacing and pacing to the direction. And the club scene had maybe 20 people walking around. You could see that the same people were walking around in circles on camera. If this is a scene which shows a poppin club night for a big guy in the dope game, come on?! I know Starz Paid 50 but he isn't putting it into his production. 2nd episode had us laughing. Again, cheaply made, poor acting and unbelievable script.",/review/rw7385433/?ref_=tt_urv
13 January 2023,sumtim3s00n,5," Liking It Less Each Episode
","First season was mildly entertaining,thought forgettable being written with so many stereotypes and tropes and being formulaic.",/review/rw7385433/?ref_=tt_urv
6 November 2021,darrel076,3," Laughable.
",This show has skipped every detail of what they are doing and glossed over the rest. The way they do everything is wrong. I don't think think anyone writing has even seen drugs before. With bad acting and bad writing atkeast the show isn't realistic. It's consistent in that way.,/review/rw7385433/?ref_=tt_urv
10 December 2021,jstrlxeh,2," Had Such High Hopes
","I had such high hopes for this series. I barely made it through the first episode and only lasted for about 20 minutes of the second. I just found it boring and very poorly acted. Not to mention every second word was the ""n"" word. It got extremely tiresome to listen to after the 2000th time.",/review/rw7385433/?ref_=tt_urv
9 October 2021,wivavog,1," Not gangster , GROSS!
","I love 99% of gangster shows and movies. Dont care about color. This is a big waste of time and money. Only people making out. Are the networks and associates. Getting paid well for ruining modern tv lol. This MIGHT be based on someone's life. But who cares honestly. Trillions have lived. I think they could of found a story. Better then this with ease. Esp given the time they chose and being based ini NEWYORK. Not like anything more interesting happened there. Doesn't have the qualities of any successful show. Such as good actors ( might be ok in other things.) , good execution , a good foundation, good directing , writing, ect! Seems like all there efforts and depth. Go into the absolutely disgusting sex scenes. Which helps the story line how? I mean if you want to watch porn watch porn. Tired of every show acting like the more sex the more woke you are..... Just pathetic and really shows off the industries inability to write quality entertainment. Without 98% filler. I guess they think everyone is just a bunch of sheep. Willing to pay extra for any trash. While not saying anything. Wait, that's what's been going on...... America what happen to self respect ? We look ignorant across the world for many reasons we can solve with ease! I thought we were better then this. But , keep getting proved wrong. Very sad times. But if all that turns you on. Then this show is for you!",/review/rw7385433/?ref_=tt_urv
30 October 2021,ThomasJ_9120,2," BMF trying to be the next Power , low bar to set
",This show has the worst lead and supporting actors I've ever seen aside from a D list movie or some cheap 70s porn movie. 50 Cent should stick to making music because making want to be gangster shows isn't something he's good at The bad acting is only the beginning of BMFS Problems.,/review/rw7385433/?ref_=tt_urv
28 September 2021,cornydanielson,3," Off to a bad start
",Throughout the duration of the episode I couldn't help but notice how bad the acting was and how cliche and poorly paced the episode was as well. The dialogue is often pretty corny and left me laughing most of the time but I'll be tuning in to see if maybe to gets better from here.,/review/rw7385433/?ref_=tt_urv
26 November 2021,ThaRider,2," Lil Meech
","He cannot act.!! Easy word actor of the whole series. He's trying too hard and it is awful. It appears since he's playing his father he has to have the most lines and his ""acting"" is terrible!! He talks likes he has mush in his mouth! Not saying much for the guy that plays Terry at least he has more acting experience but he's not very convincing as the character.",/review/rw7385433/?ref_=tt_urv
27 September 2021,fredyerik,3," Oh boy...
",Beyond cliche.,/review/rw7385433/?ref_=tt_urv
5 October 2021,mimiybyazphil,3," Tacky, and Sad!
","I hate to agree with the low reviewers but this
show is tacky! Bad acting, inconsistent lines,like calling a child Zoe one second and
ZOEY the next! Even the theme song is irratating! Why Tasha Smith, the Queen of ""Ghetto Babymamas""
tried her hand at directing escapes me!",/review/rw7385433/?ref_=tt_urv
