Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 August 2002,Lupercali,," The Jewel in the Crown
","DS 9 is simply the best of the Star Trek series, and, I suspect, will eventually emerge from its black sheep status and be remembered as the most mature and compelling SF series of the 20th century.",/review/rw0316940/?ref_=tt_urv
19 January 2008,mstomaso,10," Innovative, Intelligent and Interesting
","DS9 is one of my all-time favorite television shows. It edges out Star Trek's original series just barely as my favorite in the franchise. I am not going to state that it's the best Star Trek series, because it definitely will not appeal to everybody, but it is my favorite.",/review/rw0316940/?ref_=tt_urv
2 May 2002,Big Movie Fan,," IMAGINATIVE SERIES
",Before Deep Space Nine aired back in 1993 I felt quite a bit of apprehension. How could they have a Star Trek series without a ship going off exploring? I wasn't going to watch it but being a fan Star Trek and Star Trek:The Next Generation I had to watch it.,/review/rw0316940/?ref_=tt_urv
29 April 2020,a_sad_cow,10," The Gold-Pressed Latinum Standard
","I've watched this series at least three times now and it just keeps getting better. The subtleties are incredible, and I keep catching ones I missed the first two times I watched. So, seriously, watch this sober. Season five is great, but season six is unforgettable. But don't skip ahead, as nothing will make sense out of context.",/review/rw0316940/?ref_=tt_urv
19 November 2007,christian94,10," Deep Space Nine – A Space Epic for the Ages
","I remember reading in a plane that there was going to be a new Star Trek Series based on a space station to premiere in January 1993. I had always found the idea of Star Trek very appealing and enjoyed a few movies and original episodes now and then. At that time, I had never really got into The Next Generation which my family and friends seemed to love, but I figured I would at least give this new show a try. As I eventually sat there with my little brother and watched the two-hour pilot, little did I know that this would change my life for the next seven years, as I would have to plan my weekends so that I could catch every new episodes on Saturday nights like football fans' semi-sacred Sunday afternoons.",/review/rw0316940/?ref_=tt_urv
29 September 2021,Mcduff3601,10," This might be the best Trek of all the Star Treks
",I will preface this with I love all Star Treks even the newer crappier ones. But this one...wow. I have taken it upon myself to re-watch EVERYTHING starting with the OG Star Trek. I don't remember loving Deep Space Nine as much as I did after this run through.,/review/rw0316940/?ref_=tt_urv
16 September 2019,schlagzeugplayer,10," Wow the purists hate well Ive learned
","Why is the fact that this show revolves ( no pun intended) on a space station so unsettling to the heavy Trekkies. How many times in all the various incarnations of ST did they go, explore, dock, use a spacestation. So why can't we see one at work w all the various federation and non fed species interacting. Conflicts of some being a mirror of current affairs , the Cardassians and the Bejorans w terrorists and insurgents. Odo head of security, a shapeshifter why couldn't weve had this species before?, Quark a Ferenghi a species of merchants scoundrels,pimps,just all around a seedie character.Dax a being in a sort of reincarnation species that remembers it previous life, who is a counselor, easy on the eyes as they say. Love O'Brian from the SNG, in some ways a throw back to old Scotty. Then they have a doctor, Doctor Bashir like usual.Then there is Captain Benjamin Sisko, he is one of my favorite ST captains. He is strong, a father,his diction is exemplery just as Captain Picard. He has a very compelling way about him. I really want the Trekkies to give this guy his due. I haven't seen the new series in 2018 but Im hoping somehow Sisko reprises his role if possible. Okay now to address the obvious elephant in the room.
DS9 esp later in the series had similarities to another great series not in the ST universe but as a syfy lover in general it was much loved.. B5 or Babylon 5. You see in the real world the writers knew each other and there was some cross communication so it was inevitable.Both stations had a worm hole like plot, entertained sometimes rivaling species and later threatened by all powerful mysterious entity . Goid syfy is good no matter the universe , remember Farscape? Oh and that darn Q is here too.
The writing in this series was superior and there were hints of humor, irony and sometimes the inadequatcy of being human. I highly recommend this series.",/review/rw0316940/?ref_=tt_urv
14 July 2014,TBJCSKCNRRQTreviews,10," Highly refined
","After half a century of occupation, the planet Bajor is finally free of the Cardassians(all but Garak, who remains, seemingly an exile is he really just a tailor? Could he be a spy for them?). Well, more or less the latter will continue to pester them, since there's now a treaty, and they retain some territories. The Provisional Government is a barely cohesive whole and doesn't have much support. Kira(Visitor, speaks her mind even when it'll get her in trouble) is the liaison between them and the Federation, who remain to support the rebuilding effort. The discovery of a nearby wormhole, the only stable known, complicates matters. It will enable travel back and forth between ""our"", quadrant, Alpha, and Gamma, which, until now, was so far away it made little sense to even consider going there. The orbiting station of Deep Space Nine will be a trading post and dock, dealing also with the plentiful traffic, all of which represents a potential help, or threat to the safety of the war-torn lands. And a few seasons in, also once ""the voice"" of this has been found, tensions increase and what was a great show becomes an excellent one.",/review/rw0316940/?ref_=tt_urv
18 February 2010,bkoganbing,10," Universality Of Life
",Star Trek: Deep Space Nine is one of those shows that I really wished was still going on. But if it had to end it certainly had one original ending which I'm not about to reveal. We can only hope that the SyFy channel which is running The Next Generation will bring this one back.,/review/rw0316940/?ref_=tt_urv
28 February 2022,marmar13,8," The good version of Discovery
","DS9 is more character-focused and has longer story arcs than any Star Trek series before it (and after it until Disco). Unlike Disco, which is sheer melodrama, DS9 manages to simultaneously be fun and challenge viewers with dark and thought-provoking content. It's a difficult balance to achieve, and the writing team deserves kudos.",/review/rw0316940/?ref_=tt_urv
