Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 September 2021,planktonrules,8," Interesting and well made...but like the case, frustrating.
","In the late 1960s and into the 70s, an unknown serial killer calling himself 'Zodiac' killed several people in the San Francisco area. How many exactly isn't certain, as the killed appears to have claimed credit for his crimes AND other crimes. In other words, he wanted credit for all sorts of murders...whether he committed them or not. What also makes him unusual is that the guy enjoyed taunting the police and newspapers....and he was also never caught. I mention this because it's all public record...and a search on Google will tell you the case was never solved. And, because of this, no matter how good the movie is (and it is very well made), it must end without the killer being caught.",/review/rw1658353/?ref_=tt_urv
26 March 2007,evanston_dad,9," Not Your Average Serial Killer Movie (And That's a Good Thing)
","""Zodiac"" may frustrate viewers who come to David Fincher's latest film expecting a traditional serial killer thriller. The film begins with a couple of hair-raising and rather brutal recreations of murders carried out by the mysterious killer who terrorized the San Francisco Bay area in the late 1960s and early 1970s. These early scenes are shocking and, compared to the rest of the film, disorienting, because they offer the only time that we come close to seeing events from the killer's perspective. As the film progresses, the Zodiac killer himself fades into the background, and the movie turns into a meticulous and engrossing document of the investigation to track him down, an investigation that includes countless blind alleys and false clues and which to this day has not reached a conclusion. I would be more prone to label the somewhat rambling screenplay as sloppy storytelling if I did not feel that Fincher tells the story exactly as he wants to. The elusive narrative works, because the film is about an elusive villain.",/review/rw1658353/?ref_=tt_urv
4 September 2020,Sleepin_Dragon,9," Terrific movie.
","Based on the wonderful novel, this film brilliantly tells the story of the unknown Zodiac killer, who operated in the late 60's and early 70's.",/review/rw1658353/?ref_=tt_urv
18 January 2016,SnoopyStyle,8," immersive and detailed
","On July 4, 1969, a killer shoots a couple on lovers' lane in Vallejo, California. The boy survives. The San Francisco Chronicle receives a letter from the Zodiac killer to print his letters with symbols. Reporter Paul Avery (Robert Downey, Jr) is on the case with the help of eager cartoonist Robert Graysmith (Jake Gyllenhaal). The brutal murders continue moving to San Francisco. San Francisco police detectives Dave Toschi (Mark Ruffalo) and William Armstrong (Anthony Edwards) are given the case. Other police include Jack Mulanax (Elias Koteas) in Vallejo and Detective Ken Narlow (Donal Logue) in Napa. Defense lawyer Melvin Belli (Brian Cox) appearing on TV gets a call from the supposed killer.",/review/rw1658353/?ref_=tt_urv
16 November 2010,Hitchcoc,8," The World Doesn't Work That Way!
","This is a movie about process. It's about what happens when a case goes cold and simple answers don't suffice. It's a risk taken when one does a fictional presentation of an historical event from fairly recent times. You can stick tot he facts or simply make things up. I enjoyed this film because the three principle characters were real and human. All were in over their heads to some extent. Jake Gyllenhaal character makes that sometimes unfortunate serendipitous discovery and becomes obsessed. The police have done what they can, but without passion and this is what Gyllenhaal's character brings to the game. Unfortunately, so much time has passed and so much has gone cold. So everything is based on circumstance. We must content ourselves with what we find and give up on confessions or witnesses. I knew from the start what the case was about and I recommend that those sourpusses that complain about this film do a little reading (maybe one paragraph on Wikipedia which should handle your attention spans) and then decide whether you want to bother with this. Personally, I thought the acting was superb and it painted a picture of the frustration with trying to solve a case with only bits and pieces.",/review/rw1658353/?ref_=tt_urv
24 July 2007,Smells_Like_Cheese,8," A great thriller about the true story of the brutal Zodiac Killer
","Just a few days ago, my mom and I watched a documentary on the famous Zodiac killer and his victims. It was incredibly interesting so it got me thinking about the film Zodiac that was released this year and lucky enough it was released on DVD today so I rented it. My friend and I just watched it a couple of hours ago and really liked it, especially on how it ended and was over all shot. I thought it was kinda cool how it started off like a documentary type of movie, but then was turning into a thriller that kept you going and guessing, even if you knew the whole story.",/review/rw1658353/?ref_=tt_urv
3 April 2007,classicalsteve,10," The Stranger Urban Americans Fear: A Killer Playing the Most Dangerous Game
","The era in which Zodiac takes place bridges two eras in urban America. The Zodiac appeared on the tail end of a crime-spree that rampaged across the US in the late 1960's. His settling in the SF Bay Area may be one of a number of social phenomenons that pushed America's view of itself out of an innocent 1950's sensibility and into a harder and darker view that became more prevalent starting in the 1970's and into the 1980's. People, even in urban areas, used to be far more trusting of one another, friendly, and civil. Many of the events of the 1960's gave urban Americans a much more cynical and cautious attitude toward people they didn't know. Don't trust or talk to strangers. Better to sacrifice helpfulness than to wind up dead. People are out to take advantage. At least in urban areas nowadays, it seems, people are much less willing to take the risk to meeting someone they don't know, largely out of fear.",/review/rw1658353/?ref_=tt_urv
2 March 2007,TheMovieMark,9," The fear of the real and the unknown...
",Dark. Moody. Atmospheric. All words to describe a candlelight dinner with Johnny Betts. But these words can also be used to accurately describe David Fincher's latest foray into the serial killer genre.,/review/rw1658353/?ref_=tt_urv
2 March 2007,Wolf30x,8," Good, but not what you'd expect
","Usually when a film gets made about a media grabbing unsolved crime, the resulting movie tends to be overtly sensational and at best remotely connected to what really happened. Considering that director David Fincher's last film about a serial killer was the gripping but deeply disturbing Se7en, his take on the Zodiac killer almost seemed primed to be an extreme, nail-biting thriller.",/review/rw1658353/?ref_=tt_urv
2 March 2007,iamkilgoretrout,10," ""This is the Zodiac speaking...""
","I have been highly interested and engrossed in the Zodiac killer story for the last 5 years now and I can say, without doubt, that this is the best and most accurate telling of the story. The film presents numerous details that were unknown to me before seeing it. All of these facts and theories are thrown together in a way that strings the viewer along, you think it's someone, then you get new information and that person is no longer a suspect. Fincher really puts you into the life of a detective working on the case. You feel just as excited when new information comes about and are equally disappointed when it leads to another dead end.",/review/rw1658353/?ref_=tt_urv
