Review_Date,Author,Rating,Review_Title,Review,Review_Url
24 January 2021,RJBrez,10," Best movie of the MCU, incredible from start to finish.
","Infinity War is remembered mostly for how it ends, with good reason. But for me, the entire movie is incredible. Action, humor, cinematography, heartbreak, etc. It was a culmination of 10 years of character development. The benefit of that hard work? The movie can start with incredible action and never let up. Most wouldn't agree because of the ending, but I feel it's the best movie of the MCU (so far). Endgame was awesome, infinity war was better. I think the best part of it was the fact that we had so many cool character meet ups that as fans we never thought we'd see. Thor with the guardians? Wow. Star Lord and Iron Man? Rocket and the winter soldier? We could go on and on. They also mastered the art of humor to help offset some deep deep hurt throughout the story. Thor and Star Lords interactions are pure gold. Thor calling Rocket ""rabbit"" pure gold. Dr Strange and Tony going toe to toe is worth the price of admission as well. I'm going to stop now or I could type forever.",/review/rw4201100/?ref_=tt_urv
23 February 2020,MR-ODIN,," Great
","This movie portrays a villain that by far has been the best out of all the other Marvel antagonists. It shows his personal conflicts, his purpose, as well as his cruelty. The heroes of this film are overshadowed by this, but the ending really makes a mark on the audience.",/review/rw4201100/?ref_=tt_urv
5 February 2021,Alex_Lo,10," Best Cliffhanger of all Time
","A meticulously planned film down to the last detail, where you can see how much love is behind it. Of course, the film delivers impressive show values and action, but besides, it is above all the interactions of the characters that are well thought out. Surprisingly, no character is neglected, and all the storylines of the previous films are brought together amazingly logical. The end is for me one of the best cliffhangers of all time, after the movie I was whacked. In the end, I have to ask myself: What more do I expect from a comic book superhero film? I was perfectly happy, so I can also give a comic book adaptation 10 out of 10 stars.",/review/rw4201100/?ref_=tt_urv
16 February 2021,andreascaloni,9," EMOTIONAL ROLLER COASTER
","Avengers infinity war is an emotional roller coaster. Using the strength of its powerful and interesting villain, the movie successfully brings together the past 10 years of Marvel movies into a largely effective cocktail of super-heroic dramatics. Joe and Anthony Russo create a superhero movie that it's every bit the epic that it needs to be. However prepared you feel, you are not ready for Thanos. Infinity war is stunning, hilarious and heartbreaking.",/review/rw4201100/?ref_=tt_urv
14 March 2021,grztxks,10," Better than Endgame
","Infinity war is one of the best MCU protects. It has a great story, great acting, and awesome looking. If you aren't a Marvel fan or haven't watched most of the previous MCU movies this however, won't be something for you. Let's start with Thanos, definitely one of the best villains, he has a motive, is well played, you can even say that Infinity war tells his story and not the story of a hero. But also most of the other cast members were great in their role and again, if you love Marvel, watch this movie.",/review/rw4201100/?ref_=tt_urv
5 February 2021,Abdulxoxo,8," A superior avengers sequel
","Although this film has 'Avengers' in the title, it ultimately belongs to Thanos. It's his story that drives the whole plot. He is the main characters of this movie, not any of the heroes. Thanos in my opinion is the greatest villain the MCU has ever produced. as a character he is truly threatening. In most of these movies deep down I know the hero will always win. For the first time I wasn't sure if the hero would win or not. Through the movie's entirety I was on the edge of my seat wandering whether my favourite characters would actually make it out of the movie alive. To have a villain with that level of genuine threat I thought was fantastic. I also felt slightly conflicted by his motivations. On the face of it, planning to eliminate half the universe's population is obviously a bad thing; however, after we learn his motivations for wanting to do so, I'd be lying if I didn't say I understood where he was coming from. There are two tones at play in this movie. One of them is a comical tone, mostly coming from the Guardians, Thor and Spider-Man. Predominantly though this movie is dark. Because of the level of threat created by Thanos, there is an emotional aspect to this film that will take the viewer by surprise. There are plenty of large scale action sequences, which are amazing; but there are also some shocking moments that were difficult to deal with. What I can say is that, the running time of two and a half hours absolutely flew by.",/review/rw4201100/?ref_=tt_urv
25 October 2021,Filmdokter,8," It all led to this: superhero film at its best
","#MCUrewatch. A confrontation that has been in the making for dozen of films. Thanos finally arrives. And boy he doesn't disappoint. He is by far the most interesting MCU villain: strong, nuanced and perfectly performed by Brolin. This really is HIS movie. The film has a train like speed and one impressive sequence is followed by the next. Especially the banter between Thor and the Guardians and Iron Man vs Strange is what makes these Marvel films so fun to watch. Great climatic ending (a well ending...). As a stand-alone film it might not be as good as some others but as a showcase of what MCU has achieved, it has never been better.",/review/rw4201100/?ref_=tt_urv
27 July 2021,lalit28595,10," EPIC
",Infinity war seemed much better than endgame to be honest.,/review/rw4201100/?ref_=tt_urv
8 February 2021,uzair-36867,10," To this day one of the most impossible films to pull off
","This film is an achievement unto itself. Unlike any other marvel movie, this deserves to be praised for bringing around 25+ popular characters and putting them all in a cohesive narrative thats unlike anything that came before it.",/review/rw4201100/?ref_=tt_urv
21 April 2021,Puroo,10," How MCU should have always been like
","It was only after the release of Infinity War that I got interest in MCU. Before that I wasn't very much into superhero movies. So a couple of months after this movie released, I skimmed through all the MCU movies from Iron Man to Black Panther. I didn't put much focus into watching them all, since most of them were just following one pattern. Iron Man? A guy gets superpowers, beats the bad guy who wanted to take over the world and saves the day. Captain America? A guy gets superpowers, beats the bad guy who wanted to take over the world and saves the day. Thor? A guy ""loses"" and then gets superpowers, beats the bad guy and saves the day. Even in The Avengers and Age of Ultron it's just ""now all those guys come together, beat the bad guy who wanted to take over the world and save the day"". But Avengers: Infinity War is very much different.",/review/rw4201100/?ref_=tt_urv
7 January 2021,muhammad-66903,10," The best
",This is is the best marvel/avengers movie every minute is very great no cap.,/review/rw4201100/?ref_=tt_urv
29 November 2020,auuwws,10," avengers infinity war
","A wonderful movie and the action scenes in the film are some of the most wonderful, especially in the Battle of Titan. I liked the fact that Thanos was capable of defeating all the battles in the film and he did not use a plan and the end was sad, especially the death of Spider-man",/review/rw4201100/?ref_=tt_urv
