Review_Date,Author,Rating,Review_Title,Review,Review_Url
8 October 2021,Irishchatter,7," It started off strong but ended disoriented
","I honestly don't know wtf the main character needed to go into the room where the old man was, dye his hair red and not attempting to board the plane. At the beginning I was having expectations that it would be thrillingly good which it was but the ending just didn't do it for me chief....",/review/rw7420480/?ref_=tt_urv
19 September 2021,paulyew-45125,6," Atrocious translation
","Great acting, very interesting storyline. As someone who is fluent in Korean, I am watching the show without having to rely on the subtitles. As someone who is also fluent in English, I am reading the subtitles as well. I cannot believe that this high budget production is ruined by shockingly poor translation. For non-Korean speakers who must rely on the subtitles, please believe me when I tell you that the actual dialog is not that poor. It's shame that Netflix does not have any QC over translated subtitles.",/review/rw7420480/?ref_=tt_urv
13 September 2022,Supermanfan-13,8," Will hook you from the start!
","After hearing about all the hype and seeing it was one of the most watched series in the entire world I finally found time to watch Squid Game. I have to admit that I had fun watching it and was very entertained throughout the entire season. It's about hundreds of contestants (who are all down on their luck and need money) that are asked to play children's games for an shot at winning a lot of money, 45.6 billion won (about 33 million dollars). The only thing is these children games are now all deadly and the last contestant standing wins all the money. It will pull you into its world and before you know it you'll be hooked. It's a thriller with lots of twists and lots of violence. This is a show that will stay in your mind long after you watched it. I know it's already been renewed for another seasons so I hope they can keep the same magic they had for season one.",/review/rw7420480/?ref_=tt_urv
29 September 2022,DiCaprioFan13,8," Entertaining!!
","Squid Game is a show that will stay in your mind long after you watched it. After reading all the great reviews and seeing it was one of the most watched series in the entire world I finally found time to watch Squid Game. I have to admit that I had fun watching it and was very entertained throughout the entire season. It's about hundreds of contestants (who are all down on their luck and need money) that are asked to play children's games for an shot at winning a lot of money, 45.6 billion won (about 33 million dollars). The only thing is these children games are now all deadly and the last contestant standing wins all the money. It will pull you into its world and before you know it you'll be hooked. It's a thriller with lots of twists and lots of violence. I know it's already been renewed for another seasons so I hope they can keep the same magic they had for season one.",/review/rw7420480/?ref_=tt_urv
20 September 2021,shanekoggg,9," Great show, horrible VIPs
","I found the show to be fantastic, only ruined by the horrible VIP acting.",/review/rw7420480/?ref_=tt_urv
5 October 2021,AJ_McAninch,6," Over-hyped Netflix Production
","Hype that will not stand up with time. This series does not measure up to the standards of good, much less great, Korean Drama. The cast is excellent, of course (except for the VIPs, though the inside joke on American actors is rich), but the plot is predictable from the beginning through to the end. From the moment 001 (the old man's number is a heavy-handed hint) showed up, the repetition mixed in with violence and gore was evident, and the outcome was always predictable.",/review/rw7420480/?ref_=tt_urv
25 September 2021,shanayneigh,4," Mixtape algorithm
","This show was like a mixtape of other (and better) shows. You can virtually see the Netflix algorithm in action: ""The capitalism parable in Parasite won an Oscar, so let's go with that. And people responded really well to the colorful uniforms and weird masks in Casa de Papel, so let's give people a chance to dress up as our characters on Halloween which will give the show free PR. Oh, and Battle Royale was really successful and influential, so let's pretty much steal that whole concept right down to the classical music and cheery female speaker!""",/review/rw7420480/?ref_=tt_urv
4 October 2021,Edvis-1997,8," 8
",I loved it but three last episodes killed the vibe.,/review/rw7420480/?ref_=tt_urv
26 September 2021,ianwagnerwatches,6," Hollow Pop Art
",*light spoilers of plot details*,/review/rw7420480/?ref_=tt_urv
29 September 2021,gazzalodi,6," Starts off strong then gets pretty weak at the end.
","The first couple of episodes a very well done and pack a punch, but by the end it just seems to run out of steam. The marbles episode was the last real swerve, after that it becomes paint by numbers to the point that I started fast forwarding through most of it just to get it to end.",/review/rw7420480/?ref_=tt_urv
