Review_Date,Author,Rating,Review_Title,Review,Review_Url
20 January 2022,davidmvining,3," A Botched Farewell
","Well, that was not very good.",/review/rw7427849/?ref_=tt_urv
16 October 2021,pmtelefon,4," Who's the audience for this movie?
","Producers will blame the poor box office of ""No Time to Die"" on COVID but that's not why it's bombing. The movie is failing because there is no audience for it. It certainly wasn't made for fans of the Bond films (like me). The movie looks great with terrific location photography, the title is cool and Bond girls Lea Seydoux and Ana de Armas are wildly dreamy. Other than that, this movie has little to offer. The story isn't that interesting and the villain is weak. If there wasn't a lady in the theater (AMC Westbury, NY) laughing once in a while, I wouldn't have even noticed the jokes. It's also about twenty minutes too long. ""No Time to Die"" bites the hand that feeds it. It is, hands down, the worst movie of Daniel Craig's not-so-hot tenure as James Bond.",/review/rw7427849/?ref_=tt_urv
21 January 2022,Red-Barracuda,4," Over-extended, mopey chad
","When I go to see a Bond movie I'm looking for lush music, exotic locations, evil geniuses, fast cars and/or boats and a few gadgets that aren't invisible cars. I want Bond to be swedging with villains and interacting with hot babes on a regular basis. What I don't want is Bond rabbiting on about his feelings for nearly three hours. Now, you may think I am a philistine who can't appreciate believable drama with my thrills. But the thing is that all this naval gazing which is supposed to make the character so 'real' is still co-existing with totally unrealistic action and sci-fi super-weapons. It's a case of wanting your cake and eating it too. Over-the-top action and plots don't combine at all well with constant whining. The counter argument would be if when Ken Loach made his kitchen sink drama 'Up the Junction' he had decided to include exploding helicopters and robots. If that had happened, the critics would be up in arms, saying that, while they admired the gritty presentation of working class people's lives, they were disappointed with Loach's decision to include a robot laser battle at the conclusion. Well, those self-same critics are the ones who are applauding the idea that Bond can infiltrate an evil genius's secret base, while taking time out to mope around and feel a bit sad while doing it. I'm not having it. If you can't have cyborgs in a Ken Loach drama then you sure as hell can't have a Bond with mental health issues.",/review/rw7427849/?ref_=tt_urv
3 October 2021,harineem-209-525488,4," Made by people who dont understand James Bond
","I am a hardcore Daniel Craig bond fan. For me ""Casino Royale"" is the best Bond movie ever made and I have seen multiple times. The only good part in this entire movie is the 10-15 mins Ana de Armas appears, completely lights up the screen, rest of the actresses are nothing to write about.",/review/rw7427849/?ref_=tt_urv
30 May 2022,bobetjo,4," Quite a mess
","This Bond movie was a confusing and rather tedious mess. The were a couple of complaints about ""wokeness"" in the reviews, but I didn't think that was a big issue. The majority of gripes seem to agree with me in that this was not entertaining. The characters of Bond, M, Lieter, Q just didn't feel like they knew what they were doing.",/review/rw7427849/?ref_=tt_urv
5 October 2021,fciocca,3," The part before the intro is good, the rest is a disaster.
","After waiting for two years, finally the newest James Bond is released in theatres, and it is a mess of a film. The first 20 minutes are good, the action is adrenalinic, there are good stunts, and the tension builds up. After the Billie Eilish song, the movie crumbles completely.",/review/rw7427849/?ref_=tt_urv
19 June 2022,qormi,1," This Movie Sucked
","Incomprehensible plot involving DNA poison targeting intended victims or millions of victims. Intended references to the other ""sad"" Bond movie, On Her Majesty's Secret Service, including the line, "" We have all the time in the world"", and the theme song to OHMSS played in the background of one scene. Both movies had similar plots... pandemic unleashed upon the world. Just so dumb.. Bond's love interest was a woman constantly on the verge of tears, who naturally is 20 years younger than him. Everything about this film was ridiculous and it made no sense whatsoever. Nobody in the film was likable and it was way too long. I struggled to stay awake. The action scenes were very phony. It was directed very weirdly; nothing seemed real.",/review/rw7427849/?ref_=tt_urv
2 January 2022,Leofwine_draca,6," And after all that, it's just average
","And so, after endless delays and endless fanfare, we finally have Daniel Craig's final Bond outing. And after all that, the end result is merely average. I enjoyed it, to a degree, but I can tell it's not one that will particularly stand up to repeat viewing. It's overlong, way overlong, with a very slim plot and a story that feels copied from earlier instalments almost scene-for-scene at times. The action is too much about the stunts and CGI and not enough about the suspense or danger, and the whole thing simply goes through the motions. Rami Malek is far too sympathetic to make a good bad guy, and the main problem lies in employing the same two screenwriters for the past 20+ years. No wonder it feels stale. How about giving somebody else a chance?",/review/rw7427849/?ref_=tt_urv
12 October 2021,Med-Jasta,1," The time to die is before watching this movie
","I'm going to rant about this movie. The best this movie gets is okay. And that's after a half an hour when the story finally starts. And even then it's old and gives us nothing really new. The idea of a Bond family is good. But like everything in this movie, they screw up their good ideas. Bond shooting Safin in cold blood was great and satisfying after he should have done that in Spectre to Blofeld. Even though the island was going to blow up, but still cool to see it. And when he rolled the car over on the CIA guy.",/review/rw7427849/?ref_=tt_urv
1 October 2021,Sleepin_Dragon,8," I wasn't expecting that, very entertaining, if long.
","It felt as though we were never going to get to see this, but finally it's here, the question is, was it worth the wait?",/review/rw7427849/?ref_=tt_urv
