Review_Date,Author,Rating,Review_Title,Review,Review_Url
14 April 2007,DVD_Connoisseur,," An underrated Carpenter movie with bite!
","""Vampires"" is great popcorn entertainment. While fans will always compare Carpenter's later movies with his early genre classics, ""Vampires"" is excellent entertainment, even if it isn't an ""important"" or ""milestone"" horror event.",/review/rw0474799/?ref_=tt_urv
13 August 2001,Smells_Like_Cheese,8," If John Carpenter retired with Vampires, it'd be enough to call him one of the great masters of horror
","Why is this movie so appealing? I don't know how to answer this other than what I love about it: James Woods! Vampires is a movie brought to us by horror mastermind John Carpenter who almost gave up film making because he became disgusted by how Hollywood got so greedy. I'm so glad he decided to make Vampires because if not for his touch, I think this movie could have been really bad or bland. I'm very sad to say that Vampires seems to get overlooked or shadowed when people bring up great vampire movies a lot. I think because Blade was also released the same year, so it just got lost in 1998. However, I still love this movie, it's a western horror fright film that I'm sure will have you on the edge of your seat. A lot of people complain about James Woods being too camp in his rolesince when did that become such a bad thing? He's so awesome in this movie and really makes it exciting.",/review/rw0474799/?ref_=tt_urv
2 December 2017,claudio_carvalho,8," The Vampire Slayers and the Master
","The crusader Jack Crow (James Woods), Anthony Montoya (Daniel Baldwin) and their team are vampire slayers working for the Catholic Church under the command of Cardinal Alba (Maximilian Schell). When they find a vampire nest near Mexico, they exterminate all the vampires but their master Jan Valek (Thomas Ian Griffith) that is hidden below earth. Jack, Montoya and their friends go to a motel to celebrate with prostitutes. However, Valek comes to the motel, bites the hooker Katrina (Sheryl Lee) and kills all the vampire slayers but Jack and Montoya that flee taking Katrina with them. Jack has a meeting with Cardinal Alba that asks him to join another team. Jack leaves the meeting with Father Adam Guiteau (Tim Guinee) and decides to hunt down Valek using Katrina as a bait. Will they succeed?",/review/rw0474799/?ref_=tt_urv
22 June 2002,soralapio,8," Strangely appealing
","Ever since I saw a documentary on the making of horror movie special effects, I've wanted to see 'Vampires'. I wasn't disappointed. In this era of cheap computer effects it's really refreshing to see a movie where the special effects are done the old fashioned way. For some bizarre reason I really like Vampires. The plot is somewhat clichéd, the acting is nothing special and yet... I find myself watching this movie over and over again. Somehow the idea of a secret military force funded by the church, dedicated to fighting vampires is thrilling even though I'm not a religious man. I suppose it harkens back to the day of witch hunters. James Woods is great as the grim, dedicated man sworn to destroy all vampires and as the true shocker, the generic Baldwin appearing in the movie does a really good job as well! If you like gory movies, check it out!",/review/rw0474799/?ref_=tt_urv
9 December 2000,rparham,7," Flawed, but fun
","John Carpenter's Vampires is a flawed film, that's for sure.  It is not really terrifying, despite being billed as a horror film.  It is rather brutal, and the film's humor and the actions of the characters have been accused in some quarters of having a misogynistic bent.  So why is this film so much fun?  Two words: James Woods.  An extremely underrated actor, Woods is nearly perfect in the role of cocky Jack Crow, a renowned vampire hunter. He chews scenery with relish, handles his character's off-color humor with panache, and never lets up his colorful performance for one minute.  Is John Carpenter's Vampires art?  No.  Is it great filmmaking?  No.  Is it a good time at the movies with a central performance that will put a smile on your face?  You bet.  And, occasionally, that is enough.  Who says the B-picture is dead?",/review/rw0474799/?ref_=tt_urv
28 October 2003,FiendishDramaturgy,9," Woods at his absolute best. Carpenter's still got ""it.""
",PREMISE,/review/rw0474799/?ref_=tt_urv
1 April 2002,poe426,10," Naysayers, take note...
","Who but John Carpenter would have the savvy to make a ""vampire western,"" and do it so well? His WILD BUNCH is a blue-collar crowd doing a dirty job, led by the cocky James Woods (whose wisecracking but nonetheless no-nonsense approach to hunting vampires reminded me more than a little of the early SPIDER-MAN- the one written by Stan Lee and rendered by Steve Ditko). And, just for the record, the movie IS better than the book. MUCH better. Carpenter manages to evoke a sense of time and place that seems to capture the FEEL of the southwest. The music definitely helps in this regard, but it's the director's filmmaking TECHNIQUE that makes this the almost ""spiritual odyssey"" that it is. When was the last time a movie made you feel you were THERE...?",/review/rw0474799/?ref_=tt_urv
30 October 2013,lastliberal-853-253708,7," Eternal Life... Imortality... can change your heart.
","The modern American west has been overrun by bloodsucking ghouls, and the Catholic Church hires a crew of fearless exterminators to hunt down the undead and drag them into the sun.",/review/rw0474799/?ref_=tt_urv
4 August 1999,leo-96,10," Much better than its reputation!
","I was puzzled by the low rating ""Vampires"" got, it's my favorite movie of 1998/99. Why do I give the date in that manner? I was (un)fortunate enough to see this movie in the uncut version (as shown in France), in the US version and just a few weeks ago in the German one.",/review/rw0474799/?ref_=tt_urv
9 September 2000,BlackMonk,7," This movie lacks a certain ""bite"", but still is not bad.
","The movie opens with a trained, fully-equipped team of vampire slayers, led by Jack Crow (James Woods), methodically purging a ""nest"" of its fanged occupants. This is one of the best scenes of the movie and sets the viewers up to think, ""Hey, these guys know what they're doing. They're some rough-and-ready characters.""",/review/rw0474799/?ref_=tt_urv
9 November 2008,DarthVoorhees,7," It delivers what it advertises
","Vampires isn't a terrific movie but it is able to rise above and be more than just a B movie film about Vampires. The main thing separating this picture from that forgotten direct-to-video film is that it gets a better cast and director than it really deserves. John Carpenter may not be at the top of his 'Halloween' game but he is still able to do what he has all ways done best, create a heightened sense of fear and atmosphere. Vampires does have some blood and gore but it doesn't cover the walls,it's ability to use these fun and quirky characters is the draw. James Woods is that main character, Jack Crow. Crow leads a Vatican approved group of Vampire slayers who have met their match in the form of Valek, the very first bloodsucker. Jack's crew is brutally killed and he and his partner Montoya are the only two left standing. He rebuilds his crew with Katrina who is linked to Valek throuh a bite in her neck.",/review/rw0474799/?ref_=tt_urv
15 October 2020,UniqueParticle,10," Exhilarating vampire flick
",This movie is the bees knees of awesomeness! Jumps right into the action then has a wild turn of events with great music. Daniel Baldwin is so cool so is James Woods; Vampires definitely deserves more credit! Makes me appreciate John Carpenter even more. Top notch 90's experience not much like it.,/review/rw0474799/?ref_=tt_urv
20 January 2007,buzznzipp1995,8," Carpenter's Horror Vamping ...
","I remember back in 1998 when this first was a poster at the local theater. I was interested but didn't think much of this movie at that time. I saw this on video, some years later. John Carpenter's ""VAMPIRES"" story is interesting, but it seems like there was just something missed in the overall picture. Although the places that they traveled to eradicate the 'nests' was very desert-Gothicism, in other words it was the place you would figure they would be. ",/review/rw0474799/?ref_=tt_urv
