Review_Date,Author,Rating,Review_Title,Review,Review_Url
6 August 2016,ComedyFan2010,8," The classic of the teen soaps
","I did not watch much of the show when it was originally on TV. Now, about 25 years after it started I decided to watch something that ""is 90's"" and BH 90210 was the show that right away got into my head.",/review/rw7435131/?ref_=tt_urv
18 January 2003,epiphany-5,," Love It Or Hate It - It's A TV Institution. . .
","It's easy to forget (or not even know) that at one point, Beverly Hills, 90210 (created by Darren Star who'd go on to Melrose Place before the phenomenon that is 'Sex & The City') was the biggest teen-orientated show in the world. Yes - the world! One minute, it was struggling to survive and the next, the stars of the series inspired scenes reminiscent of 'Beatlemania'. And justly so because in those halcyon days of yesteryear, 90210's blend of drama, cheese, humour, pure unadulterated escapism, great scenery in terms of cast and location and strong characterisation was compelling viewing.",/review/rw7435131/?ref_=tt_urv
11 March 2006,Bob-45,," Three! Three!! Three Shows in One!!!
","While ""Beverly Hills 90210"" was making its ten year run, I never watched a single episode. The affairs of rich kids in Beverly Hills really didn't interest me; and, even though Jennie Garth and Tiffani Amber-Thiessan are real eye candy, that wasn't enough to tie me to watching a weekly continuing drama with what I thought would be such an uninteresting subject. However, when the Soap Opera Channel offered the show in sequence five days a week and my wife encouraged me to watch it with her, I reluctantly agreed. I'm glad I did, because ""Beverly Hills 90210"" is, in my opinion, the best written and produced continuing drama in TV history. Why do I say this? Because ""Beverly Hills 90210"" survived two radical format changes and remained consistently watchable for its entire 10 year run. Actually, ""Beverly Hills 90210"" is three different shows: an excellent ""high school teenagers in love"" show; a very good ""college kids antics"" show and a good ""Yuppies in love"" show. The creative talent managed to produce three above average shows with an amazing consistency of story lines and talent, using mostly the original cast. Nobody else has ever done this, at least to my knowledge. The producers are to be commended for keeping the cast remarkable intact, even down to the minor characters. To the best of my knowledge, only one character was played by two different actresses, that being Andrea Zuckerman's grandmother. Compare that to the more prestigious soaps, ""Dynasty"" and ""Dallas."" On ""Dallas"" alone, two actors played Gary Ewing, Digger Barnes, Miss Ellie and Kristen Shepherd (who shot J.R.), and three actors played Jenna Wade, and all of these characters were more important to the show's plotting than Andrea's grandmother.",/review/rw7435131/?ref_=tt_urv
1 October 2019,author-49568,7," Seasons 1-5 Amazing, Seasons 6-10 Meh
","I admit I haven't watched this show for years, so am going on memory here. I watched every episode of Seasons 1-5. When the quality took a nosedive after Season 4 (but Andrea was still around) I started watched it less and less. From what I gathered the plotlines just got more and more ridiculous. The new main actors were all plain like vanilla, like Vincent Young, Jamie Walters, Lindsay Price, Vanessa Marcil, etc. None of the new replacements excited me at all. (Daniel Cosgrove was not bad).",/review/rw7435131/?ref_=tt_urv
30 May 2001,Brian-272,," New wave prime time soap of the 90's that was a major hit.
","This series aimed at teenagers and young adults was a major hit during the 90's. Leading the pack was the turmoil-ridden saga of rich kids at West Beverly Hills High School who all faced the common problems of love, pregnancies, drugs and family crises subjects that are somewhat more common to youth and young adults. The best stories centered on the Walsh family, newly arrived in town, in particular fraternal twins Brandon (Jason Priestly) and Brenda (Shannen Doherty). The gang then included friends Kelly (Jennie Garth), Steve (Ian Ziering), Andrea (Gabrielle Carteris), Donna (Tori Spelling), David (Brian Austin Green) and moody Dylan (Luke Perry). Later other characters came on like Tiffani-Amber Thiessen while others had left. In the final season of the show most of the original cast had left the cast saw many changes during the ten year run. Most of the stars became major celebrities due to the success of the show.",/review/rw7435131/?ref_=tt_urv
14 July 2006,Catherine_Grace_Zeh,10," An absolute FOX classic!
","""BEVERLY HILLS, 90210,"" in my opinion, is an absolute FOX classic! I don't think I've seen every episode, but I still enjoyed it. It's hard to say which episode was my favorite. It would probably have to be the one where Brenda (Shannen Doherty) has a fight with Kelly (Jennie Garth). However, I think it was always sad when friends fought. I always wanted to cry at that. It would have been nice if all the main characters stayed with the show throughout its entire run. It seems that no one stays with a show throughout its entire run. Everyone always gave a good performance, the production design was spectacular, the costumes were well-designed, and the writing was always very strong. In conclusion, I hope some network brings it back on the air for fans of the show to see.",/review/rw7435131/?ref_=tt_urv
29 March 2019,Bored_Dragon,8," Guilty pleasure
","Several years ago, in 2016 I think, I was grabbed by some nostalgia and I started to rewatch ""Beverly Hills, 90210"". Of course, after three seasons it began to bore me and I moved on to something smarter. Since this month I was in total business and private chaos and I had neither the time nor the concentration to devote more seriously to films, I returned to it again. After the fourth season, I must admit it feels good. When you work from morning to night, seven days a week, this is the right choice to relax before going to bed. I think I'll definitely see it through all ten seasons. Maybe it has no value in an artistic and cinematographic sense, nor in terms of philosophical depth, but it has emotional and nostalgic value for us who grew up in the '90s and it is great for letting the brain out to pasture. And to be honest, it is very well made. Perhaps the stories are Utopian and with fairytale happy-endings, but they also make sense and point. The acting is quite solid and technically there are hardly any flaws. In this genre, only ""Heartbreak High"" beats it.",/review/rw7435131/?ref_=tt_urv
27 September 2014,taylorkingston,7," Beverly Hills 90210 is a great show...
","This show is actually so great. It's so fun when I watch this show, considering it started seven years before I was born. I can't believe it started twenty-four years ago. Wow. I mainly started watching this show when I found out that Shannen Doherty was in it, because I watched Charmed and loved her from that. When her character, Brenda, left the show, I was sad. But I realized that the show didn't need that character to be great. It did that all on it's own. It's truly a great watch. Anyone with good taste will enjoy this show. Seeing the rich and famous live in the nineties, on the streets of Beverly Hills, is truly enjoyable.",/review/rw7435131/?ref_=tt_urv
22 December 2007,lucky_star_1,5," Loved this show, but the ending wasn't satisfying
","Beverly Hills 90210 was one of those shows you look back on knowing it defined its era. Along with shows like Saved by the Bell and Dawson's Creek, 90210 was one of THE 90s shows. It had an amazing ensemble cast, the music was great, it was generally fun to watch.",/review/rw7435131/?ref_=tt_urv
19 July 2004,SonicStuart,10," Great show of the 1990's!
","Beverly Hills 90210 is one of the best drama shows of the 1990's! Especially since this show aired on FOX were most of the good drama shows air. This series is about the lives of a group of high school students living in wealthy Beverly Hills neighborhood, then in the later seasons of the show they move on to their college days as they got older. The kids become friends and enemies, fall in and out of love, and go through an endless series of crises as this small group somehow becomes personally involved in every newsworthy social issue from alcoholism to South African apartheid to pregnancy to AIDS. Jason Priestley was one of the coolest actors on this show and so was Ian Ziering! The best actresses on this show were Tiffani Amber Thiessen and Kathleen Robertson. Tiffani Amber Thiessen was also on another FOX series called Fastlane and Jason Priestley is currently on another good FOX series Tru Calling! I can not believe that this series went all the way through the 1990's! I can't wait until they start putting this show out on DVD!",/review/rw7435131/?ref_=tt_urv
