Review_Date,Author,Rating,Review_Title,Review,Review_Url
21 September 2019,GKoeneke,8," ""Criminal: XXX"" is a cool concept!
","I saw David Tenant in the UK version so I watched it. Very good! Then, after 3 Episodes, it went to ""Criminal: Spain"". ???? Same set. Same room, chairs, buttons clock, etc.",/review/rw5144402/?ref_=tt_urv
20 September 2019,gibbs-18172,9," Tennant at his brilliant best
","A superb 3 part unique cop / villain type show that is the best thing on Netflix series of 2019 so far. 4 different 3 parters this one based in the U. K. The others based in Spain, France and Germany. Having already watched 2 of the Spanish episodes I can vouch that I will be a fan. I have decided to rate each country separately. This would have been a 10 but the 3rd episode just missed the mark for me.",/review/rw5144402/?ref_=tt_urv
21 September 2019,gina_gemini,7," MAJOR milestone for Netflix
","This show will appeal best to hardcore TV watchers/Netflix fans. A 'claustrophobic' show with an engaging story, best watched in a confined room, preferably in bed on a cold day, with curtains drawn. :)
truly binge-worthy material.",/review/rw5144402/?ref_=tt_urv
21 September 2019,efd-10467,8," Great Spin on a Police Show
","Just extract the interview part of the standard police show and that's this show, but in a detailed and intense viewpoint.",/review/rw5144402/?ref_=tt_urv
20 September 2019,tb-07119,10," DAVID TENNANT WAS PHENOMENAL
","I've just watched the opening episode for Criminal-UK. David Tennant was incredible, what a performance! I didn't know if I would like the interview-style set-up but it keeps you on your toes the whole way. Great suspense.
I'm looking forward to watching the other episodes, but the show definitely started out strong!",/review/rw5144402/?ref_=tt_urv
20 September 2019,montymonvieux,9," Excellent
","Don't understand why this series has some negative reviews. I find it to be a smart and engaging police drama. Want more episodes, please!",/review/rw5144402/?ref_=tt_urv
21 September 2019,mohinderchugh,," Gripping Police Procedural Show
","It is intense , gripping ,engaging and intelligent Police Procedural Show . It keeps you guessing . Intelligent writing clubbed with good direction and good acting . I will recommend to watch all the Criminal shows Germany France UK.",/review/rw5144402/?ref_=tt_urv
22 September 2020,tilokaudaman,10," Brilliant Acting
","The most remarkable thing about this show is the brilliant acting. Each episode takes place in a police interrogation room where police officers attempt to get a confession from potntial criminals. The effect is absolutely hypnotic with stunning performances from some of the best actors in the UK.
There are plenty of surprises and interesting twists. It's definitely one of the best crime shows currently on Netflex",/review/rw5144402/?ref_=tt_urv
20 September 2019,Shymaa0000,10," hand that man an oscar
","I waited up last night for David Tennant's episode and watched it the second it became online. AND. IT. WAS. WORTH. IT. the acting is so stuble and contained. Tennant barely speak in the first 25 minutes and doesn't move. he never fidget, taps his feet or display any symptom of being human in distress or otherwise. makes determining his guilt one hell of challenge. the detectives are more animated but still, every move is counted for. I immensely enjoyed rewinding just to watch the micro expressions. please, watch it if you wanna stay glued to the screen for 45 minutes.
(I feel we are sympathizing with David Tennant's character because we are used to him as ""the doctor"". we need him to be innocent. stone faced doctor charged with raping and murdering his stepdaughter should have raised a lot more hate and suspicions than I felt)",/review/rw5144402/?ref_=tt_urv
20 September 2019,imdb-ikysmoviedatabase,9," Very interesting
",Seen the United kingdom version with only 3 episodes it was very easy get through and I really enjoyed I'll be looking forward to the rest of the episodes,/review/rw5144402/?ref_=tt_urv
