Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 November 2021,boblipton,10," Very Funny
","Sometimes, when you can't get the right woman, a man can do the job. While people complained with logic that there were no women directors, and no feminist movies,Paul Feig went along directing hilarious feminist tracts like this one.",/review/rw7520616/?ref_=tt_urv
14 January 2019,Flaviaj1991,9," What is the problem with all these 1 star reviews?
","You look at the reviews and they all give only 1 star. What the heck. In a movie that clearly never takes itself seriously, why are people taking it so seriously? I honestly loved this movie, and no, I'm not a teenager. It's a spy satire with great action scenes and a good rhythm. There were so many memorable moments in this movie for me, like Susan Cooper killing the guy unintentionally, Ford showing up in Cooper's hotel and bragging about all absurd things he's ever done, every scene that Ford appears, the airplane scene. And the Cooper's fight with the woman in the kitchen was totally badass.",/review/rw7520616/?ref_=tt_urv
18 December 2016,EthanBJones_03,8," Very funny movie; would highly recommend
",Overall: This movie is great and I would recommend it to anyone who's up for a laugh.,/review/rw7520616/?ref_=tt_urv
11 July 2015,kosmasp,9," I guess we got a lot of paid reviews here
","That's according to one other reviewer who states that anyone who loves film would not rate this higher than one star. And while our taste in movies is different and comedy is something that will be viewed differently by anyone watching, I think it's a big mistake calling out people and suggesting things like that.",/review/rw7520616/?ref_=tt_urv
7 February 2016,Sleepin_Dragon,8," I really enjoyed it, well made and very funny.
","Susan Cooper works as a deskbound CIA agent, she's the mouth piece for her field agent Bradley Fine, but when he is killed by a beautiful femme fatale Rayna Boyanov, she agrees to go undercover as Carol Jenkins and take her down, her initial Mission leads her to Paris, where she needs to take a bomb away from a Crime group including Boyanov. Ably assisted by colleague and friend Nancy, she has to show her metal.",/review/rw7520616/?ref_=tt_urv
7 November 2017,cherold,8," Hilarious movie with some plotting issues
","The often brilliant Melissa McCarthy is on top of her game as the mousy Susan Cooper, a behind-the-scenes CIA agent who finds herself struggling to prove herself in the field.",/review/rw7520616/?ref_=tt_urv
27 December 2017,cliftonofun,7," Familiar premise, fantastic execution
","This is hardly the first or last spy parody movie. Some nail it (Johnny English), and some miss badly (the Austin Powers sequels). This one was just plain perfect. There's nothing original, but every cast member - McCarthy especially - nails every part. Comedies like this work best with real characters and unreal plots. Paul Feig clearly gets that. I laughed. A lot.",/review/rw7520616/?ref_=tt_urv
7 August 2017,vsd324,8," A comedic American version of a James Bond movie.
","Spy is an action comedy starring the versatile and hilarious actress Melissa McCarthy. This movie is an American version of a James Bond movie, with added humor—but not in the manner of movies like Johnny English (2003) or Mordecai (2015). It's not a parody. The movie has a rather serious and complex plot complete with red herrings and twists. I wouldn't say it's completely realistic, but it's just enough to make it very funny without being too outlandish. It reminds me of one of my all time favorite action comedies ""True Lies"" (1994), where in both films unlikely people are thrust into CIA missions. Susan Cooper (McCartney) is a CIA agent who works as a guide for Bradley Fine (Jude Law). While Fine is doing field work, he is equipped with cameras. Cooper watches these cameras and alerts Fine of oncoming danger. During a mission to stop the transferring of a nuclear bomb, the cameras begin to malfunction, Cooper's images become unclear, and Fine is shot. The CIA chooses to put Cooper on the field to continue Fine's mission. Cooper has been at her desk her entire career, however Cooper is considered a CIA agent and therefore is considered qualified to take on the mission, although she is seemingly far from fit for the job in many ways. Being that Cooper has always worked at a desk, she is completely unknown to the enemies and can thus work well undercover. Having worked with Fine all these years, and having deeper feelings for Fine than even he knew, Cooper feels it is her duty to avenge Fine's death. She sets off to Europe jumping from one crazy circumstance to another. She quickly become more than meets the eye as her quick wit and even physical abilities are unleashed. This is a great comedy filled with witty banter, British satire, slapstick comedy and even some raunchy humor. Stay for the credits—even they're funny.",/review/rw7520616/?ref_=tt_urv
25 June 2017,matahari20-1,8," Light hearted action comedy
","I enjoyed this for some stress-relief. Yes, it is very vulgar quite often. But I adore Miranda Hart, Jude Law is some suave damn eye-candy, Melissa is funny as always and it was nice seeing her take on an action role. Stratham must have needed something as light relief from his usual British crime seriousness; he does idiot well, it turns out. And Rose Byrne was an adorable, lethal, spoilt brat. ",/review/rw7520616/?ref_=tt_urv
12 June 2015,lnvicta,8," James Bond, Jane Bond, and Jason Statham - a lethal combo for laughter
","Kingsman: The Secret Service started a beautiful new wave of James Bond satire films. It's been done before but never quite as meta as it was in Kingsman, actively referencing how similar the plot and archetypes are to James Bond while still having a refreshing novelty factor and interesting characters of its own - creating this whole new world for the over-the-top James Bond-esque adventures to take place while the real James Bond canon continues its serious, grounded story arc. ",/review/rw7520616/?ref_=tt_urv
23 August 2016,planktonrules,7," Better than I expected!
","I ever had any intention of watching this film but decided to after my oldest daughter convinced me to give it a try. After all, Melissa McCarthy has made a few films that just irritated me and I was not in the mood for more of the same. Fortunately, while the film is far from perfect, it surprised me and McCarthy didn't play just another buffoon.",/review/rw7520616/?ref_=tt_urv
