Review_Date,Author,Rating,Review_Title,Review,Review_Url
16 February 2008,Boba_Fett1138,7," Still better than average.
","This movie is not among the best but still has more to offer than the average thriller. This is mostly due to its cast and fine thriller concept, that however doesn't always gets handled well.",/review/rw3562517/?ref_=tt_urv
7 March 2007,Special-K88,," good story that doesn't fully deliver in the end
","Detective Alex Cross is an experienced, astute forensic psychologist. He's brought from D.C. to Durham to aid in the investigation of a slippery criminal mastermind with a track record for abducting young women who are both beautiful and talented. It becomes personal when one of the abductees is his niece, and he enlists local doctor and former victim Kate McTiernan (Judd) who escaped the same perpetrator and is the only living person who can identify him. Stylish, atmospheric, well-crafted thriller holds your interest, with some effective twists and strong performances from Freeman and Judd, but it builds to a climax that doesn't quite payoff. Still, a respectable showing for all those involved. **½",/review/rw3562517/?ref_=tt_urv
11 August 2005,NewEnglandPat,8," Morgan Freeman and Ashley Judd
","This suspense thriller is every bit as good as James Patterson's fine novel and has great chemistry between Morgan Freeman and Ashley Judd. The sole plot is Freeman's search for two serial kidnappers and killers who snatch beautiful and accomplished young women, including Freeman's niece. The two killers try to outdo each other as they seize and destroy their trophy captives. As with most mysteries, this one has the usual red herrings, false leads and dead ends. Freeman is excellent as Alex Cross and heroine Judd is a study in grit and survival and is very effective in a finely nuanced role. The supporting cast is also great in a movie that has a leisurely pace and several great action scenes as it peaks towards its conclusion. The North Carolina location lensing, music score and cinematography are all very good.",/review/rw3562517/?ref_=tt_urv
8 October 2000,michaelRokeefe,7," Thrilling mystery. Torrid and touching.
",A serial killer is collecting strong and attractive young women. He is also attracted to their talents and wisdom. It may be that he is holding his living trophies in underground cells. It may be that he is stalking on both coasts; in South Carolina and in California. Does this diabolical deranged man have a partner in crime; or does he have a copy cat competing with him?,/review/rw3562517/?ref_=tt_urv
21 April 2006,ccthemovieman-1,6," A One-Look Movie Not Up To Standards Of The Two Stars
","With established stars that I like - Morgan Freeman and Ashley Judd - and a different story angle (two killers operating in tandem, one on each coast) I keep thinking this thriller is better than what it is, and each time I watch I am disappointed. After three viewings, I've finally had enough. I should have quit while I was ahead.",/review/rw3562517/?ref_=tt_urv
19 May 2010,jzappa,7," A Sufficient Mainstream Psychological Cop Thriller with Particularly Good Lead Performances
","In this modest enough psycho-thriller, once more Freeman plays a policeman on the path of a perverse serial killer, and again the shade is bottomless and the antagonist is ingenious and the atrocities are intended to convey some sort of perverted meanings. Though as commercial and formula-driven as it is, the movie's not a rehash but a fertile piece, based on a Patterson book about a criminal who, the Freeman character perceives, is not killing his quarries, but accumulating them. Often said by moviegoers to be the actor whose presence has the most authority of any of his generation, Freeman has an exceptional bearing on the screen, a particular determination that we believe. He never looks or sound like he's pretending. He never gives a superficial, obvious or distracted impression, and even in movies that aren't that good, he's not guilty by association: You feel he's genuine even as a film may capsize around him.",/review/rw3562517/?ref_=tt_urv
20 April 2004,red_core,6," great acting from the lead, uninspired plot exposition
","If you like serial killer films that like to tax your brain, you should probably give this movie a look (exactly the reasoning I was following when I picked this up at a video store). Chances are, you'll be entertained by what you see. Just don't expect this one to be a nailbiter like Silence of the Lambs or Se7en. This one comes across as more than a little forced, at times, something that can't be levelled against those two superior films.",/review/rw3562517/?ref_=tt_urv
4 February 2000,Xophianic,9," Dark, suspenseful, fantastic
","I didn't really know much about this movie when I saw that it was coming on HBO. I just decided ""what the hell"" and watched it. Besides, Morgan Freeman is one of my favorite actors. After a few minutes of KISS THE GIRLS, I was instantly glued to the television. It was pretty dark and very suspenseful, but I truly liked it.",/review/rw3562517/?ref_=tt_urv
6 May 2010,TheLittleSongbird,7," Loses steam towards the end, but the cast and photography help carry an otherwise compelling thriller
","Kiss the Girls has its problems, but it isn't a bad film by all means. Actually it is decent, compelling viewing. Starting with its problems, the script does have a tendency to become mechanical, and while the film's story starts off very well and really intriguing, it loses steam at the end for two reasons. The film's logic and credibility does go out of the window as the film's conclusion looms nearer, and then the culprit I felt got revealed too early. On the other hand, the film is very atmospherically shot, the cinematography is really very good, and the music is suspenseful. Plus we have great performances from the ever reliable Morgan Freeman and Ashley Judd, as well as from Cary Elwes and some skillful direction. Overall, it is a compelling and intriguing thriller that ran out of steam too early, but there is much to enjoy. 7/10 Bethany Cox",/review/rw3562517/?ref_=tt_urv
2 July 2005,rmax304823,4," You've already seen it.
","The niece of a Washington, D. C., police psychologist disappears from her campus in North Carolina. The psychologist (Freeman) goes down to help out the local cops. Shortly, another young woman (Judd), an intern at the local Regional Center is likewise kidnapped. We follow her story as she is taken to an underground dungeon, drugged and bound and raped. She escapes. Judd and Freeman join forces. They match the local kidnappings, which sometimes end in murder, with others that seem to follow the same pattern in California. They fly to California and discover that a cosmetic surgeon who lives in Marina Del Ray (all L.A. doctors live in Marina Del Ray) has ordered a huge supply of the rarely used drug that was used on Judd during her captivity.",/review/rw3562517/?ref_=tt_urv
