Review_Date,Author,Rating,Review_Title,Review,Review_Url
5 March 2022,RogerBorg,6," Anthologies by their nature can't please all the viewers, all the time
","The core strength of an anthology show is that it can deliver a different flavour each episode. However, they usually come from the same complimentary palette.",/review/rw7932246/?ref_=tt_urv
5 March 2022,cerelacholmes,6," Dark and Violent but is that enough?
",Diabolical is a collection of random short animated content set in the universe of The Boys. We get to see some actual characters from The Boys which was an actual surprise ( I hadn't seen any trailers before ) and there are some Easter eggs which are good. Episode 03 and 08 were bangers because of Homelander and Billy Butcher. Other episodes were average at best. This is how I'd rate the episodes :,/review/rw7932246/?ref_=tt_urv
7 March 2022,Tweekums,8," The Boys Presents: Diabolical
","This animated spin off from 'The Boys' features eight ten minute episodes, each of which tells a complete little story. The stories vary in style and tone but it is safe to say none are suitable for younger viewers thanks to the level of extremely gory violence and robust language. It is set in the same universe as 'The Boys' so it is likely to appeal most to people who have seen and enjoyed that... while many things can be enjoyed by new viewers it wastes no time re-introducing familiar characters.",/review/rw7932246/?ref_=tt_urv
7 March 2022,alindsayal,4," A Below Average Let Down of a Spinoff
",I am a big fan of Amazon's show The Boys and now they have released a spinoff anthology animated show called Diabolical. I watched through it all today and here is my review for it. The premise of the show looks at 8 original stories that fit the tone of The Boys and features some of their characters.,/review/rw7932246/?ref_=tt_urv
14 March 2022,trimblair,2," Trash cartoons
","Get really high, write a dozen bad ideas, get them produced because you are piggybacking on a successful TV show .. and push this disappointment out. Soooo bad. Just unwatchable trash.",/review/rw7932246/?ref_=tt_urv
7 March 2022,iamjamalwhite,2," not enough weed
","Simon Pegg and Seth Rogan got really high and these are the ideas that were not produced anywhere else. The success of ""THE BOYS"" makes this marketable. One episode about the live poop was the worst 15 minutes of my life and I lost brain cells just watching it. These guys have attached themselves to super hero stuff and should not be. They are the worst of us and I am less of a person for watching the eight short cartoons.",/review/rw7932246/?ref_=tt_urv
4 March 2022,mluinstra,5," this is some wierd s###
","Ever want to watch an adult cartoon about a little girl that has the power to talk and control crap? Well, here you go.",/review/rw7932246/?ref_=tt_urv
8 March 2022,stevebondi,7," No where near as good as The Boys series, but still pretty good :-)
","Irreverent, bloody, violent humor like The Boys series, but amped up a bit with animation. It is focused on getting quick laughs with its short stories, so it is mostly missing the non-comedic heart that The Boys series has.",/review/rw7932246/?ref_=tt_urv
5 March 2022,wick27,2," Love The Boys but hated this trash.....
",Episode 1 was a waste of about 14 minutes of my life. Zero on the 1-10 scale. I am not sure WHY these were even made except to just make money off The Boys franchise. Granted I am not a fan of graphic cartoon violence but these were ONLY created to advance the genre thru employing children as the slaughter machines. Saw nothing thru the first 4 episodes to warrant saying anything positive about this trash.,/review/rw7932246/?ref_=tt_urv
7 April 2022,On_The_Mark,6," Some good, some awful
","I really like a couple of these. I like the concept too. Each episode is done in a different style by different people. I thought the Looney Tunes one was pretty good. There were a couple others that were good, a couple watchable and a couple just awful.",/review/rw7932246/?ref_=tt_urv
