Review_Date,Author,Rating,Review_Title,Review,Review_Url
28 January 2018,lavatch,7," Status Anxiety
","""Brad's Status"" begins like a coming-of-age film about a young man interviewing colleges as he embarks upon adulthood. But the coming-of-age experience is more applicable to the boy's father, who is experiencing a peculiar mid-life crisis about ""status.""",/review/rw6384269/?ref_=tt_urv
7 November 2017,Jithindurden,8," Mind's Status
","Brad is the type of guy who doesn't belong in any kind of social circle really. For some he is too low for their class, for others he is too high. While his problems are laughable compared to problems that are solved by the funds he raises, that doesn't make his problem mom existent. People generally tries to classify this type of films as futile attempts by privileged people. But human mind is always in a fight with itself to achieve more in life and whatever the world around is going about ultimately it's your mind that decides if you have failed yourself or not. Even though the film deals with familiar themes the script is powerful enough to keep you uncomfortable throughout the film. Ben Stiller again proves his best characters are dramatic roles with a light touch of comedy.",/review/rw6384269/?ref_=tt_urv
25 September 2017,jdesando,," Here's a mid-life crisis I can live with.
","""We aren't poor."" Melanie Sloan (Jenna Fischer) ",/review/rw6384269/?ref_=tt_urv
6 October 2017,inkblot11,8," Wonderful quirky film; almost a monologue with interludes
","Brad (Ben Stiller) has lately been fretting about his ""status"" in the world of middle-agers. As he and his son Troy (Austin Abrams), a gifted musician and composer, are about to embark from Sacramento to a Boston tour of colleges, Bradley is in a funk. This is because he has been pondering the so-called more successful lives of his college pals. Jason (Luke Wilson) is a jet-setting, rich hedge-fund manager while Billy (Jemaine Clement) made a tech fortune and retired, at 40, on Maui. Worst of all, Craig (Michael Sheen) is a best-selling pundit on political issues and teaches at Harvard. What has he, Brad, done? For wife Melanie (Jenna Fischer) and himself, its strictly the mundane bourgeousie. Brad manages a non-profit that finds funds for other non-profits while Mel works for the California government. So, while Troy and his dad go to Harvard and Tufts for interviews, Brad upsets the apple cart by embarrassing Troy in front of friends and administrators. This is doubly so when Brad actually needs Craig's help to gain a 2nd interview with a dean! But, in truth, is Brad's status beyond lame? This wonderful, quirky film is almost a monologue as the viewer gets a running commentary by Brad of each and every situation. Yes, there are interludes of actual conversations and happenings and Abrams, Wilson, Clement, Sheen, Fischer and all of the rest do good work. But, its up to Stiller to carry the film with his wry, self- deprecating analysis of life and he does so beautifully. We bow to you, Ben! Scenery, costumes, illuminating script and deft direction all bring the film satisfying results. Most importantly, the movie truly gets it ""right"" on what makes a life well-lived. Go, go to Brad, film lovers! Hollywood rarely bestows gems like this anymore.",/review/rw6384269/?ref_=tt_urv
4 November 2017,smetin,7," Great story but a bit slow
","I hadn't seen a Ben Stiller movie in a while and this one kind of came out of nowhere. Very little marketing and promotion meant that when I saw it was released I was surprised, but it is reflected in its low budget. The movie follows Brad (Ben Stiller) who is disappointed with his life, since all of his friends became very rich and successful in life. The plot revolves around him going to Harvard with his son, who is trying to get into the university. ",/review/rw6384269/?ref_=tt_urv
25 September 2017,hiyangbo,10," so real. flawless performance
","So real. Flawless performance. One of the best movie this year so far. It's not a movie for everyone. I understand why some people could fall asleep while watching it. Its depth could be understood only if one have had several years fighting and climbing in the society and have a family and children to cherish and thankful for. I felt the echos in my soul and could foresee what I would look like in Brad's age. Everyone is relatively poor; the circle can be one percent, or one millionth or one billionth. And vice verse everyone is relatively happier and richer compared to the rest. And the ""real pains"" come from those meaningless comparisons and competitions that we impose on ourselves. Everyone have a choice of how to live their lives and how to plan and realize their futures. It's just a bunch of unique decisions that we have made and are making for ourselves. When you are jealous about someone's success in career or something, you don't know how much they sacrifice on their life balance or health or something else that you weigh way more over the former. There's no better or worse life. There is always shadow behind sunshine. It's just a matter whether you like it or not, grateful or regretful. And if you like your life and are grateful, you already win the competition if you really want such a comparison.",/review/rw6384269/?ref_=tt_urv
27 September 2017,iamjacksmoviechannel,8," So relatable it hurts
","""Brad's Status"" is a comedy-drama from the co-writer of ""The Emoji Movie"". Notice that the marketing for this hasn't led with that. ",/review/rw6384269/?ref_=tt_urv
10 October 2018,Kishere-film,9," Walter Mitty 2
","Nice film and very thought provoking. It is a slow paced film but necessary with the narrative. Ben is such a versatile actor and this is evident in this film. In a world of money grabbing Hollywood Avenger-type franchises, this was a nice find. I often find these days that the lower the budget the stronger the narrative. Worth a watch for sure and I really enjoyed it.",/review/rw6384269/?ref_=tt_urv
18 November 2018,susana-c-fernandes,8," Amazing performance by Ben Stiller
","Brad's Status tells the story of a middle-aged man going through a mid-life crisis of sorts, after constantly comparing himself with his apparently happier, wealthier and more successful college friends.",/review/rw6384269/?ref_=tt_urv
25 September 2017,Quietb-1,3," Brad's status, depressed.
","Mike White the writer and the director gets a little credit and all the blame for this one. The lead character is so shallow and difficult to be around. If that isn't bad enough he is constantly revealing his thoughts and feelings in voice over dialogue. It's a perfect movie for a blind audience. Little is shown, every aspect of an inferiority complex is verbally expressed.",/review/rw6384269/?ref_=tt_urv
