Review_Date,Author,Rating,Review_Title,Review,Review_Url
9 June 2021,jaredpahl,8," An Original Work of Mad, Wacky Brilliance. Gods Yes!
","There's simply no justice in this world. This world where safe, sanitary entertainment is king. This world where audacity is roundly mocked and true vision garners sneers of contempt. Alex Proyas has made something ridiculous with his ancient Egyptian VFX extravaganza, Gods of Egypt. He's also made a visionary piece of summer blockbustasia. Weighed against the sterile ephemera slipping into and out of theaters today, Gods of Egypt proves its worth.",/review/rw3474618/?ref_=tt_urv
28 September 2016,LeonLouisRicci,8," ""If I even tried to explain it your brain would liquify and flow out your ears.""
","The above Quote in the Movie from ""Thoth"" says it all.",/review/rw3474618/?ref_=tt_urv
28 December 2020,ma-cortes,6," Attractive and colorful adventure dealing with powerful Egyptian Gods and fleeble human beings
","An entertaining mess that mixes Egyptian Gods and human beings in which the supreme God Ra : Geoffrey Rush has divided Egypt in two parts , the wealthy , prosperous region of River Nile governed by his son Osiris : Bryan Brown and the barren desert run by his another son Set, the relentless God of Darkness : Gerard Butler . But Set wants to take over Egypt's throne plunging the quiet kingdom into destruction , chaos and conflict . As during a spectacular coronation, Set kills his brother Osoris , then Horus : Nikolaj Costner Waldau , son of Osiris and Isis , escapes. Horus who blinded by his uncle is hidden and useless to carry out a merciless vengeance . Then Horus -The Falcon God- is unexpectedly helped by a young human named Bek : Brenton Thwaites who makes a deal with him to save his sweetheart Zaya : Courtney Eaton , who was taken captive, as she encounters in the infraworld to be judged by the death Gods . All of Heaven is at War . All of Creation is at stake . The Journey of a Lifetime begins . The most powerful force on Universe is about to be unleashed . The Battle for Eternity Begins .",/review/rw3474618/?ref_=tt_urv
7 May 2021,tkarlmann,9," Lots of pretty girls; wonderfully captivating fantasy
",Well THIS film does have pretty girls/women to look at! The world created does its job of whisking one into this fanciful world of gods and such.,/review/rw3474618/?ref_=tt_urv
19 June 2016,claudio_carvalho,8," Underrated Adventure
","In the ancient Egypt, the god Ra (Geoffrey Rush) has split Egypt in two: the fertile part with the Nile would be ruled by his son Osiris (Bryan Brown) and the desert by his son Set (Gerard Butler). During the coronation of Horus (Nikolaj Coaster-Waldau) by his father Osiris, Set betrays his brother and kills him. Then he withdraws the eyes of Horus that are his source of power and exiles him in the desert. The mortal thief Bek (Brenton Thwaites) and his beloved wife Zaya (Courtney Eaton) that worships Horus become slaves of Set. Zaya, who is working for Set's architect Urshu (Rufus Sewell), convinces Bek to steal the eyes of Horus from a well-protected pyramid designed by Urshu to give them back to Horus, the only one capable to defeat Set. Bek succeeds but retrieves only one of the eyes; however Urshu discovers the theft and Bek and Zaya need to flee. Urshu kills Zaya with an arrow and when Bek reaches Horus' shelter, he proposes to help the god to retrieve his other eye. In return, he demands that Horus bring his beloved Zaya back from the world of the dead. They team up and soon Horus' lover Hathor (Elodie Yung), the goddess of love, leaves Set and joins them in their quest to defeat the evil Set.",/review/rw3474618/?ref_=tt_urv
30 January 2017,A_Different_Drummer,8," works well as a love story
","One of those (perhaps too frequent) oddball Hollywood epics where, the first time you see it, you go ""what were they thinking?"" But it deserves a second glance. This film is in the grand tradition of the famous 1940s fantasy films like THIEF OF BAGDAD 1940 (recommended!).",/review/rw3474618/?ref_=tt_urv
24 February 2022,brosseauphilippe,7," Gods of Egypt
","I saw this film without expecting anything in particular, the trailer full of action scenes piqued my curiosity in addition to the director's name : Alex Proyas whom I discovered thanks to the very good I, Robot with Will Smith. I must admit that I did not go there without worry in view of the (very) negative reviews, from the press as well as spectators, but I came out of the screening more than satisfied. For once I don't understand why this film is being taken down on all fronts...",/review/rw3474618/?ref_=tt_urv
10 June 2016,bkoganbing,8," From the jaws of death itself
",The Australian cinema turned out a real gem of a fantasy film with Gods Of Egypt. Other than references in a lot of Mummy films Gods Of Egypt is the first I know to incorporate the ancient Egyptian religion and mythology in the plot itself.,/review/rw3474618/?ref_=tt_urv
15 August 2016,paul_haakonsen,7," When the gods walked among mankind...
","Already from the trailer alone, you know that this is going to be a special effects movie. And with that in mind, you might already be setting yourself up for a movie that doesn't really require much thinking from you as an audience.",/review/rw3474618/?ref_=tt_urv
25 February 2016,phd_travel,8," Spectacular visuals and a clever story
",I enjoyed this over the top extravagant adventure set in Ancient Egypt.,/review/rw3474618/?ref_=tt_urv
