Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 July 2021,DeBBss,2," I miss the old F&F
","I've heard so many jokes about the physics in F9 thinking they were just overexaggerating, but no, it's really that bad. F&F is known for going crazier and crazier with each entry, but I think it's gone too far for its own good. Not one action scene entertained me; none of the scenes were creative, they were just dumb. Some may find enjoyment from how ridiculous it is, but I was just left unimpressed.",/review/rw7179703/?ref_=tt_urv
29 July 2021,sumtim3s00n,2," Charlize Theron's put-a-bowl-on-head-and-cut-around haircut needs it's own movie
",The movies are becoming just too stupid. Soon the storyline will be 2 explosions from opposite side of the tracks who fall in love.,/review/rw7179703/?ref_=tt_urv
1 July 2021,d-shilling-1,2," Enough. Red light. Stop
",Just utter garbage. To say this movie was written and made by a 12 year old is an insult to a 12 year old. This franchise needs to end now.,/review/rw7179703/?ref_=tt_urv
15 August 2021,ian-864,1," My wife said...
",That this movie is marginally more interesting than me.,/review/rw7179703/?ref_=tt_urv
17 March 2022,MLDinTN,2," this franchise just gets dumber and dumber
","For an adventure movie to be good, it still needs to be somewhat plausible. This movie is so out there and unrealistic it just makes the whole thing dumb. Some examples, driving a jeep across a falling bridge but still makes it to the other side (forget gravity), flying a car into space and destroying a satellite by ramming it with the car, using magnets to take over a truck. Movie also introduces John Cena as Dom's younger brother whom just happens to work for the guy that wants to take over the world. Of course there is history with Dom blaming Jakob for their dad's death. And they have a big fight on top a big rig, just silly.",/review/rw7179703/?ref_=tt_urv
29 July 2021,CinemaClown,," Another Dull, Dumb & Disappointing Entry In The Fast Saga
","In the 20 years of its existence, The Fast & the Furious franchise has upgraded itself several times over the years. What started as a story about illegal street racing transitioned to heist thrillers with Fast Five and with every next sequel inflating the action set pieces & discarding physics, the series now enjoys the same status as comic-book blockbusters, glued together by its sermons about family. F9 continues this new tradition by taking things to preposterous heights and is another dumb entry in the saga.",/review/rw7179703/?ref_=tt_urv
29 July 2021,paul_haakonsen,5," This movie was so bad that it became a joke...
","As Tej (played by Ludacris) says in the movie: ""as long as we obey the laws of physics, then we'll be fine, okay?""",/review/rw7179703/?ref_=tt_urv
1 August 2021,elliotjeory,2," A very bizarre film
","This is nothing like the previous films, it's a mess. It's a mixture of bizarre random scenes like all the deleted scenes from the previous films put into one. The flashback scenes are terrible, it's so unrealistic it's laughable.",/review/rw7179703/?ref_=tt_urv
20 July 2021,nerdgasms,1," Oscar worthy
",Next up in Fast 10: Dom remembers he has a long lost brother on Mars played by Dave Batista and along with family is able to slingshot his Dodge Charger to space where he hops from satellite to satellite to finally get to Mars where it turns out his brother is actually Paul Walker in a Dave Batista suit back for revenge. Meanwhile the power of family is too strong for the planet and it ruptures but luckily vin diesel is able to jump into his Dodge Charger just in time. The planet had no effect on him cause of the titanium roll cage.,/review/rw7179703/?ref_=tt_urv
4 July 2021,aseeleg,," Stop.
","Just please stop it! That's unbelievable and we really sick of this, and we all know that you sick of this too, and you guys just make it to get earnings and a F money , but please we DON'T WANT MORE.",/review/rw7179703/?ref_=tt_urv
