Review_Date,Author,Rating,Review_Title,Review,Review_Url
7 January 2017,steven-leibson,9," Punches all my buttons: segregation, space, engineering, computers
","I'm an engineer. I designed computers, I grew up in the south during the 1950s and 1960s. I was heavily involved in the space race at an early age and watched every launch and recovery on black-and-white TV. I never saw separate restrooms and drinking fountains for ""colored"" but they were there. I never rode on segregated public buses, but they were there and I knew it. This movie, ""Hidden Figures,"" brings all of these worlds back to me. No, it's not a painstakingly accurate picture. NASA didn't have flat-panel screens back then. Communications between the ground and the Mercury capsules were not static-free. But a lot of this movie feels real. Very real.",/review/rw3618531/?ref_=tt_urv
12 January 2017,A_Different_Drummer,9," Major Feel-Good Movie, just gets better as it goes along
","In the opinion of this reviewer, an extraordinary achievement.",/review/rw3618531/?ref_=tt_urv
14 December 2020,ethanbresnett,8," Powerful and Inspiring
",Hidden Figures is a real gem of a film.,/review/rw3618531/?ref_=tt_urv
22 January 2017,AlsExGal,9," It made for an old-fashioned movie going experience...
","This is the true story of three African-American women who worked for NASA on the Mercury program in the early 1960s. Solid performances by all, some laugh-out-loud scenes, and some very emotional moments. It's also an important look back at the civil rights issues of the time period. The climax is a bit Apollo 13ish, and I'm fairly certain some scenes were embellished, but who cares. You should walk away from this film smiling, maybe even a bit choked up.",/review/rw3618531/?ref_=tt_urv
29 December 2017,planktonrules,8," Appropriately inspiring.
","""Hidden Figures"" came out several months ago and there are already quite a few reviews for it. Because of this, I don't plan on saying a lot.",/review/rw3618531/?ref_=tt_urv
13 January 2017,dave-mcclain,10," Don't let ""Hidden Figures"" be a hidden treasure!
","Appreciation. It's a condition which requires information and understanding and results in increased compassion, acceptance and inclusiveness. There are few ways to enhance appreciation for others more effectively than a well-made movie and the 2016 historical drama ""Hidden Figures"" (PG, 2:07) takes full advantage of that opportunity. Without being too busy or too preachy, this film helps the audience better appreciate the struggles of being a minority – and a working woman (and even a mother working outside the home) – in the early 1960s, the pressure involved in competing with the Soviet Union in the early years of the space race, the difficult challenges surrounding getting man into space (and returning him safely to earth) for the first time and the courage it required of those who were willing to go. That's a lot for one movie – and might be too much for many – but ""Hidden Figures"" is up to the challenge.",/review/rw3618531/?ref_=tt_urv
18 July 2017,gp-13468,8," I can identify with this movie
","My grandson advised me to watch this movie. I'm not much of a movie watcher but was greatly impressed with the movie. I was employed by a major company in the late 60's This movie occurred a little before that. I was actually a teen when John Glen took his trip into space. I and many other blacks had no knowledge of this crew of women and how they contributed to the NASA project. In the late 60's, there were race riots and lots of racial conflicts. I remember in my senior year, Westinghouse Electric was located in a black community but had no black employees. They came to the black high schools and wanted the top 3 stenographers from each school to apply to their company. This was based on efforts from the community to hire black employees. We were tested. We all had to have 3.8-4.0 QPA's and be able to type 80-100 words per minute and transcribe at 100 wpm. I was 1 of the lucky ones. I had an academic diploma with business classes as my minor. Ten women were hired. I was so excited. But the minute I walked out on the floor, all eyes were on me. There were no black/white bathrooms, but we were pushed to the back of the line and not allowed to use the mirrors until all the white girls had left the restrooms. It wasn't a rule, but we were shoved to the back. We were laughed at and talked about in front of our faces. But under no circumstances was I going to allow somebody else to take this job away from me. We took it! We were treated like we were from a 3rd world country. The white girls didn't even know how to change the typewriter ribbons. Their typing speeds only had to be 45-50 to get in. Shucks, I had to be the best! I was awed to have typed on the IBM Selectric typewriter. The same one in the movie! But we had to care for their machines as well as our own. In high school we only had manuals. Eventually I went to Univ of Pgh. to study accounting at night. I took all of the courses required to get out of the steno pool, but was consistently turned down 10 years trying to become an Accounting Clerk. While whites with less education and less seniority were chosen over and over again over me. I had to type for the controller, because of my super fast, error free statistical typing skills while his secretary filed her nails and poured coffee. Of course, I was never paid what she made. To make a long story short, we black women stayed. Some of us for 40 years. It took years before we were looked at like humans--before people would talk to us, eat at the same lunch table, sometimes they would make us wait last to get on the elevators to go home. But over the course of 10- 40 years, we earned that respect. We did become manager secretaries. We did earn engineering degrees at night and worked our way up. We did end up with white women becoming our best friends. We became their bridesmaids instead of their maids. We went to their parties, instead of cleaning up after the parties. This movie may make some people uncomfortable, and perhaps you don't believe it was like that for smart black women, actually any black person. But believe me, I am a living witness at age 67 to recall the bigotry and hatred I once experienced as a young woman 18 years old, only to retire from the company with much respect. Many of my friends that started when I started, are still in touch. We always laugh and say ""We were the first."" Because we knocked down those walls of prejudice and differences and created a path for people of all colors to follow. I loved the movie. I only wished that those women had been recognized a little sooner for their contributions to the NASA PROJECT. The portrayal of bigotry and indifference is real. It really did happen in the 60's. As a child I remember the black/white bathrooms--not being allowed in Howard Johnson's on the turnpike and going shopping in the department store via the back warehouse door. Katherine was older than me. Did she run almost a mile to the bathroom? Maybe, maybe not. But don't judge this movie based on that. Some real prejudices were worse than that. History cannot be changed, only learned about. I am proud to be a part of that growing history along with Katherine.",/review/rw3618531/?ref_=tt_urv
17 February 2017,sam21462,7," I first gave it a 9 then almost gave it a 4 but have settled on 7
","First I would like to say that I thought this was a tremendous movie. It is well written, acted, directed, and the story is amazingly compelling. Then I read a bit about the true story of these amazing women. There were such great liberties taken with their stories that I was a bit appalled. While it did a great job making us feel just how amazing these women were it failed to show the role NASA played correctly. I will simply paste the wiki of the reality of the mindset of NASA as well as the real story, in a super condensed way. Science is anti-stupidity and racism is stupid. I wish that NASA and science had been presented in a bit better light. Paste starts here:",/review/rw3618531/?ref_=tt_urv
18 January 2017,svorva,6," Evident Heroism, Hidden Doubts
","This is one of those ""based on true events"" films that the moment you return from the theater you're going to hop on the internet and explore the story. That's a good sigh. Unfortunately, here the need to do some fact checking might not stem from all the right reasons.",/review/rw3618531/?ref_=tt_urv
23 January 2017,maricam,8," Good movie but, sadly, Hollywood must tinker with facts
","I really enjoyed watching Hidden Figures. The story was compelling and laid out neatly for our viewing pleasure. It shone a spotlight on a part of history with which I wasn't familiar. And, most importantly, it made me want to learn more about Katherine Goble Johnson, Mary Jackson, and Dorothy Vaughan. What a shame the screenwriters felt they had to preach at me about racism rather than just tell the true story of these amazing and talented women. They weren't amazing and talented ""in spite"" of being black or ""in spite"" of being women, they were just amazing and talented in their own right. One day, perhaps, Hollywood will get a clue and give audiences credit for having a brain.",/review/rw3618531/?ref_=tt_urv
6 May 2017,nadrojh,8," Really Good Movie
","Hidden Figures is a really good movie. I never read Margot Lee Shetterly's book, but I might now. This is a wonderful movie about civil rights, space travel, and new technology. It pulls in many different characters and personalities. Theodore Melt did a wonderful job directing. The story focus on the technical aspects. However the movie is never slow, it keeps moving and keeps you interested. The casting was good. Octavia Spencer, Taraji Henson, Janelle Mona, and Kevin Costner did an incredible job. There was also wonderful performances by Jim Parsons and Kirsten Dunst. Hidden Figures is a fun and exciting movie about advancement in ideas and technology. Its is also a very uplifting movie about bravery and taking chances. It is really good. I enjoyed it.",/review/rw3618531/?ref_=tt_urv
17 May 2018,TheLittleSongbird,8," Not a film to remain hidden
","Wanted to see as many 2016 films as possible, especially those that won or were nominated for the big awards. 'Hidden Figures' also had the further interest on being based on an incredible true story, with just as incredible people, set during a very interesting and still hard-hitting period of history.",/review/rw3618531/?ref_=tt_urv
13 January 2017,pamma09,10," Excellent representation of the 60's
","A well told story of the 60's - fashion, seriousness of the space competition, but more importantly the contributions of 3 women in a time where they were not even given the credit of having a brain. Why this has not been known for many, many years - that is a sad state. Thank heaven the daughter wrote the book and these women will have the credit they so deserved. A good showing of the discrimination shown the black people in the 60's - it was well represented but the story took front page. I love these women - they were mothers, wives and eventually recognized as experts in their field of math and coding. I grew up in the late 50 and 60's - so impressive that the three did not let anything hold them back. They did it quietly and with respected results - but this story should have been told in the 60's. The acting is excellent, the sets are so believable, the culture is there - thank you Theodore Malfi for a an entertaining and educational film. And Pharrell for the music.",/review/rw3618531/?ref_=tt_urv
12 January 2017,valen060,9," Exceptional, Jarring, and Thought-Provoking Unsung Heroes
","Not knowing what to expect, I checked out to see how the story of three female individuals made a difference at NASA back in 1961. I've witnessed in past historical dramas of where racism included violence, but that is not the case regarding Hidden Figures. Rather it focused more on how it was overcome in casual, everyday life (especially the workplace).",/review/rw3618531/?ref_=tt_urv
29 December 2016,trublu215,2," A film so concerned with being a political statement that it forgets to be a good film.
","Hidden Figures tells the story of three African American women in the late sixties as they become instrumental to NASA in putting John Glen on the moon. Directed by Theodore Melfi and stars Taraji P. Henson, Octavia Spencer, Kevin Costner and Kirstin Dunst, Hidden Figures would be a good film had it not been so concerned with the idea of the empowerment of women that it forgot to be a good, engaging film. It has the proper ingredients to become a heavy hitter but trades it in using its excellent cast as more of a political statement than anything else.",/review/rw3618531/?ref_=tt_urv
21 February 2017,Michael_Elliott,," Excellent Performances Highlight Nice Drama
",Hidden Figures (2016) ,/review/rw3618531/?ref_=tt_urv
30 October 2017,chas437,1," Oscar Bait at its Worst
","How predictable is Hollywood? A year after the uproar about too many white actors being nominated for Oscars, we get this film. Its a trite narrative, minorities/women overcome racial and/or gender bias to achieve greatness despite the evil white devil man ignoramus. ""Hidden Figures"" represents a new low in this genre, because it appears that the material presented is largely fictitious.",/review/rw3618531/?ref_=tt_urv
