Review_Date,Author,Rating,Review_Title,Review,Review_Url
24 March 2006,tanjotasu,10," Beautiful movie...
",It's about time! I've been tired of the usual romantic comedies -- guy in high-school/college/work falls in love with beautiful girl -- the courting.. the romanticism (i mean physical stuff! a lot of it!).. breakup.. rejoining.. happy ever after.,/review/rw1752578/?ref_=tt_urv
7 September 2006,claudio_carvalho,8," Delightful and Sweet First Love
","In Manhattan, the 10 ¾ years old Gabe (Josh Hutcherson) finds his first love when he meets his former kindergarten mate, the eleven years old Rosemary (Charlie Ray), in his karate classes. Confused with his new feelings and with the divorce process of his beloved parents, Leslie (Cynthia Nixon) and Adam (Bradley Whitford), he experiences the delightful unknown sensation of being in love for the first time.",/review/rw1752578/?ref_=tt_urv
18 April 2006,Balidorf,9," Sweet, Funny, Brilliant, & Unique
","I watched this film on recommendation from a good friend whose opinion I trust, and let me tell you I was not disappointed. I think I would pity anyone who watches this film, and cannot find a way to relate to its subject matter. Most of the humor (and one of the things that make this movie so good) is that t is based on the assumption that the viewer relates to the events on screen. I can remember times in my life where I had the same feelings as Gabe and the same fears about acting on them.",/review/rw1752578/?ref_=tt_urv
18 April 2006,spooly_montana,9," Love story for all ages
","I want to shine the spotlight on a nice, little movie that might slip under your radar, and it shouldn't. LITTLE MANHATTAN is about a young boy in NYC, named Gabe, and his first crush on a girl, ever. Quite an awkward transition, considering girls have cooties, and are gross horrible creatures to a boy of ten. Our hero though is growing up. Presently Gabe is 10 ¾ years old and the girl of his affection, is 11 year old Rosemary, who is quite a match in the karate class they both attend. Quite suddenly this strange change occurs and there Rosemary is. The same girl he had grown up with in school, and went to kindergarten with, but now it is different. He actually notices her. Where did this nervousness come from that springs up every time he is in her presence? What does it mean? It does not help matters any that his parent's are in the middle of a prolonged divorce, where they have to cohabitate the same apartment until the paperwork goes through. Oh, the insecurity! This thing called ""love"" is sure accompanied by a fair share of highs and lows. We were all there (or will be), what an age. I certainly am glad that you only have to go through that part of growing up, only once. The film captures the age & subject matter perfectly. All the questions, inner dialogue, and those puzzling things we notice about the opposite sex (and continue to notice as we grow up, I might add). That treacherous area we tread between youth and adolescence, fraught with a childlike confusion at this new territory. The two young actors playing Gabe and Rosemary hit the right chords. The filmmakers capture their viewpoint wonderfully, splashing it onto the screen. It is a great joy to watch this awkward stage played out so well, on film, in this love story for all ages. Don't let this one slip away. Rated PG.",/review/rw1752578/?ref_=tt_urv
27 October 2005,noralee,8," Charming Look at That Confushing Change When Girls Stop Having Cooties
","""Little Manhattan"" is like a junior version of ""Annie Hall"" or a Manhattan take on ""A Little Romance,"" which introduced Diane Lane in Paris. ",/review/rw1752578/?ref_=tt_urv
16 September 2006,TxMike,," A movie about a boy's first love, but not really a kids movie.
","My wife and I found this to be a totally interesting and entertaining little movie. It is about a 2 week period in June, just after school lets out, and the central character is Gabe (Josh Hutcherson). His parents are planning a divorce and Josh, only being just short of 11, is allowed to roam a 9 square block area near home, just west of Central Park, his 'Little Manhattan.' ",/review/rw1752578/?ref_=tt_urv
30 June 2006,mysta02,8," Two kids find love unlooked for and must work through their feelings
","This is a great movie. I was laughing through the whole thing, not because it's a comedy, per se, but rather because I can relate to Gabe on so many levels. What I mean is, this film will resonate with any of you guys out there who've ever felt uneasy getting close to a girl, and with any girls who've ever known a guy to be that way. This is a real family film that is actually appropriate enough to be viewed by the whole family, and those can be hard to find these days. All of the actors did a great job, especially Josh Hutcherson (Gabe) and Charlie Ray (Rosemary). They did an amazing job. The story is interesting the whole way through - very entertaining, and I recommend this movie to you.",/review/rw1752578/?ref_=tt_urv
1 December 2005,LAKERS34,8," Sweet and Well Done - Definitely a XMAS Sleeper
","It's simple, it's cute, it's unpretentious, and it's pretty much blood-free. It tells a sweet story about innocence and romance which is applicable to all of us despite using 11 year-old kids (Josh Hutcherson, a ""veteran"" and Charlie Rose, a newcomer) as its main players...This film will remind many of you of ""The Wonder Years"", which of course isn't a bad thing (Wouldn't you say that was GREAT television??). There is a nice parallel in the story in that while the main character is falling in love, his own parents are falling out of it and headed for the splits.",/review/rw1752578/?ref_=tt_urv
9 July 2006,writers_reign,7," Puppy Love But Not A Dog
","American child actors are notorious for being sophisticated beyond their years, irritating, cynical, nauseating etc so it's a refreshing change to find a movie in which this is not the case. It's true that the writing, especially in the voice-over narration is on a level above the average eleven year-olds but that, of course, is its appeal to an adult audience. There's a lot that's right and not so much that's wrong with this movie starting with the writing through to the direction and certainly the performances. It's not going to make anyone's Ten or Even One Hundred Best list but it is a perfect summer movie, charming, funny, enjoyable. Trust me, I'm a cynic.",/review/rw1752578/?ref_=tt_urv
29 April 2006,wrdiggs,7," The Agony of Adolescense
","Remembering my own youth, growing up and discovering girls for the first time, I was able to relive some of those moments, some funny, some agonizing, all right on.",/review/rw1752578/?ref_=tt_urv
30 December 2005,ronwraw,10," Cutest movie I've ever seen!
","This is one of the cutest movies I've ever seen in my life! The movie is light-hearted and incredibly sweet. It tells the story of an adorable 10-year-old boy named Gabe whose parents are divorcing, but under New York law they must remain living together until the divorce is final. (This creates a small problem, as you can probably imagine.) Gabe becomes infatuated with Rosemary, a girl in his karate class he knew as a kindergärtner. They begin to practice karate together and Gabe's like for her blooms into love. I won't spoil anything but Josh Hutcherson is SO sweet narrating the movie, which melted my heart. Charlie Ray is one of the prettiest little girls I've ever seen! It's one of my all-time favorites and a great movie to see as a family. Let me tell you now that the presence of New York City (of which I was born and raised) is the backbone of the movie, having many beautiful scenes along the river and in Central Park. That's almost as good as Gabe's imaginations of karate gurus- you'll have to see it to know what I mean!",/review/rw1752578/?ref_=tt_urv
22 June 2007,Isaac5855,7," An Offbeat and Endearing Romantic Comedy...
","LITTLE MANHATTAN is a surprisingly clever and adult romantic comedy, with a clever screenplay in the tradition of some of Woody Allen's best work, except that the protagonists are children. Josh Hutcherson plays Gabe, a 10-year old New Yorker who falls head over heels in love with Rosemary (Charlie Ray), an 11-year old girl in his karate class. The romantic ups and downs between these two are delightfully chronicled here, thanks to a winning screenplay accentuated by Gabe's off-screen narration, which ranks with some of Woody Allen's best narrations. Huctherson and Ray are completely convincing in their roles and you can't help but cheer for them throughout. Cynthia Nixon and Bradley Whitford co-star as Gabe's parents, who are separated, but still residing in the same apartment. A winning adult romantic comedy with children as the leads. Give this one a look, it might surprise you.",/review/rw1752578/?ref_=tt_urv
25 September 2005,patrickjv,10," Great movie to see with the kids
",Little Manhattan was a fun ride from beginning to end. ,/review/rw1752578/?ref_=tt_urv
