Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 July 2016,sasha99,10," Lean and mean Australian cop show
","I've binged my way through many American, British, and a few Australian cop shows and this is one of the best. I'm about halfway through season 2.",/review/rw7623886/?ref_=tt_urv
23 June 2011,Deathbunny,8," Definitely not like an American show... in a good way.
","Frankly, I'm an American watching this show ""second hand"" via the internet, 72 minutes at a time. This means my frame of comparison is typical American cop dramas.",/review/rw7623886/?ref_=tt_urv
22 January 2020,msghall,8," Superior murder/detective show with subtle wit and engaging plotlines
","Australian television series can be hit or miss but this one is a few grades above the rest. Buoyed by superior scripts and crisp direction, each episode unravels without the drawn-out emotional drama of other such shows. Yes, there are soap opera moments but they are brief and tightly written.",/review/rw7623886/?ref_=tt_urv
20 November 2007,korinnem,10," Possibly the best Australian drama in years
","When I started watching this show I was very sceptical of what I was going to fine. I haven't watched virtually any Australian shows in recent years, as almost all that are touted as drama are soaps instead (e.g. All Saints, Blue Heelers).",/review/rw7623886/?ref_=tt_urv
24 June 2013,Hyzenthlay-Foresight,10," One of the best homicide cop shows of all time
",I'm a big fan of Homicide life on the street and loved Detroit 187 and other shows like them. If you like those too you will live this. The first show almost lost me. It had really dorky music but a good story line so I watched a few more and fell in love.,/review/rw7623886/?ref_=tt_urv
27 July 2019,louiseransil,10," Can't Stop Watching
",Didn't expect to like it. Now I can't stop watching. Especially good plot lines and strong performances. Why haven't I ever heard of this show???,/review/rw7623886/?ref_=tt_urv
5 July 2020,jimvandemoter-50236,9," It ended too soon
","I just finished watching the last show of the series. I waited to write a review until I saw the entire run. Yes, this isn't the strongest Australian show out there, but overall it was a very good show. The entire cast was used equally with no one major ""star"" coming to the front. For me that is a plus. everyone had an equal part to play. One complaint, when the show ended it left everything up in the air. It could have run at least another season or two. All in all a very good show , well worth your time.",/review/rw7623886/?ref_=tt_urv
2 October 2019,zombiemockingbird,9," Different, Really Good Show
","I liked this show from the first episode and it kept getting better. The characters are likable and the acting is good. There's a large cast and the focus is spread around so there isn't one main prima donna character; everyone pretty much shares the spotlight. There were a few shows that weren't as great as others but overall the stories were interesting and well done. My only complaint was season 5; it was only 6 episodes but focused almost exclusively on the ""Dane Majors"" case. After the first couple of shows it just got tiresome. They kept adding more and more to the story and kept dragging it on, and on, and on, and after a while it was more annoying than interesting and I started to lose track of what had happened, who the hundreds of people involved were, and I honestly just didn't care anymore. Except for season 5 I would have given this a 10/10 rating.",/review/rw7623886/?ref_=tt_urv
10 September 2007,nickapopolis87,7," First rate drama
","I am always quite skeptical about Australian made dramas (and comedies for that matter). In my opinion it has never really been our forte, the writing talent hasn't been there. Fly-on-the wall, variety and reality: sure we excel but not in scripted stuff. But the times are changing, well on some networks at least.",/review/rw7623886/?ref_=tt_urv
12 September 2019,ghearnshaw,10," Great Cop Show
","I like to watch shows from around the world. I found this show after watching Mystery Road, which stars Aaron Pederson. I really enjoyed that series, so I looked to find what else he had been in - hence I came to this show. Once I started watching it, I was quickly hooked. Only problem is the final 6 part series ""No Greater Honour"" does not appear to be available anywhere, which is frustrating. However, this is a great show, well written, with a great cast.",/review/rw7623886/?ref_=tt_urv
2 June 2008,douglas_carrison,9," Brilliant show! Waiting for the next season!
","Last September, Mount Gambier's WIN Television station had a bit of a shakeup: WIN had signed an affiliation agreement with Seven (which people are still whining about almost ten months later), and we'd been getting the new programming. I'd started enjoying most of the new programming.",/review/rw7623886/?ref_=tt_urv
