Review_Date,Author,Rating,Review_Title,Review,Review_Url
10 December 2010,rogerdarlington,," Not to all tastes - but to mine
","This is not a movie that will appeal to everyone, even fans of George Clooney, who is in almost every scene. His famous smile and immense charm are totally absent in a tight, laconic role as the eponymous assassin-cum-gunsmith Jack/Edward/Mr Butterfly. But I really admired this brave departure from the Hollywood dazzle which has a genuinely different pacing plus look and sound.",/review/rw8188751/?ref_=tt_urv
1 August 2013,secondtake,7," It's slow, but on purpose, and it has something approaching lyricism
",The American (2010),/review/rw8188751/?ref_=tt_urv
25 April 2019,J_Batek_II,9," Italy Has Never Looked Better. A Realistic Depiction Of The Life Of An Assassin.
","This movie has been unfairly judged by IMDB members. People are jealous of George Clooney, and the life he has created for himself. Full disclosure - this is one of my favorite movies. I love the minimal dialogue - it creates a certain tone and realism. I love the soundtrack - impossible to find, but worth the search. I love the cinematography - you can watch this film in HD on mute and it is still enjoyable. And, then there is Violante Placido - one of the sexiest women ever captured on film.",/review/rw8188751/?ref_=tt_urv
18 June 2019,cardsrock,7," More character study than thriller
","This is not the massive action thrill ride you might expect. Instead, it is a slow, character-driven look at an aging assassin. Clooney is good, but it is questionable to have him play a stone-faced killer when the actor is at his best when he utilizes his compelling charm. The best part of the movie is the beautiful cinematography, which highlights the stunning Italian countryside. It adds to the whole Euro indie fell that the film has. The American is pretty slow at times, but the shift in tone is somewhat refreshing.",/review/rw8188751/?ref_=tt_urv
1 January 2011,lewiskendell,7," Maybe not what you're expecting, but still a good movie.
","""And above all, don't make any friends, Jack. You used to know that.""",/review/rw8188751/?ref_=tt_urv
15 September 2010,Ric-7,8," A victim of bad marketing
","As an action thriller, I'd give this film maybe a 2/10. But that is not what it was intended to be. The ads and marketing of the film falsely suggest this is an action film, and that is a great disservice both to the film and to the audience. I suspect that the film's rating would be higher had the marketing been honest. It is almost the opposite of action: it's a quiet, introspective film. I didn't expect a thriller and so I wasn't disappointed.",/review/rw8188751/?ref_=tt_urv
2 September 2010,TheUnknown837-1,9," the second-best movie of 2010
","Before anybody reading this review goes to see ""The American,"" let me give you some sincere advice. If you are expecting this to be another Jason Bourne or James Bond-style of movie with elaborate action sequences, tight pacing, and ear-throbbing music...you had better stay away, for you will be sorely disappointed. The advertising campaign and production photographs gives one the impression that George Clooney is taking on a role in a movie like Liam Neeson did in that marvelously powerful thriller ""Taken"" released in 2008. But that is not the case. ""The American"" is shot on a foreign location, features a lot of foreign dialect, and was made by a Dutch director with a mostly Italian cast. In other words, it's not really an American action production. It's an Italian melodrama and a really fascinating one at that.",/review/rw8188751/?ref_=tt_urv
17 July 2011,SerpentMage,9," Superb, Absolutely Superb!
","George Clooney outdid himself in this movie! I really did not know what to expect. I kind of knew what it was about, but decided that I will let it surprise me.",/review/rw8188751/?ref_=tt_urv
7 March 2011,Red-125,7," Clooney does very well portraying a loner
","The American (2010), directed by Anton Corbijn, is a vehicle for the talents of George Clooney. Clooney is too tough, too handsome, and too much the strong, silent type to do well as a gentle, caring human being. Accordingly, director Corbijn has typecast him as a professional assassin.",/review/rw8188751/?ref_=tt_urv
3 November 2010,elroy_geronimo,9," Time will value this gem
","The cinematography is breath taking, but with top photographer Anton Corbijn at the helm, you wouldn't expect anything less. There's very little dialogue in this film, about 500 lines in total, which emphasizes the acting and the visual spectacle. Don't expect any CGI or amazing action scenes. It's just not that kind of film. It's a homage to C'era una volta il West by Sergio Leone, to The Day of the Jackal (the original!) by Fred Zinnemann and writer Frederick Forsyth, to Italy and in a way to Clooney. The deliberate slow pace will put a lot of people off. The movie is about professionalism, betrayal, loneliness, revenge and love. How good ""bad"" people can be. A wonderful film, that will not be valued by the average Hollywood loving movie goers, but a must see for people who love movies and for whom movie-making is an art.",/review/rw8188751/?ref_=tt_urv
3 September 2010,Quinoa1984,10," a real slow-burner that is more about internal conflict than action - and George Clooney of course
","The first thing some people (though not all) coming out of The American may say is ""It's... slow."" They may be missing the idea behind the film. It's not about making an action-packed thriller (one critic putting the cheesy pun ""Less Jason Bourne and more Jason Boring"" is foolish to make that comparison), and if you need that this particular weekend of Labor Day then Robert Rodriguez's Machete should suffice with that. This is a film with a European sensibility- it even has the director Anton Corbijn from the Netherlands- and is more about the internal conflict and his mechanical, cold nature than anything to do with a straightforward plot. The American is never confusing, and only for those who are looking for something with a huge shot of adrenaline (which, to be fair, the trailer doesn't do a good job of setting up) will feel let down or bored. It's a work that asks to adjust your expectations for a dramatic thriller. To give a much more apt comparison, it's like Jean-Pierre Melville taking a crack at Jarmusch's the Limits of Control. Yeah, that's more like it.",/review/rw8188751/?ref_=tt_urv
