Review_Date,Author,Rating,Review_Title,Review,Review_Url
18 April 2009,terrencepatrix,8," In short, I liked it.
","Let me start off by defending my rating of this title. Really it's hard for me to rate a movie like this, it is directed right at me and my type of people. I can't help it that I like a movie like this, it's just the way it is.",/review/rw2127319/?ref_=tt_urv
18 April 2009,TedStixonAKAMaximumMadness,8," ""Crank: High Voltage"" is one of the most over-the-top and ridiculously entertaining films of the past 10 years! It's an adult version of ""Looney Toons"" and a worthy sequel!
","Chev Chelios was dead, but he got better.",/review/rw2127319/?ref_=tt_urv
15 June 2010,Matt_Layden,6," Crank 2 Is Off The Wall Insanity.
","After surviving a fall from a helicopter, Chev Chelios is kidnapped directly from the spot he landed in and is taken to a place where they remove his heart. He is given an artificial one that requires an electrical charge to keep running, every hour or so. Now Chelios is on the run trying to find his old heart and to keep charged. ",/review/rw2127319/?ref_=tt_urv
17 April 2009,DelBongo,7," Where Is My Strawberry Tart?
","Crank 2: High Voltage practically begs to be passionately loathed by absolutely everyone, with the notable exception of antisocial teenage boys. Its rank, nihilistic tone is relentless and exhausting. The misogyny is benchmark horrendous. The acts of violence are brutal, frequent and often blatantly homoerotic. Its flippant. Its homophobic. Its vulgar. And it feels as much seething contempt for its own narrative coherence as it does for its few prominent female characters.",/review/rw2127319/?ref_=tt_urv
6 April 2012,nerdomatic10-937-667230,7," Extremely intelligent mindless action flick
","Quite possibly the silliest movie ever made. I'm pretty sure these guys set out to make the ultimate mindless action flick and they succeeded brilliantly IMO. I've never seen anything like it before. IMDb claims the budget was $20M, although that seems like quite a stretch. But there is about $1B worth of craziness in it. The makers didn't hold anything back - no restraint whatsoever and it's amazing. Anyone looking to be offended will be. Guaranteed. I've heard of people walking out of movies but this is the first time I ever saw it happen. I wonder if they asked for their $$$ back. I'm pretty sure the theaters are covered from giving refunds; there's fine print on the tix or something.",/review/rw2127319/?ref_=tt_urv
16 April 2009,phue_fighter,8," Absolutely Extreme
",This movie is not for the faint of heart.,/review/rw2127319/?ref_=tt_urv
16 April 2009,Quinoa1984,7," where's the heart.... I don't mean the movie, I mean the actual heart?
","For those of us that saw the first movie Crank it seemed open and shut - a retooling of D.O.A. and Speed to combine a exploitation-action-comedy that had Jason Statham gunning after the dirty folks who slipped him a irreversible Chinese poison that would kill him immediately unless he kept his heart racing like a coke-driven locomotive. At the end it seemed especially the case since, well, Chev Chelios falls out of a helicopter and crashes on a car. Dead? Actually no, as case turns out to be.",/review/rw2127319/?ref_=tt_urv
22 November 2009,warthogjump,8," absolute INSANITY!
","Crank 2 screams insanity from the word go. It yells ""bullshit"" left, right and centre. The things that happen in this film are extremely far-fetched and anybody chasing a 'realistic' movie will be disappointed.",/review/rw2127319/?ref_=tt_urv
18 April 2009,akumous,10," Absolutely INSANE!!
",If you watch the first one then you know what expect but if you haven't then my advice to you is ignore all logic and enjoy the ride because this movie is not be taken seriously.,/review/rw2127319/?ref_=tt_urv
24 March 2017,Uriah43,2," A Bad Sequel
","This movie takes up where its predecessor left off with a mob hit-man named ""Chev Chelios"" (Jason Statham) falling from a helicopter at a high altitude and crashing onto a street somewhere in Los Angeles. Then, seconds after hitting the ground, a van pulls up and quickly puts his body inside before driving off. He soon wakes up to find that his heart has been replaced with an electrical device and that the rest of his organs are about to be harvested as well. Naturally, he doesn't quite like that idea and escapes to find the man responsible--and possibly regain his own heart in the process. Now as far as this movie is concerned I must confess that I wasn't particularly impressed with its predecessor which I believed had a great deal of unrealized potential. Because of that I rated it as about average. This movie, however, also had some of the same characteristics of the first but unfortunately it was the bad similarities that predominated. To be more specific, anything other than profanity and mindless action was essentially thrown out the window to make room for more profanity and action. In short, other than possibly the performance of Bai Ling (as a prostitute named ""Ria"") there really wasn't anything interesting about this film. And even then she was just as foul-mouthed as everybody else. Regardless, I thought that this movie was pretty bad and I have rated it accordingly.",/review/rw2127319/?ref_=tt_urv
