Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 September 2018,PIST-OFF,10," for once the academy got it right
","With all due respect to Eastwood's American Sniper, the academy actually got it right with this pick for best picture. Every actor and actress in this given the space to breathe life into characters, every monologue and dialogue hits like a ton of bricks, every scene tries to get towards some fundamental truth of human nature only to have the next scene undermine that character and that purported truth. It's amazing that in the era of comic book universe movies that something like this can get made at all. An absolute must see before you die movie.",/review/rw3158457/?ref_=tt_urv
9 June 2017,TheLittleSongbird,9," Very much a divisive film, to me it was a 2014 highlight
","Despite the near-universal acclaim from critics, 'Birdman' very much divided audiences to a quite extreme degree. This division is very much understandable, 'Birdman' has a great many merits but not everything will work for everybody.",/review/rw3158457/?ref_=tt_urv
1 January 2015,CalRhys,," True Definition Of A Masterpiece
","Whilst viewing 'Birdman', I spent the first hour of the film trying to decipher my emotions and opinions towards it, what I was watching was a weird, yet wonderful work of art. Truly though, 'Birdman' is a technical masterpiece. Michael Keaton has generally been undermined as an actor (despite a few notable roles as Batman or Beetlejuice) and has instead faced Hollywood picking more acclaimed and popular actors, 'Birdman' however might just be his ticket to an Oscar nomination, and possibly even a win, his performance is mesmerising. Alejandro González Iñárritu has created a truly spectacular character study that arguably features this year's strongest acting performances, alongside a well- executed script, booming soundtrack and a monumental achievement with cinematography from Emmanuel Lubezki in which he attempts a Hitchcockian approach, reminiscent of 'Rope', and displays the story through a seemingly single and unbroken sweeping shot. This is the true definition of a masterpiece.",/review/rw3158457/?ref_=tt_urv
24 February 2015,apbryant,10," It's satire people!
",I have to say I am shocked and how many bad reviews I have seen on this site for this movie. It seems to me that the majority of moviegoers who have chosen to review here are only capable of viewing a movie at face value.,/review/rw3158457/?ref_=tt_urv
27 December 2016,theocharous_an,9," What is wrong with people?
","I have a tendency to check user reviews on IMDb before watching a film. I was surprised to see how divided people were for Birdman. Most of the reviews were either 9-10 stars or 1 star. This made me want to watch the film even more and by the time I finished watching it, my faith in people had decreased by a little bit. ",/review/rw3158457/?ref_=tt_urv
13 October 2014,ClaytonDavis,10," Using the ""M"" Word Again...Masterpiece!
","I think we've all been exceptionally good this year because Christmas came early with Alejandro González Iñárritu's masterful ""Birdman (or the Unexpected Virtue of Ignorance),"" an experience that you won't soon forget. Debuting at Venice and Telluride Film Festivals, the film closed an already impeccable New York Film Festival on Saturday morning for press and industry colleagues. It's a film that resonates profoundly, and may just be the best film of 2014. From its pristine writing (by Iñárritu, Armando Bo, Nicolas Giacobone, and Alexander Dinelaris), to its carefully constructed direction and cinematography, to its genius casting and performances, ""Birdman"" is just a dream of a movie.",/review/rw3158457/?ref_=tt_urv
23 October 2014,Turfseer,3," ""Art"" vs. Commercial Success is the one-joke idea this overrated claptrap attempts to mine, ad infinitum
","""Birdman"" is the latest overpraised and over-hyped ""art"" film by the acclaimed director Alejandro González Iñárritu. Michael Keaton, who was known for playing Batman in the late 80s and early 90s, is cast here as Riggan Thomson, a washed-up Hollywood actor, once famous for playing a superhero Birdman character in the movies, now making a comeback on Broadway, acting in an adaptation of a Raymond Carver short story.",/review/rw3158457/?ref_=tt_urv
10 December 2014,aharmas,1," One star and that's for Keaton's effort
","There's always a slot for a movie every calendar year for the one film that everyone praises but hardly anyone understands, likes, or comes close to fathom why it receives such accolades. ""Birdman"" and its entire cast and crew (with the exception of Keaton) have taken that spot, dislodging ""Boyhood"" out of this position. Still, ""Boyhood"" had Ethan and Arquette, which made it passable.",/review/rw3158457/?ref_=tt_urv
2 January 2015,planktonrules,6," Good parts, but the film is too familiar and seems quite overrated.
","At this time, ""Birdman"" has a phenomenal IMDb score of 8.7 and has been talked about a lot in regards to the Oscars. Whether the film does get the nominations (particularly for Michael Keaton) is something we'll know in the next few weeks. As for me, however, I really do think the film is quite overrated--and the biggest reason is that so much of it I've seen before--such as in Fellini's ""8 1/2"" and a few films that have copied this, such as Woody Allen's ""Stardust Memories"". The movie, at least to crazed film buffs like me, just lacks the originality to be a great film and it seems overrated.",/review/rw3158457/?ref_=tt_urv
26 December 2021,KissEnglishPasto,10," Life Imitating Art or Art Imitating Life...Can Anyone Tell the Difference? Does It Really Matter?
","BIRDMAN just keeps coming at you, time and again, from every imaginable angle, until the end credits, about an hour and 50 minutes in. Is it just me ....or are many reviewers reluctant to state the obvious? Michael Keaton as a down on his luck Ex-Superhero, desperately trying to prove his relevance in 2015, to the entire world, to his rather distant family, but, probably most of all, to himself. Oh yeah, and he talks to himself in a rather smooth, but hoarse and gravelly BATMAN...I mean BIRDMAN, Superhero voice, his last on screen portrayal of which was in 1992! (Yes, in BOTH of them)",/review/rw3158457/?ref_=tt_urv
