Review_Date,Author,Rating,Review_Title,Review,Review_Url
11 September 2022,pkpera,5," Really silly ratings here. What movie is, but not much
","I did not plan to write review of this movie, but seeing about 10 1-ns in row here (rated by usefulness or whatever), followed with rating 10 - made me to do it.",/review/rw8530486/?ref_=tt_urv
17 June 2022,feelingthefhvibe,1," Awful, and not even in a fun way
","What drew me to the film was Brianna Hildebrand, having had conflicting opinions on her from her previous works and looking for a bit of a tie-breaker. What compelled me to write a review, though, was seeing the sharp split in the few reviews offered for the film. It looks like the divide is between people that watched it, and people that are trying to sell it, which is always a hoot.",/review/rw8530486/?ref_=tt_urv
8 December 2022,Erick_Till,7," Original and charming film
",I believe that all people who ranked this movie as 1 urgently need a shrink. You can only see evil if there is evil within you.,/review/rw8530486/?ref_=tt_urv
12 June 2022,dkalloway,1," Every middle aged man's fantasy
","Brianna, girl, you deserve so much better than this. This could've easily been a fascinating story of her character's perspective of coming back to a world that has moved on. Instead it's a story of a mediocre white man who has such a TOUGH choice to make: does he further his career and live the life he's built with his wife? Or does he chase his dick and pursue an 18 year old in the most not creepy way as he attempts to ""free"" himself from the shackles of his current life. It's exactly cringey, if not more, than you expect. Many ""no's"" were screamed at the screen.",/review/rw8530486/?ref_=tt_urv
30 January 2023,mannimario,7," Ignore the 1/10 & 10/10 ratings... See it
","My first advice...
Ignore the 1/10 & 10/10 ratings... See it for yourself.",/review/rw8530486/?ref_=tt_urv
14 June 2022,LoftheB,1," Who thought this was a good idea?
","I'll admit that my initial interest was with the weird typecasting of Brianna Hildebrand in yet another role where she's time-travelling. The curse of having a baby-face, I suppose.",/review/rw8530486/?ref_=tt_urv
14 June 2022,gazpacha,8," Grounded Science Fiction with a lot of heart
","Compelling performance by this young actress. I totally believed she was lost in this place of being treated like a kid by those who knew her before and not fitting in with the young people she was meeting now. So it made sense to me that she would want to connect with her former boyfriend even though he now ""looks old"".",/review/rw8530486/?ref_=tt_urv
19 June 2022,itsabadmoviebruh,1," Not worth the time
","The premise (middle-aged man has a 'sci-fi' reason to get in a relationship with a teenager) was gross. The movie was incredibly predictable, charmless, and forgettable.",/review/rw8530486/?ref_=tt_urv
13 June 2022,midnightisburning,1," A film for our time
","After a failed senatorial campaign, struggling politician Jack and his wife Maggie return to Jack's old, rural stomping ground for some much needed downtime. It's a place full of memories and people Jack grew up with, including it turns out, ""the one who got away""--very, very far away.",/review/rw8530486/?ref_=tt_urv
14 June 2022,awfulpidgeon,1," Why are we still pitting women against each other?
","While the concept of this movie could have been interesting, the execution was bad and uncomfortable.",/review/rw8530486/?ref_=tt_urv
