Review_Date,Author,Rating,Review_Title,Review,Review_Url
30 April 2008,Smells_Like_Cheese,7," Better than expected
","When I first saw the trailer for Baby Mama, I just thought this movie was going to be a total disaster, it didn't look funny and like another typical chick flick. But my friends wanted to see it, so we saw it opening weekend, and actually I was surprised, I did like a lot better than what I was expecting. Baby Mama is something that looks like from the Lifetime Network, but it's all good, it has some really funny moments and was just cute. Amy Poehler and Tina Fey are two very funny women from Saturday Night Live, they also did Mean Girls together and made their characters an absolute joy to watch, so seeing them as the leads in this film was going to be an interesting turn. Tina Fey definitely has a lot of talent not only as a writer, but as an actress, she made her character believable and as neuritic as she was, she was still likable. Amy Poehler made her character a little too SNL at times, but these girls made the movie enjoyable and a fun flick to watch for the afternoon.",/review/rw3395823/?ref_=tt_urv
1 May 2008,evanston_dad,7," A Buddy Comedy with a Healthy Dose of Estrogen
",Tina Fey and Amy Poehler prove that buddy comedies need not be the exclusive domain of naughty boys.,/review/rw3395823/?ref_=tt_urv
26 April 2019,TheMovieDiorama,5," Baby Mama feels lighter and slightly more colourful than a used pregnancy test.
","Fey and Poehler were the 'Saturday Night Live' dream team. Consistently witty and constantly hilarious. But these results are usually produced when they are performing their own writing. McCullers, mostly of 'Austin Powers' fame, unfortunately places too many restraints on these two leads that consequently hold the overall comedy back, despite its sweet lighthearted tone. A single businesswoman, who mostly puts her career before her personal life, desires to conceive a baby but is unable to due to certain complications. She then proceeds to go down the surrogacy route and forces her lifestyle choices upon the surrogate mother.",/review/rw3395823/?ref_=tt_urv
22 April 2008,jaredmobarak,6," My avatar is dressed like a whoreBaby Mama
","Say what you will about the marketing machine, but I truly think the people behind promoting Baby Mama did a bang up jobeven if I believe they did so without trying. They make expectations so low in the trailer that you almost have to enjoy the film. Was it a great comedy? No. However, it was much better than I ever could have hoped as Michael McCullers takes us places you never would expect going in. I thought that it would be a water-downed, overlong SNL skit with one woman asking another to carry her baby, leading to a generic odd couple pairing with hijinks and gags piling on top of each other, collapsing under its own weight. Instead we are treated to a pretty sentimental and touching portrait of two women learning to grow and evolve with help from the other, a person, in both regards, that they never would have thought could teach them anything. Even the pregnancy aspect takes a ton of twists and turns never becoming the straight shot gimmick just bringing everyone together. The surrogate mother here must make some tough decisions as she continues along on her journey, lending a side to the tale that actually brings it to a level of intrigue that no Lorne Michaels film has done in recent memory.",/review/rw3395823/?ref_=tt_urv
3 July 2020,Calicodreamin,5," Bland
","Some funny moments, but overwhelming mediocre. The storyline is fairly predictable and lacks real interest, same with the dialogue, a bit bland. Characters lack depth, and there's no real chemistry. It all feels very ""Meh""",/review/rw3395823/?ref_=tt_urv
27 July 2008,Lil_miss_tazzy,9," Great Fun
",Due to my love of Tina Fey I went out of my way to see this film at the cinema; on first release it was only shown at 11-30 in the morning and I dragged my mum to watch in an empty theatre. All I can say is that it was worth the effort.,/review/rw3395823/?ref_=tt_urv
1 August 2020,cardsrock,6," Should've been better
","The entertaining comedy duo of Tina Fey and Amy Poehler don't quite live up to expectations in this movie. Those two are usually very fun together and while there are some amusing moments in Baby Mama, I ultimately found it to be a bit underwhelming. A good supporting cast can't lift it out of mediocrity either.",/review/rw3395823/?ref_=tt_urv
27 April 2008,EUyeshima,6," Predictable Farce Driven by a Deafening Biological Clock and a Familiar ""Odd Couple"" Set-Up
","There is a smattering of smart laughs in this 2008 comedy, but first-time director Michael McCullers really plods his own coincidence-driven script along with little sense of style or dramatic resonance. At times, it feels no better than a formulaic romantic comedy from the 1960's usually starring small-screen celebrities trying to break into the big time. Sure enough, this time, we are offered Tina Fey (currently of NBC's ""30 Rock"") and Amy Poehler, former ""Saturday Night Live"" Weekend Update co-anchors and definitely the cream of the current funny lady crop. The problem is that McCullers, a one-time SNL staff writer who also co-wrote the Austin Powers movies with Mike Myers, doesn't elevate the screenplay much beyond the limited dimensions of an extended comedy sketch. That puts most of the pressure on the two women to make this farce work as a distaff version of ""The Odd Couple"" with a pregnancy angle, and they often - you should pardon the expression - deliver.",/review/rw3395823/?ref_=tt_urv
26 July 2019,FeastMode,3," my notes
","Super boring and girly. some good funny moments, but mostly unfunny with some really terrible jokes. poorly made in a lot of ways (1 viewing)",/review/rw3395823/?ref_=tt_urv
23 April 2008,jdesando,," Funny and Serious
","""They're borrowing one tiny little egg and some space."" Donna Regan, surrogate mother ",/review/rw3395823/?ref_=tt_urv
