Review_Date,Author,Rating,Review_Title,Review,Review_Url
6 November 2013,A_Different_Drummer,9," As much happening behind the lens as in front ....
","Yes, I know the critics at the time panned it. But if that was the baseline for greatness, films like Wonderful Life and Citizen Kane would be lost to obscurity. Bottom line, this is a ""high concept"" film that is much more entertaining than you would guess. The timeline is fascinating. In the 1960s, after a half-century run, and massive exposure on the new medium called Television, the classic western started to disappear. But, as they say, nature abhors a vacuum; and at the same time the sun started to set on the traditional western, it started to rise on something called the ""italian westerns"" or re-imaginings of the genre from Europe. This is for example how Clint Eastwood went from forgotten TV actor (Rawhide) to #1 box office attraction. This new genre lasted barely 15 years or so and soon disappeared as well. Yet out of nowhere, 20 years later someone in Tinseltown gets the idea to re-imagine the ALREADY RE-IMAGINED western, this time starring a female. Sharon Stone was past the apex of her career by this point, making the project more of a challenge. The other talent was awesome. A pre-Oscar Russell Crowe, a pre-Titanic diCaprio, and all backstopped by Hackman, I mean, wow. The big question, did it actually work? Answer yes. It was uneven in parts and an argument could be made that Hackman overdid the ""bad guy"" role or, alternatively, the part was over-written. Stone was awesome, proving she had the chops to take on a bizarre role and make it hers. Actually gets better with each successive viewing. ((Designated ""IMDb Top Reviewer."" Please check out my list ""167+ Nearly-Perfect Movies (with the occasional Anime or TV miniseries) you can/should see again and again (1932 to the present))",/review/rw0369682/?ref_=tt_urv
6 July 2003,bob the moo,," More style than substance but good fun as a modern spin on the spaghetti genre
","In the Western town of Redemption John Herrod runs everything, they say he gets half of every dollar spent or earned.  In order to face his enemies face on he runs an annual quick draw contest where fights battle each other until only one remains.  The winner takes home a small fortune  the losers leave wounded if they are lucky.  Into this contest comes a group of hopefuls including a woman who has personal reasons for signing up.",/review/rw0369682/?ref_=tt_urv
5 August 2004,Boba_Fett1138,8," Fun modern western.
",This movie uses lot's of ingredients used in classic westerns. It does it in a fun way but it doesn't spoof the classic westerns in any way and it never becomes humorous or a parody that makes fun of the genre.,/review/rw0369682/?ref_=tt_urv
16 August 2009,Samiam3,7," Raimi goes West
","With The Quick and the Dead, Sam Raimi approaches the old west with a very new/contemporary style. With its brisk energy and competitive characters, the story often feels like a sports movie with lots of photography tricks. If you want a top western, this might not be your film, but if what you seek you is good old pistol-whippin' American fun, this might do the trick.",/review/rw0369682/?ref_=tt_urv
7 April 2015,ma-cortes,6," Thrilling Western in Spaghetti style in which a mysterious stranger female arrives in a township where takes place a quick-draw competition
","Peculiar Western with spectacular gun battle between Sharon Stone and Gene Hackman . The title ""The Quick and the Dead"" comes from the King James translation of the Bible, I Peter 4:5, which admonishes the believer from behaving like pagans, ""who shall give account to Christ that is ready to judge the quick and the dead"" . This violent Western is set on a township called Redemption , the star is a mysterious female revenger , ¨a woman without name¨ (Sharon Stone as Clint Eastwood-alike interloper) who has a secret agenda of her own . It deals about a gunfighter arriving a little town , it has the usual shops and buildings, as General merchandise, Livery stable, boarding house , Hardware , Barber shop, Saloon , Hotel and Church . The western town owned by a ruthless gunslinger (Gene Hackman) hosting an elimination tournament to find the fastest gun in the West , as Lady avenger comes to the aid of embattled citizens as well as searching vendetta . The excitement starts at the duel when the hands point straight up .",/review/rw0369682/?ref_=tt_urv
27 January 2008,bkoganbing,8," A Fast Draw Superbowl
","Although The Quick and the Dead is primarily remembered among film fans starring Sharon Stone as a revenge seeking frontier woman, for me the film stands out because of Gene Hackman. As John Herod, outlaw kingpin and ruler of the outlaw town of Redemption, Hackman is one of the most evil people ever created in any film genre.",/review/rw0369682/?ref_=tt_urv
9 April 2012,classicsoncall,8," ""Maybe one day your luck will run out.""
","The Western is my favorite movie genre and I've seen hundreds of them. After a while it's difficult to find anything unique about them because it's usually the good guys versus the bad guys and when you get to the end justice is generally served. ""The Quick and The Dead"" combines elements of your typical Western themes, the evil town boss who rules with an iron will, gunslingers out to prove who's the fastest draw, and the no-name stranger who hits town seeking revenge for a past wrong. There's even a former outlaw who's turned to the Bible in an effort to seek redemption, adding some resonance to the name of the town where the story takes place.",/review/rw0369682/?ref_=tt_urv
1 April 2014,amesmonde,," Worth watching for the performances
","A woman rides into town and finds herself caught-up in shooting duel competition, which fits her agenda for revenge.",/review/rw0369682/?ref_=tt_urv
8 June 2012,KineticSeoul,7," It's like a comic book western
","Now I enjoy western movies and although this doesn't have that traditional western vibe going for it, it's still pretty darn entertaining. This movie is like watching a comic book western movie come to life and although the plot is a bit absurd it's creative and has substance to it. Despite the it going in a narrow direction but it goes in a narrow direction with at least some substance. The plot is about a woman named Ellen aka Lady(Sharon Stone) who is a badass cowgirl that comes to a western town with a motive and ends up in a quick draw tournament with bunch of contestants. Anyone can challenge anyone in this tournament. The reward for winning the tournament is 120,000 dollars and the last man standing takes it all. What I liked about this movie besides it being a movie about a quick draw tournament in the west is how fun, intriguing and creative the action scenes are. A bit wacky at times but still pretty cool to watch, even the dialogue is a bit comic book like. Sharon Stone is charismatic and very attractive in this, especially with the cowgirl attire. Leo is pretty good as the Kid even if he can be a little annoying at times. Gene Hackman stands out as the villain without overdoing it and actually backs up what he says for the most part unless when he is unsure. So it isn't a shock why he owns the whole western town but this isn't the first western Gene has been in. Russell Crowe is in this and although he plays decent part in the story his character ain't nothing special and sort of comes off mundane but he was in good shape. Despite his mysterious past. Overall I enjoyed this movie, not one of the best western I seen but it's a pretty cool one.",/review/rw0369682/?ref_=tt_urv
3 June 2002,lwjoslin,," Splatter Western
","""The Quick and the Dead"" is a ""splatter Western,"" directed by horror vet Sam Raimi (whose latest, as of this writing, is ""Spider-Man,"" but who cut his teeth on the ""Evil Dead"" trilogy).  It's set in the oh-so-ironically named lawless town of Redemption, a haven of grotesques that gives us an idea what the wild West would've looked like if had been painted, not by Frederic Remington, but by Heironymus Bosch.  ",/review/rw0369682/?ref_=tt_urv
