Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 September 2021,Tweekums,7," A decent enough British remake of a better Belgian series
","This series is centred on Professor Jasper Tempest; a criminology lecturer at Cambridge. After a request from police officer, and former student Lisa Donkers, he starts helping the local constabulary with their investigations. He isn't easy to work with; he is obsessed with cleanliness and will say exactly what he thinks which makes him seem rude and insensitive.",/review/rw7316323/?ref_=tt_urv
26 June 2021,Sleepin_Dragon,8," A very watchable series.
","To start off, I have not seen the original series, so my views are not influenced by the fact that this is a remake.",/review/rw7316323/?ref_=tt_urv
3 June 2021,irnbru-333,7," Successful & Stylish Remake of the Belgian Original
",This is a fairly straight remake of the much-liked Belgian show from 2015 which ran to three series and can be found on ALL4.,/review/rw7316323/?ref_=tt_urv
11 June 2021,rich-mac,8," Crime and humour - what could possibly go wrong
",Professor T is refreshingly good fun - the emphasis is on its quirky character development and detailing which is enhanced with glimpses into the main character's inner surreal world.,/review/rw7316323/?ref_=tt_urv
7 June 2021,pereiradorogerio,9," An excellent crime series with a surrealistic comedy side.
","I didn't see the Belgium original series and I'm glad for that, now I can enjoy the British take on it, without spoilers. It's a perfect cast, I love their acting and how they interpret the characters. The filming is superb and has a fantastic scene composition. Also has a good soundtrack, attention to set details and overall design. It gets better with each new episode, don't be discouraged by the simple crime plot of the first episode, keep watching and you will be rewarded. I can't wait for season 2. For me it's a solid 9, I think talent like this,both on filming and acting, must be recognized.",/review/rw7316323/?ref_=tt_urv
19 January 2022,systersister,7," Good enough.
","In Murder in Paradise Ben Miller was this quirky policeman with a big brain and no social finesse. Great show. In Professor T he repeat that performance. But now as an eccentric crime academic. With no social finesse and strange behavior. It works this time also. But I miss him in Murder. Better role. Emma Naomi is also really good. Well, I have seen the original Belgian Professor T. Its not better than the British cover but is a bit warmer. Hope for a new season.",/review/rw7316323/?ref_=tt_urv
15 June 2021,superenigmatix,10," Perfect
",Ben Miller is wonderfully bonkers and plays it just right. Highly entertaining. Recommended.,/review/rw7316323/?ref_=tt_urv
16 June 2021,vacio-43323,6," Interesting, but, it doesn't stand out.
","I love Ben Miller as an actor, in the series ""death in paradise"", he is splendid, but, compared to the Belgian version, in which a Koen De Bouw absolutely shines, you really think he has that disorder, the second you see him in scene, you know that something is not going well, he knows perfectly how to move between reality and madness, he is also supported by enormous secondary actors such as the actress Goele Derick who plays his secretary, the actor Carry Goossens his college colleague or the actor Herwig Ilegems who acts as a police officer.",/review/rw7316323/?ref_=tt_urv
4 June 2021,xmasdaybaby1966,10," Tempestuously good.
","Why do people watch one episode of a show and then give it a poor rating on the show's main page? Surely, they should put the review on the episode they saw so that the marks for the series reflect the views of those that have watched the whole series?",/review/rw7316323/?ref_=tt_urv
5 June 2021,jerry6-1,8," sofar only watched 3 eps
","Ben Miller is perfect for this part , the cast is very good they play well off each other . Scenery and photography are great . Hoe this continues for a few more seasons . So few shows worth watching these days.",/review/rw7316323/?ref_=tt_urv
12 August 2021,Design88,5," Sadly...no comparison...
","I'm another reviewer who has been spoiled by the original Belgian series which is unique, quirky, compassionate, bright and fiery!! In comparison, the UK version is dull, poorly cast and rather boring.",/review/rw7316323/?ref_=tt_urv
16 June 2022,kindofblue-78221,9," Old fashioned TV that's very satisfying.
",Professor T may not appeal to the vast majority of people.,/review/rw7316323/?ref_=tt_urv
8 August 2021,davholsea-99002,2," Terrible adaptation of a great work.
",I have no idea how people have given this the scores they have.,/review/rw7316323/?ref_=tt_urv
21 July 2021,OperaTarte,6," Dr. T-ERRIBLE
","""Unfortunately"" I watched the original version from Belgium. None of this - for me - comes close to the quirkiness & originality of the first. It might help if the peripheral characters/actors were cast on par - they are not. One of the weakest supporting cast I've seen. There is absolutely no charisma - no balance amongst any. The 'romance' doesn't deserve attention - tossed in there to give the backstory some personality. The two momentary lovers are poles apart in conveying any attraction, individually or as a pair. I'm mildly surprised at this British series being to lacklustre - then again lately very few have even tried to even try.",/review/rw7316323/?ref_=tt_urv
