Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 September 2005,lee_eisenberg,10," ""The Mask"" is, and forever will be, SMOKIN'!
","""The Mask"" was the movie that introduced my family to Jim Carrey. And we all thought that it was great. Carrey plays unlucky bank clerk Stanley Ipkiss, who one night finds an ancient mask. When he puts it on, he turns into sort of a cartoon character; think Roger Rabbit on acid. The really great thing about the movie is that they just turn Carrey loose. Anything that you can imagine him doing, he does here. A particularly funny scene is when the police tell him to freeze, you'd better believe that he freezes! All in all, Jim Carrey's humor will never get old. He may have given his all-time funniest performance in ""The Mask"".",/review/rw5022972/?ref_=tt_urv
22 February 2005,BrandtSponseller,10," Incredible success when seen as a surrealistic cinematic pastiche
","Stanley Ipkiss (Jim Carrey) is a bit of a dorky pushover. For example, he buys hot concert tickets to try to get a date with a fellow bank employee he's been pining after, but she easily scams him into keeping the tickets for herself, and he is too weak to publicly object. But when he comes across an ancient mask of Lodi long ago discarded by Vikings who tried to bury the ""troublesome object"" at the ""end of the Earth"", he discovers it has the power to unlock his true self--suave, smooth-talking, manic, a bit dangerous, and a hopeless romantic.",/review/rw5022972/?ref_=tt_urv
22 January 2007,mjw2305,7," A Fine comedy treat
","Carrey is on top mad-cap form in the Mask, he plays Stanley Ipkiss, a boring Mr. nice guy with a longing for more excitement and success in his life. When he finds a relic of an ancient mask, he gets slightly more than he could have dreamt of; he becomes a cartoonish superhero and at last he can live out his desires; or not! ",/review/rw5022972/?ref_=tt_urv
15 April 2002,Special-K88,," one of Carrey's best
","Broad, inventive comedy stars Carrey as a repressed, down-on-his-luck banker whose once uneventful life is dramatically changed when he uncovers a mysterious ancient mask that brings out his innermost desires. After developing a close bond and gradual affection for a sexy songbird and prospective client (Diaz), he then tangles with her ruthless, lowlife gangster boyfriend (Greene). Lively, imaginative comedy with big laughs and nifty effects that almost make you feel like you're watching a live-action cartoon. The violence borders on extreme, but Carrey is in peak form and provides more than enough classic moments to make up for it. A must for Carrey fans. ***",/review/rw5022972/?ref_=tt_urv
7 July 2007,Atreyu_II,9," This movie is a scream!!!
","If you ask me, 'The Mask' is Jim Carrey's best work ever. It's his best movie and the only one of him I find really great. It's not a movie without its faults, but it's original, imaginative, creative and has very good comical gags. It's a classic. Or, to use only one word to describe it: ""Smokin!""",/review/rw5022972/?ref_=tt_urv
13 February 2004,DarthBill,8," Somebody stop that Jim!
","This was the movie that got me into Jim Carrey (though I'd seen him on ""In Living Color"" a couple of times), and it's still my favorite, though Ace Ventura #1 was also kind of funny.",/review/rw5022972/?ref_=tt_urv
23 November 2003,Smells_Like_Cheese,9," One of my favorites in my DVD collection
","Remember back in the day with the hit TV show In Living Color had several stars, one of them being Jim Carrey. He was one goofy guy with crazy physical comedy routines that could get your stomach hurting from laughing so much. But could this man make it to the top and possibly bring in a number one movie at the box office? He did, with 1994's smash hit The Mask. I remember seeing this movie when I was 9 years old and being in the theater nearly dying of laughter. I wanted this movie so badly on VHS when it was released, my parents got it for me and I think I must have played it a few dozen times a day. Jim Carrey was like no comedian that I had seen with how crazy this guy would be and The Mask truly showcased his talents.",/review/rw5022972/?ref_=tt_urv
11 November 2002,TheMan3051,10," Awesome!
",This is easily Jim Carrey's greatest picture! Not only that but in my opinion this was one of the funniest films of the `90s. This is such a fun movie that you can see it 10 times and it's still as fun as the first time. The film stars Jim Carrey in another amazing performance and the BEAUTIFUL Cameron Diaz in her debut. ,/review/rw5022972/?ref_=tt_urv
19 December 1999,Spleen,8," How to cast Jim Carrey
","It's hard to use Jim Carrey in a movie.  He's very good at his rapid-fire mimicry routine, but how can it ever be anything other than a diversion from both character and story?  (Very rarely is it a pleasant diversion.  `Ace Ventura' was unendurable.)  And yet, what else can you do with him?",/review/rw5022972/?ref_=tt_urv
5 February 2020,MR-ODIN,," The Mask
","Extremely fun, fast-paced and colorful, The Mask is a movie with a good direction by Chuck Russell, a script very well adapted by Mike Werb, a beautiful story by Michael Fallon, great visual effects and excellent performances by Jim Carrey and Cameron Diaz. Plus, it's one of Carrey's best movies and one of the best comedy movies of all time",/review/rw5022972/?ref_=tt_urv
