Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 December 2005,ma-cortes,7," A rousing action film with an awesome cast , thrills and lots of violence
","The picture deals with an assassin (Laurence Fishburne) along with a group of delinquents (J.A Rule , John Leguizamo) are led to prison by security policemen (Kim Coates and Dorian Harewood) and during a snowstorm find shelter in a sleepy police station and almost locked out due to demolition . Precinct is commanded by a sergeant (Ethan Hawke) and there are an old police (Brian Dennehy) , a secretary (Drea De Matteo) and a psychologist (Maria Bello). Police station in ghetto district 13 is suddenly under siege and itself surrounded by violent gangmen heavily super-armed with technological weapons and helicopter . The opponents attackers sworn revenge about the murderer now inside the precinct 13 . ",/review/rw1079711/?ref_=tt_urv
6 February 2005,BrandtSponseller,7," Nowehere near as good as the original, but worth a viewing
","A remake of John Carpenter's superior film of the same title from 1976, Assault on Precinct 13 concerns a siege on a largely abandoned police station, which is related to the presence of a notorious criminal, Marion Bishop (Laurence Fishburne). It's left up to a ragtag group of police employees and criminals to defend themselves.",/review/rw1079711/?ref_=tt_urv
20 November 2005,Coventry,7," Good remake, but no competition for Carpenter.
","When they first announced there was a remake of John Carpenter's ""Assault on Precinct 13"" in progress, my immediate reactions were a little something like: ""What?...Why?... This is blasphemy! ... This movie doesn't need to be remade!... etc etc"" John Carpenter's original definitely was a revolutionary cult film. It was shocking, disturbing and politically incorrect and they simply can't make movies like that anymore nowadays, no matter how cliché that sounds. Therefore it was impossible for this remake by Jean-François Richet (never heard of him) to improve over the 1976-version. The good news, however, is that Richet never really tries to steal Carpenter's thunder and he surely delivered the best possible movie he could. Assault '05 is an A-budgeted movie that often has the charm of a B-movie and hangs together by adorable clichés, stereotypes and very explicit violence. On new years eve 2004, moments before the transfer towards a brand new police precinct, the old and abandoned precinct 13 is besieged by a gang of heavily armed and well-trained police officers. The reason? Top-gangster Marion Bishop, who was arrested earlier that night, has too much knowledge regarding the corrupt cop Marcus Duvall and his unit. In order to save their own careers, they have to eliminate Bishop before dawn, but also the innocent cops and random people who're in the precinct, because they know too much too now. The film offers quite a lot of suspense, good acting performances (by an impressive cast) and hard-boiled action. The setting (Chicago during a severe blizzard) adds to the tension. John Carpenter's original (which was, in fact, already a sort of remake of ""Rio Bravo"") will always remain one of the coolest, groundbreaking action movies ever (if it were only for that brutal and hugely controversial ice cream-truck sequence alone), but this film is a neat tribute.",/review/rw1079711/?ref_=tt_urv
30 May 2005,krorie,6," Not as good as the originals, but still worthwhile for action fans
","This is a remake of a remake and yet still packs a punch. I've seen the original ""Rio Bravo"" several times, including when it first came out. It was masterfully done and was one of the Duke's best movies from the 1950's. I saw John Carpenter's ""Assault on Precinct 13"" when it first came out in 1976 and remember it as being one of Carpenter's best movies. Now we have another version with basically the same characters including the drunk, originally played by Dean Martin, who is tested by the struggle for survival and eventually passes with flying colors. When I first heard the Christmas music in the movie, it took me a moment to grasp the reason for the Dean Martin selection until I realized it was the producer's way of paying homage to the crooner's performance in ""Rio Bravo."" This would be more entertaining for those who have not seen the originals. This remake follows the originals to the point of spoiling some of the surprises intended. I won't go into detail on this since it would then spoil the surprises for those who have not seen the originals. The story is there; the action is there; and the entertainment is there, especially for those who are seeing it for the first time.",/review/rw1079711/?ref_=tt_urv
21 January 2005,Li-1,," A good cast and one terrifically exciting action sequence keep afloat an otherwise average film.
",Rating: ** 1/2 out of **** ,/review/rw1079711/?ref_=tt_urv
16 May 2005,christian123,6," Generic but Enjoyable
","On a snowy New Year's Eve, a police station where a bus full of convicts has been jailed comes under attack from corrupt policemen, forcing a police sergeant with a cloudy past (Ethan Hawke) to team with a ruthless mob boss (Lawrence Fishburne) to try to keep them at bay.",/review/rw1079711/?ref_=tt_urv
4 May 2005,croatiansensation29,," An exciting, violent action film!
","Now, before you criticize me, I have never seen the original John Carpenter version of this film. Being a huge fan, I really should see it, and after seeing this remake, I will definitely track down the original to see if it is as good as this film. I had a blast! ",/review/rw1079711/?ref_=tt_urv
10 April 2006,jotix100,7," The old police station
","John Carpenter's original ""Assault on Precinct 13"" was a film that should have been left alone. This remake, directed by Jean Francois Richet, is not without its merits, but in the end, it leaves us wishing it was better.",/review/rw1079711/?ref_=tt_urv
14 December 2006,mstomaso,7," Intense, wild, well-acted thriller - just a tad absurd
","Jean Richet's remake of the Carpenter thriller Assault on Precinct 13 is surprisingly entertaining. Assault on Precinct 13 (2005) loses the Carpenteresque weirdness and soundtrack, and tells the story of a remote, run-down police precinct under assault using more conventional cinematography and production. This is an achievement, but not because of the difficulty of following in the footsteps of Carpenter - because the film entertains without doing so, and because the narrative - just like all of Carpenter's films- manages to keep going without regard for the improbability of the plot. In other words, the Director kept a straight face and made the film entertaining enough to allow for a certain amount of suspended disbelief.",/review/rw1079711/?ref_=tt_urv
25 January 2014,SnoopyStyle,7," Good solid action thriller
","Sgt. Jake Roenick (Ethan Hawke) is on desk duty 8 months after a botch undercover operation kills his close fellow officer. It's New Year's Eve and he's in charge of Detroit's precinct 13 which is suppose to be closed after midnight. Crime lord/cop killer Marion Bishop (Laurence Fishburne) has just been captured and is being transported to jail. However a huge snow storm redirects the transport to precinct 13. This attracts a large group of gunmen, and the skeleton staff must fend them off with help from the prisoners.",/review/rw1079711/?ref_=tt_urv
