Review_Date,Author,Rating,Review_Title,Review,Review_Url
25 November 2007,Smells_Like_Cheese,10," I loved Enchanted!
","I first saw the trailer for Enchanted in the spring, from the moment it ended, I knew this was a movie that I wanted to see. I finally saw it today and it's everything that I hoped for and more. It was nice to finally see a Disney movie that wasn't computer animated, the beginning was almost a forgotten memory of the old fashion animation that I miss so much. But Enchanted is without a doubt one of the most fun films of the year and so perfect for the whole family. I though the plot was so extremely clever, what if the cartoons with the fairytale stories met into today's world? Especially in New York City? The cast just looked like they had the ultimate blast making this movie and really brought it to life. They each held their own and were a perfect choice for the comedic role they had to play. Enchanted is a clever twist on the classic fairy tale.",/review/rw1770079/?ref_=tt_urv
3 January 2008,planktonrules,9," Heart-warming, but probably not for everyone
","I finally saw this film nearly a month after its debut. Because of this, there are oodles of other reviews and many of them encapsulated the plot very well, so I won't even try. Instead, from the standpoint of a middle-aged man, I loved the film. Some of this might also be because I took my teenager with me and since she got such a kick out of the film, I couldn't help but like the film. I thoroughly enjoyed ENCHANTED and am glad I saw it. However, after it was over I thought to myself how would others like the film? After all, I am a real softie and like romantic films--what about teenage boys, guys who only cry at John Wayne flicks or rabid feminists? I seriously doubt these audiences would have appreciated the film nearly as much, say, a group of young girls or people who just love the Disney cartoons it parodies. Still, for the right audience, this is a sweet and magical film that is sure to please.",/review/rw1770079/?ref_=tt_urv
22 November 2007,jaredmobarak,8," The steel beast is defeated peasants, you are freeEnchanted
","In honor of the Thanksgiving holiday, I will post a family film review. Who better to deliver in that genre than Disney with their new animated/live action hybrid Enchanted. This movie is very cute and quite good at being both wholesome for the kiddies and tongue-in-cheek for the adults. You need to appreciate a studio being able to poke fun at itself. By using the classic stories of Cinderella, Snow White, and Sleeping Beauty, all made famous in their own right by the Mouse House, we are given some big laughs. The acting is very self-referential and broad as far as the fairy tale roles that make the journey into our world's New York City go. Screenwriter Bill Kelly gives the cast some great lines and set pieces to play in, ultimately showing us that the storybooks aren't always right. True love does exist, but not necessarily with the one you first think. The message is good, the songs are good, the animation and acting are goodDisney came through with this one. Along with Meet the Robinsons, Mickey and friends may be turning the ship around into a new renaissance.",/review/rw1770079/?ref_=tt_urv
21 November 2007,Jay_Exiomo,8," That good old story with a modern twist
","Combining elements of modern day Manhattan with romanticized fairy tale settings, ""Enchanted"" tells the story of Giselle (Adams), your typical Disney leading lady living in a cottage, singing with innocent creatures, awaiting the day she would meet her prince charming. He turns out to be Prince Edward (James Marsden), a dashing debonair who happens to be the stepson of the wicked witch Queen Narissa (Susan Sarandon). They meet, fall in love in a whim, and decide to marry the next day.",/review/rw1770079/?ref_=tt_urv
13 July 2010,claudio_carvalho,9," Delightful Fairytale with Happily Ever After
","Once upon a time in the magic kingdom of Andalasia, the evil Queen Narissa does not want to lose her position of queen and consequently that her stepson Prince Edward finds a girl. When Edward meets the dreamer Giselle, they immediately fall in love with each other and decide to get married on the next day. However, Narissa disguises in an old witch and lures Giselle, pushing her down in a magic wishing well that brings Giselle (Amy Adams) to the real world in Times Square in Manhattan. Giselle does not find anyone gentle and is completely lost in the cold and rainy New York trying to find the way back to Andalasia. However, the divorce lawyer Robert Philip (Patrick Dempsey) and his daughter Morgan Philip (Rachel Covey) help Giselle and she spends the night in their apartment. Meanwhile Prince Edward (James Marsden) and his squirrel Pip jumps in the well and arrives in Times Square seeking out Giselle. But Queen Narissa sends his minion Nathaniel (Timothy Spall) yo New York with a poisoned apple to kill Giselle. Robert, who is engaged of Nancy (Idina Menzel), becomes fascinated with the naive and lovely Giselle that falls in love with him. But her prince charming is in the real world to bring Giselle back to Andalasia.",/review/rw1770079/?ref_=tt_urv
22 June 2009,TheLittleSongbird,9," Sweet, funny and charming, one of the most pleasant surprises of 2007!
","I loved Enchanted, by all means it isn't perfect, but it is a sweet, fun and charming film, that to me was a huge surprise. The animated sequences were lovely, with bright colourful backgrounds, and the live action ones are beautifully shot. The music, by surprise surprise Alan Menken was surprisingly good, taking inspiration from Disney classics like Snow White, Cinderella and Sleeping Beauty. I particularly loved the production number in the park. The script is fresh and funny, and the actors look as though they are having fun, making the film refreshingly irreverent, if perhaps a little silly. I also thought the performances were excellent, Amy Adams was beautiful and perfectly charming as Princess Giselle,(sounds like something out of a ballet), and James Marsden was actually tolerable here as Edward. Sure, he mayn't be the most likable of all the princes ever, but he was funny at times. Patrick Dempsey was also good as Robert, who Giselle meets in New York, and in some way he falls in love with her. Timothy Spall has his moments as Nathanial, and while I personally wouldn't associate Susan Sarandon with villainous roles, she was great as the villainous Narissa, who banishes Giselle to New York. Though, my favourite character has to be Pip the chipmunk, he was not only sweet but absolutely hilarious. The scene when he tries to tell Edward of Nathanial(and impersonating him), culminating in him swaying about singing the love theme, had my whole family in hysterics. I loved Enchanted with its quirky performances, fast pace and engaging dialogue, though I will say the film in't without a flaw. (yes almost every single film I've seen has at least one)The film's only flaw is that the CGI Dragon finale was slightly overblown. Other than that, a simply delightful film, that kids and adults will enjoy. 9/10 Bethany Cox.",/review/rw1770079/?ref_=tt_urv
6 April 2008,bensonmum2,8," ""The steel beast is dead peasants! I've set you all free!""
","I'll make this quick as Enchanted has already been discussed to death on IMDb. And quite honestly, I've got nothing much new to add. But I did want to post a comment and add my voice to those praising this movie. I am absolute stunned at how much I enjoyed Enchanted. It's just that  enchanting. And it may be the best thing Disney (without Pixar) has done in years. I love the way Disney uses Enchanted to poke fun at itself  something that quite honestly I didn't thing they would ever do. The song in the park is an incredibly inspired moment that works on two levels  one as an entertaining throw back to a time when musicals were acceptable forms of entertainment  and two as a spoof of all of those musicals. Finally, the casting couldn't have been better. I didn't know who Amy Adams was before I watched Enchanted, but she is awesome and plays the part of a Disney princess to perfection. It's just a fantastic movie!",/review/rw1770079/?ref_=tt_urv
25 November 2007,bigbillythefish92,9," This isn't just a movie...it is a time-machine to the glory days of Disney.
","I'm a teenage boy, and the reviews for ""Enchanted,"" along with some friendly persuasion from my sisters, moved me to give this live action/animated combo. a chance. In the first fourteen minutes of Enchanted, there were two things that caught my attention: 1)The never-ending, sugar-coated, sing-along tune and 2) The grainy style of animation that Disney lavished upon the screen(a tribute to the Disney classics, such as Beauty and the Beast and Sleeping Beauty); in this time span, I felt truly embarrassed to be sitting in the theater with the older couples clustered around me. I mean, what kind of boy in his right mind would want to watch a movie with musical numbers and pretty princesses? And yet, there was something about it...the aire of it almost took me back to the days of my childhood when I would smash my face up to the T.V. screen, when Belle and the Beast were having their unforgettable ball dance or when Ariel was brushing her hair with a fork. It was these sorts of memories that surfaced to my mind as I kept watching Enchanted. And it kept getting better and better. When there was a sudden switch to live-action, my heart was captured by Amy Adams, who seems to be, in my opinion, the finest choice for Giselle. Prince Edward and Robert also had their perfect fits (James Marsden and Patrick Dempsey). Even though this movie is close to perfect, it still has its problems. There is an aire of predictability in the storyline, as well as the fact that it's swamped with clichés (some of which are fresh, and some of which are flat). Yet it flows on, innocently, with its strong actors/actresses, decent-enough screenplay that gives you a warm feeling in your heart (which is what Disney is supposed to do, right?), spectacular music numbers that have charm, and the fact that it is suitable for all ages. There is a little something for everyone in this film--and it's not just a film either--it is a time-machine back to the golden era of Disney's animated films, and its live-action ones as well. And it helps me look forward to the new Disney: one that keeps surprising me more and more every single day.",/review/rw1770079/?ref_=tt_urv
22 November 2007,roddmatsui,8," An enjoyable romp.
","This is really the definition of ""light entertainment,"" and seriously, I am still smiling about it now. After getting in the way of an Evil Queen, a fairytale princess is cast into an alternate reality--the real world as we know it--and must survive there until her rescue by her Prince Charming. Hmm! From the trailer I saw, my guess was that ""Enchanted"" was a one-joke show, a series of gags about how fairytale magic falls on its face in the real world. That Disney has managed to squeeze at least four or five good jokes out of the idea, and mixed in a few sprinkles of profundity on top of that, is something of an achievement. As a romp, it works fairly well, and it delivered quite a lot more than I was expecting. ",/review/rw1770079/?ref_=tt_urv
17 February 2008,Rcwilkinson123,7," Can a guy like this movie? Actually, yeah
","'Enchanted' looks like a movie that a guy would never be seen at. C'mon, it's another Disney princess, and just looks pretty girly, right? Well, this is true. But it is funny enough to make both males and females enjoy a film where Disney pokes fun at their own masterpieces in the form of a Cinderella, Snow White, or Sleeping Beauty.",/review/rw1770079/?ref_=tt_urv
14 November 2007,schwanna,10," Adorable Family Film
","I had recently seen a screening of this movie and was pleasantly surprised that it had completely exceeded my expectations. The theater was full of laughs from the beginning throughout all ages. In the beginning I was worried that Amy Adams would make Giselle seem like some obnoxious daytime children's television character, but instead she managed to please the audience during the entire movie. There was also enough humor to keep the older viewers entertained from hilarious allusions to popular fairy tales and even some ""adult"" themes insinuated, while still keeping the film Disney clean. Overall I completely enjoyed this movie and recommend it to all families.",/review/rw1770079/?ref_=tt_urv
6 February 2011,moonspinner55,6," Enjoyable fairy tale frolic, if you're not too cynical or damning...
","New York City divorce lawyer and single dad Patrick Dempsey chances to meet distressed storybook princess Amy Adams, a once-animated maiden who has become mortal after being pushed into the real world by a wicked queen. Instead of a fish-out-of-water fairy tale from Walt Disney Pictures, we get a cartoon character turned three-dimensional...add songs, homages to Disney classics, plus a computer-generated squirrel (for slapstick value) and you've got the makings of a pleasant, if top-heavy, romantic comedy for eleven-year-old girls. Some of the humor is a bit too outrageous (I could have done without the bathtub-scrubbing cockroaches), but Dempsey and Adams really put their hearts into this sugar-coated scenario and give us an attractive, appealing couple worth swooning over. The animated prologue is fun, and Susan Sarandon is a perfect villainess, although Bill Kelly's screenplay is a little short on genuine supporting characters: the entire picture seems to take place in a vacuum, with the Big Apple residents (minus one ticked-off bus driver) under some sort of catatonic spell. **1/2 from ****",/review/rw1770079/?ref_=tt_urv
2 November 2007,Dviitale-1,9," A great, fun, Disney classic!
","First off, I want to say that, there is a comment on this thread where someone calls Enchanted disturbing, should be rated R, etc. It is obvious she did not see the film. This reviewer is high, and, this review should be removed.",/review/rw1770079/?ref_=tt_urv
29 August 2019,Aoi_kdr,8," The reason why everyone loves Disney.
",Brilliant!! I thought Disney makes fun of itself about the gap between its own taste and the real world in this movie. But it was more nice than I expected!,/review/rw1770079/?ref_=tt_urv
9 February 2020,brookenichole-98054,9," I can't deny it
","This movie is insane. Amy Adams is great but also crazy as the main actress. The whole movie feels so crazy. But in the end, I love it. It adds great fantasy to real life situations. It has positivity and great messages!",/review/rw1770079/?ref_=tt_urv
26 November 2007,isaacbbabcock,10," Classic storytelling blended perfectly with modern reality
","I'm not in this movie's target demographic. I'm a guy aged 24-30. Yet the preview sucked me in, and I'm glad I did. Why? It's a movie that tells us a little about ourselves, and makes fun of how we distinguish fantasy from reality and why we hold onto our dreams.",/review/rw1770079/?ref_=tt_urv
3 November 2007,greggandkristi,10," Practically Perfect
","The movie is quite simply, the best Family movie in the past few years. From the beginning, the movie sucks you in with narration from a Disney Legend. You fall in love with the characters right away and it's quite simply a return to the greatness that Disney can deliver. The cast led by Amy Adams, Patrick Dempsey, James Marsden and Timothy Spall (Wormtail from the Harry Potter movies who gives an inspired Oscar-worthy performance) is impeccable. Rounding out the cast is Susan Sarandon who is part Evil Queen, part Maleficent and pure EVIL and the adorable Rachel Covey who is the perfect ""mini-princess"" for Giselle to play off of. The music by Stephen Schwartz and Alan Menken (in a return to brilliance) is terrific. The original songs are the best to come out of Disney since The Hunchback of Notre Dame. The story, quite simply is part fish-out-of-water, part romantic comedy, part animated and all fun. The live-action portion of the movie feels like your watching animation. The way that Giselle infects those around her with her innocent ""Princess-esque"" demeanor is really at the heart of what makes the movie so great. Of course, it wouldn't be Disney without a few scene-stealing animals who don't take over the movie and really are what they are meant to be, supporting characters. There are a few nods to the past as well. I won't share them here, but let's just say they are subtle enough not to be distracting, but still there enough to bring a smile to your face. The violence in the movie is nothing more than what you would see in any other PG family movie, and really aside from being live-action, isn't anything you wouldn't see in movies such as Sleeping Beauty or Snow White.",/review/rw1770079/?ref_=tt_urv
29 November 2007,adamdonaghey,10," Amy Adams is Absolutely Perfect!
","Let me first preface that I have a predisposition for enjoying Disney animated films. I'm not sure if its the child in me, or the fairy-tale stories, or what; but for whatever reason, I have a rather large soft spot for them. Enchanted is no different and has not swayed me from my position a bit. It left me wanting so much more. At first I was concerned with how the transition from animation to live action would really look like on screen, but my fears soon faded away the first time I saw Amy Adams pop out of a sewer in a giant wedding dress. How marvelous and enchanting she truly is, I thought; and how animated! How absolutely animated she is! It's really as if the cartoon has come to life--as if the New York City backdrop is just that, a fabricated, foreign backdrop. And then she started talking... And her voice, her facial expressions, everything: completely animated. After the film, David and Yen told me I absolutely had to see Junebug, and I certainly will after this performance. She shined the entire time on screen and she sold me. I actually believed she was really from some fairy-tale, animated world where dreams come true and everyone lives happily ever after. I loved her so much, I'm not even going to mention the other performances other than to say they were adequate and took nothing away from the film. I'll also note that the Central Park musical number is to die for.",/review/rw1770079/?ref_=tt_urv
21 October 2007,Rachel-368,9," Brilliant - something for everyone!
","I went to see Enchanted at the premiere on 20/10/2007 and I was really pleasantly surprised. I had expected all the usual Disney trademarks to be included; singing, animation, animals that talk, a prince and an evil stepmother, all these was there but also so much more! I was not expecting the film to be as funny as it was; it's packed with jokes; quite a few were aimed at adults, so went over the children's heads, but the weren't rude or distasteful enough to offend the children. This film is an 'all rounder'; it contains all the Disney elements that children and adults love, but also enough to humour to make it an enjoyable comedy for the adults.",/review/rw1770079/?ref_=tt_urv
1 December 2007,prettymuse789,7," Bearably Cute
","My friends and I are big Disney fanatics, so we went to see Enchanted with open minds.",/review/rw1770079/?ref_=tt_urv
