Review_Date,Author,Rating,Review_Title,Review,Review_Url
17 June 2003,Danny_G13,," Intriguing story
","Secretary is the first of its kind - a very dark love story. First of its kind in that it deals with themes never seen before seen in mainstream Hollywood cinema - S&M, sexual dominance and submission.",/review/rw0789258/?ref_=tt_urv
9 March 2004,Infofreak,," The most original romantic comedy I've seen in YEARS! Highly recommended.
","I may be a jaded old cynic but from time to time a contemporary movie knocks me off my seat. Recently there's been quite a few -'May', 'Sympathy For Mr. Vengeance' and 'Auto Focus' immediately spring to mind. 'Secretary' is another recent gem. This is the most original romantic comedy (very black, mind you) I've seen in YEARS! And for something which deals with a lifestyle alien to me (dominance and submission) it's surprisingly touching, and even managed to get me to shed a tear or two. I had previously enjoyed Maggie Gyllenhaal's supporting roles in 'Donnie Darko' and John Waters' 'Cecil B. Demented' (she played Raven, the make up artist - ""Pain is pleasure! Slavery is freedom! Suicide for Satan!' remember?), but her performance here is first class and is guaranteed to turn her into a major cult figure if not an actual genuine STAR. I confess that I now have a major crush on her to boot (I'm sure I'm not alone!). James Spader is also very, very good. While I admired him appearing in Cronenberg's 'Crash' a few years ago most of his other film choices have been safe ones and to be honest I'd pretty much given up on him as an actor. But it just goes to show what an actor is capable of with an innovative script and a supportive director. It's really difficult imagining any other two actors playing these roles any better. In the supporting cast Jeremy Davies also surprised me. I'd been getting a bit tired of his crazy shtick in previous roles, especially his extremely irritating performance in 'The Million Dollar Hotel', but he did a much more subtle job in this movie, and it really worked for me. This is my first experience with director Steven Shainberg but I was impressed. I now want to try and see his previous movie, the Jim Thompson adaptation 'Hit Me'. I also look forward to his next movie, because if 'Secretary' is any indication of his talent then he's sure to come up with something very special. Highly recommend.",/review/rw0789258/?ref_=tt_urv
21 October 2004,ODDBear,9," Fantastic love story
",A self abusing mentally unstable girl finds herself a job as a secretary in a law firm owned by mysterious Spader. The two start a kinky relationship and their lives change dramatically in the process.,/review/rw0789258/?ref_=tt_urv
22 September 2002,lawprof,8," Not Your Typical Office Romance
","Maggie Gyllenhaal deserves an Oscar nomination for her brilliant portrayal of borderline psychotic, self-mutilating Lee Holloway, a former mental institution patient seeking to sustain herself - vocationally and emotionally - in a challenging world where she has few safe harbors.  She comes from a messy family background although that alone can't explain her illness.",/review/rw0789258/?ref_=tt_urv
18 May 2003,Buddy-51,," low-keyed, quirky black comedy
",`Secretary' is an odd little sadomasochistic fantasy in which a lawyer and his secretary establish a kind of master/slave relationship in the office.,/review/rw0789258/?ref_=tt_urv
17 April 2004,rbverhoef,8," Very original
","'Secretary' deals with a daring and original subject and does this in an effective and funny way. Its subject is sadomasochism, its genre is a romantic comedy. The secretary is Lee Holloway (Maggie Gyllenhaal), who suffers from self-mutilation, her boss is Mr. Grey (James Spader), who seems the coldest man alive. When they are in the same room you feel that there is something there, they both feel it too. Since the movie opens with a certain S/M scene we already know that there is a point in the movie where the two must find each other and start the sadomasochism activities. I will not reveal how and when it happens, but the moment is great.",/review/rw0789258/?ref_=tt_urv
14 April 2003,kmberger,8," Thoughtful and yes, sentimental.
","Those Gyllenhalls, they sure can act.  Maggie, like her brother Jake, turns in great performances like they're routine - she makes it look easy.  In 'Secretary', she delivers a layered, complex performance as Lee Holloway, a disturbed young lady who deals with stress by cutting herself - the pain pushes away everything else that's bothering her.",/review/rw0789258/?ref_=tt_urv
1 October 2002,bigspeegs,9," Two great performances, one great film
","The word ""originality"" has been overused, especially by me, so much that it has almost been beaten to a pulp.  After all, how can one really tell if something in a film hasn't been done before?  Well, I can confidently say that Steven Shainberg's ""Secretary"" may be the most inventive, and yes, even original, film this year.  I can confidently say that in all of my time of watching and reviewing films, I have never seen anything like it.",/review/rw0789258/?ref_=tt_urv
13 April 2003,stephenksmith,," a dark comedy layered with nuanced social and personal commentary
","What is the path to love?  For every person, it's different.  The superficial circumstances are similar... you meet someone at work, at school, in a singles bar.  And, usually, the emotional pathways are similar. Eyes meet.  We talk.  We dance.  We communicate about ourselves to each other.  Then begins the sexual part, so we parry and thrust, take signals from each other, and, over time, we feel each other up together.  But what about the path to love through the back door (so to speak)?  What about a love story where she's a young, neurotic woman, just out of a mental hospital back to a family where Dad's a serious drunk and Mom's a serious nervous fruitcake.  And what about a man, an attorney, who's emotionally closed off and can only get in touch with orchids, inserting long stainless-steel tools into their waiting organs.  Yes, these two find each other in one of the most bizarre cinematic love stories ever. ",/review/rw0789258/?ref_=tt_urv
15 February 2004,Monica4937,9," I just want to watch it over and over and over again!
",WARNING this review contains SPOILERS:,/review/rw0789258/?ref_=tt_urv
