Review_Date,Author,Rating,Review_Title,Review,Review_Url
23 December 2022,seansoulo73,10," Perfect Ending to a Cult Classic
","Been rockin' with the Best Man franchise from day one and although I didn't know what to expect with the switch from film to a TV series, Malcom D. Lee and company pulled it off wonderfully. I'm about the same age as all the cast members, so in '99 I was a single man who had already walked away from an engagement. By the second installation I was married with kids, and now with this latest and final reboot, I'm 20 years in on this marriage journey.",/review/rw8797110/?ref_=tt_urv
27 December 2022,annette705,6," So many plots left dangling
",Felt cheated out of seeing Lance develop his new relationship and his wedding. Making Lance have sex with random women was unnecessary and not true to his character as a God fearing man. What happened with Candace's dissertation and the pervy professor? What about Quentin and his father - Did they sell the hotels or keep it in the family? What about his father's health? Did Murch continue fighting after winning that one bout? Way too much airtime was given to LJ. He has nothing to do with the Best Man movies. That was valuable time that could have been given to other storylines that needed closure.,/review/rw8797110/?ref_=tt_urv
23 December 2022,Advocate1,10," Excellence on display
","This is the kind of excellence I love to see from us! The cast, the chemistry, the final chapters. First, the idea to make it a series is great, instead of one movie, you get three! The storylines are great, full of all the twists and turns you expect from this crew. The first two episodes have a special guest who is a nice addition. The youth in the movie do a great job as well!! The final chapters leave you wanting more, but I believe we will get more. Without giving away the details, there is no way the show is going to end the way it did. I think the network wants to see how good it does, so go watch it. Tell your family, tell your friends, co-workers, church members, get these numbers up because this type of excellence isn't always on display!!",/review/rw8797110/?ref_=tt_urv
23 December 2022,yvette-78552,8," Loved It!!!
","Absolutely loved it!!! Loved the evolution of all of the characters dealing with real life issues. ""Adulting"" and trying to navigate life and everything that comes along with it....the good, the bad and the ugly. The ups and downs of maintaining relationships and the ability to work through problems, issues, secrets, falling outs and allowing love and true friendship to prevail. I too identified with so much that the characters were dealing with...Real Life, Real Problems. Kudos to Malcolm Lee for writing these characters in such a beautiful way that allowed us to grow up with them. Excellent work by the cast for bringing the story and characters to life and allowing us to close the final chapters of their lives. I am so happy and pleased with the ending of the stories, but I'm holding out hope that this isn't truly the end.",/review/rw8797110/?ref_=tt_urv
15 January 2023,Alwnva,10," Final chapters? Need a Prologue
","So, every once and a while you get a group of friends that are completely well rounded. To be able to catch up with friends throughout the years is a treat. It's satisfying to celebrate black culture. I do appreciate that the characters have layers and dimension. I know someone like each of these people. Music is an essential part of black culture and they have the soundtrack for this saga just right.",/review/rw8797110/?ref_=tt_urv
2 January 2023,leighabc123,9," This Was A Creative Continuation of The Best Man Series
","It was creative seeing all the Best Man Characters grow up and mature. All the actors and actresses are excellent. The actresses look fly in this series. The actors were funny! It was nice seeing Monica Calhoun in dream sequences, even though she had cancer and died during the last Best Man movie. I didn't like how they shoved non binary down our throats by making LJ non binary. It would have been better if all the characters lived happily ever after. But in real like, things do not turn out that way. I am looking forward to seeing a new season of this series. Maybe things will turn out better for the characters.",/review/rw8797110/?ref_=tt_urv
30 December 2022,gianthaole,3," Doesn't do the movies justice
","Oh what could have been. I really enjoyed The Best Man and The Best Man Holiday. So when you have characters that are already established and the movies entertain and help you escape what's going on in the real world, why would you take those characters and that entertainment and stick them in the real world?? I wish they would have written stories that have nothing to do with real world stuff. They even mention the Will Smith slap to Chris Rock. How is that going to age well in a limited series? If you haven't seen the show, I would skip it and just stick to the movies. Too much wokeness for me.",/review/rw8797110/?ref_=tt_urv
23 December 2022,woodb-24441,3," Extremely Frustrating and Felt Betrayed
","I was extremely excited to watch The Best Man: The Final Chapters, and when I did I felt so disappointed and frustrated by what I saw. I think the two movies are phenomenal and the characters in them feel like real people and the actors have phenomenal chemsitry, but I have so many problems with this series. The characters don't even seem like the same people as in the movies. Spoilers Ahead on what I thoguht on each storyline.",/review/rw8797110/?ref_=tt_urv
22 December 2022,melodyccomrie,9," Loved it
","I loved it! Real life, real problems, real talk. All the things that happen when you grow up and life happens. Everyone has grown up and reached certain pinnacles in their life, but are still searching and reaching for happiness. Very relatable as someone who grew up in this era. Monica Calhoun was definitely missed on this movie. These episodes also touched on issues front and center in many of our lives and touched on how important relationships are to keep, self care and spiritual fulfillment as important in our lives",/review/rw8797110/?ref_=tt_urv
27 December 2022,kaydrelia,4," Meh, missing the magic
","Not sure what happened, but there's chemistry and magic that the first two movies had that this series is missing. There's chemistry missing between the actors, the writing is a mix of being woke and trying to be funny and dramatic and it just doesn't work. The first couple episodes on the island were decent, then it just went downhill. Still love the characters, but they just didn't seem to want to be there in this series, something was way off. Disappointed, I'll stick to the two movies and their magic. Proof yet again that reboots in this new generation just don't work, magic is rarely re-created.",/review/rw8797110/?ref_=tt_urv
