Review_Date,Author,Rating,Review_Title,Review,Review_Url
8 October 2018,Bertaut,9," A disgusting, morally reprehensible piece of insane genius
","Climax, the latest film from Argentinian-French provocateur ",/review/rw5661436/?ref_=tt_urv
30 November 2018,Silent_Rocco,3," Was hoping for much more
","CLIMAX or how long can you stand watching boring dancers and average at best actors pretend to be on drugs? Zero story, lots of screaming, no surprises. I'd even say this film is pretty tame (for Noé). And it's neither radical nor inventive anymore to simply turn the camera upside down or to show the end credits first. Apart from big respect for some well done one-shot moments, I'm quite disappointed.",/review/rw5661436/?ref_=tt_urv
18 February 2019,colorthekid,8," A Great ""Feel-Bad"" Movie.
","Love it or hate it, this film is technically astonishing and whatever it's trying to do, it's doing it very well. It's almost like they've trapped the true essence of French Extremism, set it on fire, and followed it with a steady cam.",/review/rw5661436/?ref_=tt_urv
15 February 2019,Fella_shibby,1," In an attempt to be different, arty or jus to shock audiences, film makers resort to cheap stuff like repugnant n erotic gossips.....
","70 mins of erotic n repugnant gossips, unnecessary dance movements, loud music n the last 20 mins of headache inducing flickering lights, upside down shots of bizarre stuff n weird camera angles makes it a boring n abysmal film.
Pls don't call this cinema or film.
It is jus another lame excuse to pretend to be different n arty.",/review/rw5661436/?ref_=tt_urv
11 March 2021,shannonlong636,3," I give it 3 stars for the dancing
","The only good thing about this movie was the dancing. Literally, everything else about it is annoying. It's actually really boring. It has no plot and no point. The dialogue is puerile, at best, and you can't possibly empathize with the characters. If this is your first introduction to Noe, you'll likely never feel the need to watch any of his other films.",/review/rw5661436/?ref_=tt_urv
6 November 2018,baba-jo,9," This is not a movie to watch, this is an experience to have
","Well, if you are going to watch a gaspar noe movie you should know what you are going to experience; search Gaspar Noe. But this movie will probably be the most popular Noe movie among popular culture or social media or whatever. So, this is a warning for those who haven't watched a noe flm before. This is not a familiar movie for you, do not expect to see a convenient work of art.",/review/rw5661436/?ref_=tt_urv
4 February 2021,SnoopyStyle,6," experimental French dance party
",A group of dancers has a party in an empty school. Things turn bad when their punch gets spiked. I love the energy of the dancers. There is great exuberance and they dance with abandon. It took about fifteen minutes before I realized that the movie isn't cutting. I assumed it for the rest of the movie and then it changed again. I wish they go for broke and do the movie in one take.,/review/rw5661436/?ref_=tt_urv
12 February 2019,kosmasp,8," Influenced by ...
","This is not an easy watch. And while Climax may suggest this to be very sexual or at least sensual, you might be dissapointed if you're looking for that kind of ""satisfaction"". The choreography of the dancing is really good, the cinematography is something to behold too. If you don't mind long uninterrupted shots that is of course.",/review/rw5661436/?ref_=tt_urv
25 January 2019,amgee-89551,2," Very bizarre!!
",Climax is one of the most weirdest film I have ever seen. The plot was terrible. The acting was all over the place. The cinematography was beautiful but that didn't make the film any good. I definitely wouldn't watch it again. One time watch most definitely. Very strange Film. 2/10,/review/rw5661436/?ref_=tt_urv
13 April 2019,christopher-underwood,6," I am not part of the intended audience
","I find that the brutal and garish style of Gasper Noe has little appeal and I have thus far only watched some excerpts and a couple of early shorts. Understanding that this might have a greater appeal, I gave it a watch. The confrontational beginning with unappealing youths was not a promising start and though the subsequent dance routines were impressive I couldn't help feeling that combined with the thunderous 90s dance music accompaniment this was my idea of hell. An hour later into this plotless extravaganza, those same 'dance' routines are replayed as death throes in an, admittedly very well filmed, modern version of Dante's Inferno. There is considerable directorial skill here but clearly I am not part of the intended audience. My only pleasurable moment, ironically, was when the police arrive to poke about the dead bodies and we have an instrumental version of the Rolling Stones, Angie. A moment of bliss amidst a mass of agonised death wish.",/review/rw5661436/?ref_=tt_urv
