Review_Date,Author,Rating,Review_Title,Review,Review_Url
4 November 2022,AfricanBro,3," You don't need to
","It was meant to be funny but isn't. Story is something you'd expect in a movie from 2008, all it's missing would be either Sandra bullock, Vince Vaughn or Owen Wilson. Some of the characters aren't really believable, maybe each on their own sure but not all of them altogether. Not really down to the actors playing them, more like how they're written. It isn't a movie that's made for you to believe, it's more just to wring a laugh out of you with an obnoxious plot, but unfortunately it isn't funny which makes the movie seem a bit senseless. Everything was over the top, supposed to be one of those movies you enjoy with your brain shut off, you could tell in the plot which scenes were supposed to be the funny ones with characters put in crazy situations but the dialogue doesn't deliver. The jokes don't land, and it doesn't really have any characters you could root for even though it's a movie were you have to pick sides but I couldn't care less for any of the family. It could have been written so much better, highly forgettable and I wouldn't recommend going to see it especially at the cinema, mine even had an extra sub-charge for this, yet a movie like like Armageddon Time didn't, yet was premiering the same night with a bigger cast. Don't bother, if you're still hellbent on watching though, I then suggest just wait for it to come out for streaming because it's not worth paying for and due to the lack of advertisement or buzz you don't have to worry about missing out on an under the radar gem.",/review/rw8701789/?ref_=tt_urv
29 January 2023,EUyeshima,6," Immoral Characters Too Tentative to Sustain This Dark Comedy
","Dark comedies inhabited by morally reprehensible characters are a dicey proposition because they challenge the viewer to find something other than empathy to sit through a movie. Director/writer Dean Craig doesn't succeed even though he has a stellar cast willing to stoop to the depths of the venal motivations on display here. Toni Collette and Anna Faris play sisters struggling to keep their New Orleans cafe in business and climb out of debt. Their mother informs them her wealthy, nasty sister, Aunt Hilda, is dying with no direct heirs. There is a race to grab her fortune with two other cousins gunning for the same thing. A slithery David Duchovny and a hellbent Rosemarie DeWitt play the cousins, and in full Tallulah Bankhead mode, Kathleen Turner is Hilda. There are random amusing moments that work, mostly from Duchovny and Turner, but Craig weakens his acidic narrative by making Faris a shrieking harpy and giving the always watchable Collette moments of self-realization. I don't think this 2022 movie is nearly as bad as some have asserted. It just doesn't have the courage to maintain its dark tone to the bitter end.",/review/rw8701789/?ref_=tt_urv
5 December 2022,nogodnomasters,8," I love you more than my mother
","Macey (Toni Collette) and Savannah (Ann Faris with a potty mouth) own the Triangle restaurant which has been going down hill since the passing of their father. They are unable to get a bank loan and will soon be under water in New Orleans. In speaking to their mother (Patricia French) they discover their Aunt Hilda (Kathleen Turner) is in Stage 4 and will soon have no Body Heat. Savannah wants to go get in her good graces in hopes she remembers them in her will. Macey wants no part of it until she gets depressed hearing her boyfriend (Gichi Gamba) is going to Alaska for a year. Upon arrival they discover that their cousins are all there for the same reason. The conversation becomes laughably awkward and their actions they take lead to unwanted reactions This creates a funny adult comedy, not too crass.",/review/rw8701789/?ref_=tt_urv
23 November 2022,ops-52535,5," what is...
","Wrong with filmakers today? Howcome they cant make stuff better than this standardized generic cha-ta-nooga-choo-choo comedy, where the whirlpool of yap-yapping doing the morning excercise of verbalistic commotion, that , at least for a grumpy old man, wears and tears on the tuba auditiva, leaving me with an enforced tinnitus that can never be prevailed unless something funnier turns up...",/review/rw8701789/?ref_=tt_urv
29 November 2022,c-glive,7," Actually pretty funny
","I went into this with not much hope. Though some of the scenes are predictable, I give the script and actors credit for going all out in some of the outrageous parts. The movie isn't a record breaker but it was a damn funny change of pace. Everyone plays their part to perfection. Reminds me of Eulogy (2004) or Home For The Holidays (1995) or even Greedy (1994). Definitely should be in the high sixes on IMDb.",/review/rw8701789/?ref_=tt_urv
15 November 2022,tabuno,8," A Daring Darker Comedy, Not For Everybody
","Toni Collette, Anna Faris, David Duchovny, Ron Livingston, and Kathleen Turner star in this somewhat dark, risqué comedy about cousins attempting to suck up to a dying aunt and obtain her lavish estate. The director and actors have a lot on their plate in attempting to balance this daring comedy with the immoral actions and rather overt sexual interplay and even a rather M-rated scene late in the movie. There are plenty of reasons for the many audience members to be turned off by this movie, nevertheless with a finely, crafted delicate script and the adequately balanced diversity of the character roles, the humor, the sexual innuendos, the immoral decisions offer up a fascinating interplay of dilemmas that keep the audience off balance. The climax of the movie has a satisfying but nebulous ending for audience members to choose from. The key to watching this movie is to focus on Ron Livingston's and Toni Collette's characters as the moral backbone of the movie and avoid experiencing just a one-tone aspect of the movie which is in reality quite off-putting, repelling and borders on disgusting. Overall, The Estate is a difficult, different, and in some ways a refreshing and deeper, enlightening look at the material world of today.",/review/rw8701789/?ref_=tt_urv
3 December 2022,aluvstaemin,10," SO FUNNY PLEASE DONT LISTEN TO NEG REVIEWS!
","I don't what's wrong with peoples' humor nowadays but this movie was hilarious from beginning to end, usually all white cast movies don't make me laugh cause there's a half nude scene right in the beginning or it won't be that funny but this movie was not that. Toni and anna give you a laugh riot ; there's nothing unique abt the story it's the comedy of all the characters that make you laugh. Please guys if you wanna watch a simple funny movie nothing complicated just watch it. Todays worst to worst movies are loved by people cause they are either are too violent or too sexual or too complicated and a movie like this is just plain and simple.",/review/rw8701789/?ref_=tt_urv
7 November 2022,cwestfa1,5," Sent Out to Die
","Saw the film listed in my local theater listings and was shocked. It has a nice cast, Toni Collete, Ana Faris, David Duchovny and Kathleen Turner, but saw no marketing what so ever for it. It was sent out to die.",/review/rw8701789/?ref_=tt_urv
4 December 2022,ivantheeditor,10," Absolutely hilarious!!
","What is wrong with people these days?? No, but seriously... what do you expect in a movie?! If a movie like this which is good, hilarious, well-made, well-written, well-acted, etc gets such low reviews what does that say about today's audience? All the Marvel and Disney movies must have really messed with your head because you clearly have lost all sense of judgement. This movie is a total gem! The situations are ridiculous, the actors are hilarious, the writing is great... I mean what more could you ask for? I love Anna Farris and Toni Collette but the real MVP here was Rosemarie DeWitt. She absolutely stole the show.",/review/rw8701789/?ref_=tt_urv
5 November 2022,stevendbeard,7," Fighting Over Money
","I saw The Estate, starring Toni Collette-Knives Out, Connie and Carla; Anna Faris-Mom_tv, The House Bunny; David Duchovny-The X_Files_tv, Connie and Carla; Rosemarie DeWitt-La La Land, Poltergeist_2015 and Kathleen Turner-Dumb and Dumber To, The War of the Roses.",/review/rw8701789/?ref_=tt_urv
