Review_Date,Author,Rating,Review_Title,Review,Review_Url
3 February 2017,Prismark10,9," Billion dollar Bond
",Having watched every James Bond film on the big silver screen since The Spy Who Loved Me in 1977.,/review/rw2699111/?ref_=tt_urv
22 May 2021,Fella_shibby,10," Apart from this being my all time fav Bond film, this one is a solid action thriller with tons of atmosphere n has an old skool showdown.
",I first saw this with my family in a theatre in 2012.,/review/rw2699111/?ref_=tt_urv
5 February 2013,cosmo_tiger,9," For a life long Bond fan this is just about the best movie in the series. Has the feel of a classic Bond movie. LOVED it. I say A
","""He knows us. He's one of us. He comes from the same place as Bond, a place you say doesn't exist, the shadows."" The world's greatest secret agent is back, but is the need for an agent outdated in today's modern world? After MI-6 is attacked and M (Dench) is brought under scrutiny by the government Bond (Craig) alone is left to find out who is behind the attack while M is trying to both help Bond and defend the need for an agency that has been compromised. I know that a review is really not needed here, being the 23rd Bond movie either you will watch it or not. I am a huge fan of the series and was really looking forward to this after hearing this is the best Bond movie yet. I have really loved the Craig movies but for some reason they never had the feel of a Bond movie to me, I wasn't sure what was missing but they didn't have the same feel. Knowing that they were re-booting the series I was lenient and with this one the re-boot is complete. This had much more of a feel of a classic Bond movie and by the end I was excited to see the next one. I got chills watching a few times and especially at the end. This had possibly the best opening and ending to a Bond movie ever. I could go on and on about this but I will just say if you love Bond you will love this, if you have never seen one then this one will make you a fan. Overall, From Russia With Love is my favorite Bond movie but this a very close second, and I think may be more re-watchable. I wanted to watch this one again as soon as the movie was over. I give this a very high A.",/review/rw2699111/?ref_=tt_urv
13 February 2020,MR-ODIN,," 007
","The best film in the era of Daniel Craig as James Bond. Supremely well acted. The best performances are by Craig, Dench and Bardem who are prize. Great action scenes, big issue that touches past Bond and M which little is known. Sam Mendes does a masterful job directing this installment of James Bond. Realmete with this film you can compare Danie Craig Sean Connolly.",/review/rw2699111/?ref_=tt_urv
14 February 2013,larrys3,9," Powerhouse of a Movie
",Since the site has 1164 reviews as of this writing I'll just throw in my own two cents.,/review/rw2699111/?ref_=tt_urv
2 October 2014,petra_ste,7," Home Alone
","A respectable entry after the lackluster Quantum of Solace, Skyfall is propelled by two strong performances: Craig's ruthless Bond and Bardem's ghoulish supervillain Silva.",/review/rw2699111/?ref_=tt_urv
5 February 2013,freemantle_uk,10," 007 reporting for duty
","It has been a long ride for the Bond series, since the creation of the character there have been 15 novels by Ian Fleming, plenty of spin-off novels, comics, cartoons and video games and the film series is now 50 years old. There have been an extraordinary 23 official films, but few as extraordinary as Skyfall.",/review/rw2699111/?ref_=tt_urv
5 December 2012,hitchcockthelegend,9," How safe do you feel?
",Bond 23 and 007 has to literally come back from the dead when a stolen hard-drive makes M (Dench) look bad at a time when a face from her past comes homing into blood thirsty view.,/review/rw2699111/?ref_=tt_urv
8 February 2013,zzzoeb,10," Skyfall- 007 Reloaded!
","'Could we discuss the next part of your performance over that drink?' asks the glittering Severine (Berenice Marlohe) from a suave tuxedoed James Bond (Daniel Craig). And indeed, this 23rd Bond outing, superbly directed by the usually reliable Sam Mendes, does just that, pausing appropriately to settle down leisurely over a drink, for some flirtation, some tense verbal confrontation, some self-reflection and brooding just before cutting away to some clean-cut, thrilling action. The result is the uniquely named 'Skyfall' a Bond film so full of the vintage charm and charisma yet fashioned in modern, urban and instantly accessible style that it ends up being one of the finest films of the franchise.",/review/rw2699111/?ref_=tt_urv
2 March 2014,cherold,6," disappointing and ridiculously plotted
","I really enjoyed the Bond reboot Casino Royale, and while it was less appreciated, my vague recollection is that I generally liked the follow up, but I was hugely disappointed with this film.",/review/rw2699111/?ref_=tt_urv
