Review_Date,Author,Rating,Review_Title,Review,Review_Url
26 January 2017,TheUglyCasanova,8," Up and coming show, might be too much for some though.
",We all can watch a serial killer show and not really care about neither the killer nor the victims because the odds of you ever having met one is very low.,/review/rw6607873/?ref_=tt_urv
3 September 2020,sas2014,8," Mary saves people should be the name of this show
","As an avid supporter of assisted suicide, I believe as I am in charge of my life, I should be in charge of my own death. I wish in reality we had freedom to die without pain & surrounded with people we love. Not in agony in cold hospitals",/review/rw6607873/?ref_=tt_urv
24 February 2017,Michelle-imdb,10," You won't be Killed
","But you will enjoy a creative script, identifiable characters with really good acting. The Canadians have delivered another gem in this 6 episode series. This is really worth watching, there is a start and a finish to the entire story which will take you beyond straight drama to the edge of a thriller. The plot includes end of life situations, yet it is quite believable. This is not your usual police/detective TV show. If you accept end of life with assistance then you are more likely to agree with my praise for this show. I'll make this short and say thank you, it was an enjoyable ride, well done all concerned.",/review/rw6607873/?ref_=tt_urv
20 January 2017,katieintoronto,," Two doctors moonlight as angels of death.
","So far only the first episode is out, so this is based on that only. I don't know if I like this show or not. It's an interesting premise and the title character, Mary, seems to have a backstory that led her to what she's doing. What she's doing is helping terminal patients die by choice. She's an ER doctor by day, heroically saving lives. Her partner is referred to as a ""former plastic surgeon"", suggesting a past that didn't go so well. He also seems to have been an addict - they get the drugs they use to kill their terminal patients from his former dealer, who is suspicious as to what he's doing with the drugs. The plot gets more complicated when we discover that a patient Mary goes to visit is actually an undercover cop who is working on a sting to put her away. Oh, and her kids have discovered her stash of drugs. That's all in the first episode. There's the potential of good secondary plots that explain or elaborate on the story line. Some nice tensions. The actors are good, suit the parts. I just don't think I like them very much. There's no sense of altruism about what the doctors are doing - just money. Except...she starts to talk to the cop but then the conversation doesn't go anywhere. Maybe it'll come out a bit at a time. I'll watch again. There's definitely potential. But I'm still undecided if it's a keeper.",/review/rw6607873/?ref_=tt_urv
27 January 2017,annasirmoglou,10," Great premise, original and good fun!
","I really enjoyed the first episode, it has great potential original script, great premise to explore and even though it deals with assisted death it is not depressing - there is a great blend of darkness with humour. Stellar acting from all involved, especially Jay Ryan, Caroline Dhavernas and Richard Short and it left me wanting more. The characters are all multilayered and believable and it has got great pace throughout. I cant wait to see what happens next and I cant see how the characters will develop and whether their viewpoints will shift as the episodes progress. If you want to watch a show that is original, fresh with amazing acting and well written check this one out",/review/rw6607873/?ref_=tt_urv
26 February 2017,pontram,," Mary Kills her Potential
","First, there is an accuracy problem: Euthanasia on demand - which would be the right term for the procedure which this show is about - is not ""allowed"" in Switzerland, but actually in the Netherlands, Belgium and Luxembourg. It's a common error that people believe, one could have ended his or hers life happily in Switzerland for a fee. That is not the case. Assisted suicide, however, without any financial interests, doesn't fall under jurisdiction there, but also not in Germany, ",/review/rw6607873/?ref_=tt_urv
11 January 2018,aleysehennigar,10," Best Show in the world
","Mary kills people is not only a good show but it's original and great with stellar acting and amazing thrills , well watching the show Im finding myself always trying to find out what's gonna happen next yet it's something's you wouldn't think . Very good show it's a very binge worthy show and definitely worth a watch . The besr Canadian show I have ever seen hope to many many many more seasons and episodes it never gets old",/review/rw6607873/?ref_=tt_urv
14 July 2018,skay_baltimore,2," Coulda...shoulda...woulda...
","Wasn't. Wow. This show could have been SO MUCH better than it was. It SHOULD have been so much better than it was. It had the potential to eclipse Dexter because revenge/justice wasn't what drove it; mercy was what drove it. Or should have driven it. Instead, as other reviewers have pointed out, it devolved into the most absurd non-believable soap opera ever. This series has more stupidity than a non-stop weekend run of slasher movies. The story arc with Ben was laughably stupid. The same with Des. The same with Grady. The same with Olivia. And Annie. And...and...and. What a total waste considering how great this show could/should/would have been had it been in the hands of skillful producers, writers, and directors.",/review/rw6607873/?ref_=tt_urv
16 May 2017,leykaa,10," Finally excellent show about the Death not killing
","First of all it's not even trying to compete with Dexter, I saw many viewers accuse it of. This is one of the most good-written, well-executed series for family watch. Yes, we all need a dose of compassion, trust, real people connections cause all this gore and violence and senseless killing on TV should honestly be taken off the shelves, killing for shock value is the worst, piles of dead bodies shouldn't be our ordinary TV show premise. Mary Kills People is about death not killing, more of Bryan Fuller's approach to it. You are moved so much by some of the scenes so much and you want to rewatch this gem again. I just loved it as a fan of Caroline and Bryan Fuller although he has nothing to do with MKP (:",/review/rw6607873/?ref_=tt_urv
23 September 2019,audaciousness,5," Seasons 1&2- YES! Season 3 - NO!
","I have to admit, I wasn't super into Mary Kills People during its first season. It was good, but it always felt like it was missing something. That all changed with Season 2, which got everything right by introducing the fantastically villainous character of Olivia Bloom played by the wonderful Rachelle Lefevre. I loved every episode of it. I had high hopes for Season 3 as a result, but I couldn't have been more disappointed by it. It turned into a very weak, plotless mess that went nowhere in six episodes and did nothing for the characters. A disappointing to have ended an otherwise good show.",/review/rw6607873/?ref_=tt_urv
