Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 June 2004,MovieAddict2016,10," ""Eternal Sunshine of the Spotless Mind"" is a bizarre but wonderful movie, a very strange and remarkably tender experience.
","""How happy is the blameless vestal's lot! The world forgetting, by the world forgot. Eternal sunshine of the spotless mind! Each pray'r accepted, and each wish resign'd."" - Alexander Pope",/review/rw3150869/?ref_=tt_urv
26 March 2004,tccandler,10," Meet me in Montauk...
","How happy is the blameless vestal's lot! The world forgetting, by the world forgot. Eternal sunshine of the spotless mind! Each pray'r accepted, and each wish resign'd. -- Alexander Pope",/review/rw3150869/?ref_=tt_urv
24 November 2010,TheLittleSongbird,10," Absolutely wonderful
","When I first saw Eternal Sunshine of the Spotless Mind, I wasn't expecting to love it, let alone like it. What a surprise when I saw it! I think this film is wonderful in every aspect, truly beautiful and packs a full emotional punch. In fact, if you don't mind me saying so, it is one of my favourite films of the 2000s.",/review/rw3150869/?ref_=tt_urv
27 October 2004,Quinoa1984,10," an modern artistic triumph for all involved
","Michel Gondry, credited as the director and co-writer of Eternal Sunshine of the Spotless Mind, is only partly responsible for the success that the film achieves. He implements a awe-inspiring blend of style to a story that is perfectly non-linear. But then there is also the madman genius of the current screen writing plane- Charlie Kaufman- who has written three of the most ingenious, funny, and human of ""little"" Hollywood movies (Being John Malkovich, Adaptation, Confessions of a Dangerous Mind). ",/review/rw3150869/?ref_=tt_urv
2 July 2004,Superunknovvn,10," Perfect - a movie that puts 99% of all contemporary movies to shame
","There's only one way to describe ""Eternal Sunshine Of The Spotless Mind"": perfect. It's been one week since I saw the movie and I still cannot stop thinking about it. Was the ending happy or sad? I cannot tell, but it's deeply touching.",/review/rw3150869/?ref_=tt_urv
6 May 2006,mstomaso,10," It's OK (very OK)
",Very nicely crafted science fiction love story. More of an experience than a film.,/review/rw3150869/?ref_=tt_urv
13 February 2005,Matt_Layden,10," Best Film of 2004
","Joel (Jim Carrey) is a rather milquetoast man who meets up with free spirit Clementine (Kate Winslet), and they become romantically involved. However, they endure a messy breakup and Clementine goes to a business called Lacuna, Inc., where she has all of her memories of Joel erased. Not wanting to be left out, Joel also goes to have his memory erased. However, soon after it begins, Joel realizes that he wants to keep the memory of Clementine, so he tries to reverse the process.",/review/rw3150869/?ref_=tt_urv
19 March 2004,JAKastner,9," The Moose Hole - Review of Eternal Sunshine of the Spotless Mind
","It happens to both the best and worst of us at some time in our lives. Love . If you haven't experienced this yet just wait, you will. It is inevitable that at some time in our journey through life that we will come across someone that fascinates us so profoundly that we feel as though we could spend the rest of our lives with this magnetic individual. There is no exact science to the concept of love. Many believe that the idea of love goes beyond the reasonable or the logical to a more diverse level of the illogical, irrational, and the unreasonable. Why is it that we find ourselves attracted to people that, on the surface, seem as though they would never be compatible with our own lifestyle? Why is it that when we do fall in love with a certain individual and think at first that this is a perfect match, we find over time that less tolerable marks are more frequent on the surface? And why is it that we overlook some individuals that, although at first there is no real 'love connection' per say, we seem to have a somewhat pure liking for someone and that it takes us longer then it should to see that person for who they really are to us? Love is a complicated subject that can't be taught, it can only be experienced for what it is . utterly confusing and yet at the same time completely fulfilling.",/review/rw3150869/?ref_=tt_urv
23 September 2013,SnoopyStyle,9," most imaginative concept
","Joel Barish (Jim Carrey) falls for Clementine Kruczynski (Kate Winslet) from the first moment they meet on a train. After a bad breakup, Clementine erases Joel from her memories. He decides to do the same to her. Patrick (Elijah Wood), Stan (Mark Ruffalo), and Mary (Kirsten Dunst) are the three slacker technicians who are running Dr. Mierzwiak (Tom Wilkinson)'s machine. As his memories are eliminated, he starts to fall in love with Clementine all over again. He struggles to hold on to his memories before it's all gone.",/review/rw3150869/?ref_=tt_urv
23 March 2020,aalborgen-21673,9," I didn't get it the first time I watched it
","The first time I saw this movie I found it confusing, a little artsy for my taste and I didn't get it.",/review/rw3150869/?ref_=tt_urv
17 December 2022,Sleepin_Dragon,9," Weird and wonderful.
","Joel and Clementine have reached breaking point in their relationship, every action, every word triggers the other, so much so, that they each undergo a procedure to remove all trave of the other.",/review/rw3150869/?ref_=tt_urv
11 November 2006,soriano329,10," Brilliantly Original and Wonderfully Magical
","Eternal Sunshine of the Spotless Mind is the most well written movie since Pulp Fiction, and the best movie since the turn of the century. It's originality is unprecedented, putting screenwriter Charlie Kaufman (Adaptation) up there with the greats. And every time you watch it, you will gain a new understanding of the characters and story.",/review/rw3150869/?ref_=tt_urv
24 March 2004,rje58,," Great, if you can relate...
","If you can relate to the underlying theme of love longed for, love given and received, and love lost, this is a great film. If you have come to understand that acceptance can -sometimes- be a great thing and not a compromise or a 'settle for' - this is a moving film.",/review/rw3150869/?ref_=tt_urv
