Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 September 2021,markeitareid-10513,5," Tyler Perry's take on P VALLEY
","It was okay. I thought it would be better. Not terrible but bot great. Eva was better than expected but her lines at times are stiff but that's the writing. Says the same lines repeatedly. Guy who plays her nephew is fine as hell but acting can use some flow to it..felt like the same character from Sisters. The dancers were better actors. It just felt stiff. That being said I watched all episodes in one sitting and would tune in to season 2. Guy pleasure type show. The scenery is beautiful, sets amazing, wardrobe flawless, makeup gorgeous!.",/review/rw8519826/?ref_=tt_urv
11 September 2022,kitaylor-07508,1," 😣 Painful
","The acting and writing in this series is so bad, it's actually comical. It takes a special skill to have a show this bad--terrible acting, terrible script--why y'all do this? I'm being a TRUE friend, because a true friend would have told you to not do this!!! The only worthy thing about this show are the men's bodies. And Eva was barely holding on, but she could only carry the show so far on her looks. The music was appropriate; maybe it should have been a silent movie.... I don't know. Me and my girls tried to really give it a chance, but it never got better. It was like the impossible meat trying to be angus beef. I'm sorry, not sorry for being honest.",/review/rw8519826/?ref_=tt_urv
5 January 2023,battlezone-29113,1," Please stop Tyler!!!
","First of from I saw it I just knew Tyler perry had something to do with it and I was right .....this isn't even worth 600 words to describe how bad this is ,ladies may like it but only because but if we are being honest this is garbage..unrealistic and corny ,who are these suppose to be gangster strippers with these corny looks and acting ,only because it's an all black movie I'm sure people gave it a second chance because if u critique it they'll say your a hater or if your white then you must be a racist...but all of Tyler Perry's films are trash especially if he acts in it other than being ""madea"" I can multi task whiles watching this crap ..talk on the phone answer the door not pausing it,warm some food up ,play a game all whiles not missing anything important,I never have to rewind only fast forward.",/review/rw8519826/?ref_=tt_urv
12 September 2021,anitramurray-47424,8," Should watch
","Wasn't expecting much from a Tyler Perry production but I was pleasantly surprised. Despite the not great writing, Eva did a really good job of convincing me she didn't come to play any games. There's no words to describe the actors that danced... had me fanning myself.",/review/rw8519826/?ref_=tt_urv
17 September 2021,mizzggtooyou,10," STRAIGHT CLASSY WITH a HINT OF GANGSTA
","I am so proud to see Tyler Perry stretch himself and do something out of the norm, along with giving black actors and actresses a chance to show their talents. I want him to cast me as Eva's mom since I know her from her time spent on ANTM, and when she lived at Museum towers by Centennial Park. Proud of her taking her acting serious. I have some good ideas Tyler Perry, contact me. =) I would give this 100 stars if I could. I called everyone I could and told them to watch the show. LOVED IT.",/review/rw8519826/?ref_=tt_urv
26 September 2021,aj-79481,10," Enjoyed greatly!!
","Bring on another season!!!, Please. This was an awesome series. I love the cast and the plot. Some scenes were a bit cheesy but entertaining.",/review/rw8519826/?ref_=tt_urv
12 September 2021,swaybrown,10," Good show
",Eva Marcille did a wonderful job! I had no idea she could act so well. I love the storyline and the actors are good. Can't wait for the next season.,/review/rw8519826/?ref_=tt_urv
26 September 2021,doctordre-69067,10," Please be a Season 2
",It's Creative and brings a twist on a more edgy Magic Mike vibe with this series.. I love where it's going and Congrats on Eva Pigford haven't seen here in years.,/review/rw8519826/?ref_=tt_urv
28 July 2022,noekenn,1," It's laughingly bad
",It's giving Foxy Brown meets Tyler Perry. I don't know who wrote this trash but it's embarrassingly bad and downright cringeworthy.,/review/rw8519826/?ref_=tt_urv
14 September 2021,acon0220,10," IT JUST GETS BETTER AND BETTER WITH THE STORYLINE!!!!!!!!!!
","I absolutely love this show now. Watched ALL 10 episodes last week and was like Damn. This is really really good. The entire cast and crew did an amazing job putting this on. Thanks to Christian Keyes, Tyler Perry and all of the directors and producers for shooting this show at Tyler Perry Studios. This is a must see and cannot wait to see how the story continues to unfold each week. 10 out of 10.",/review/rw8519826/?ref_=tt_urv
