Review_Date,Author,Rating,Review_Title,Review,Review_Url
2 December 2019,TheLittleSongbird,8," Dazzling rocket
","Although classical music and opera is more my cup of tea/forte, that has never stopped me from having always admired Elton John and loving most of his songs. ""Your Song"", ""Something About the Way You Look Tonight"", ""I'm Still Standing"" and pretty much all the songs in 'The Lion King' are especially great, one of the few exceptions being ""Crocodile Rock"". He is/was also a quite interesting man, both stage persona and personal life, and the period that is primarily focused on is a very compelling one and worthy of being told on film.",/review/rw4880473/?ref_=tt_urv
31 December 2019,Ed-Shullivan,10," Elton John is amazing, and he is a complicated man....this film reflects his tormented side
","Taron Egerton's portrayal of Elton John is superb and only heightened by the producers allowing Taron to sing his own versions of many of Elton John's classic hits. It would be impossible to capture all aspects of Elton John's life in the 2 hours provided in this musical/biographical film, so instead the producer/writer/director concentrated on Elton's early childhood which helped shape his destiny when he first met his partner in song writing the great Bernie Taupin played by Jamie Bell.",/review/rw4880473/?ref_=tt_urv
19 May 2019,oldmovies1185,9," Here is what many people don't understand
","This is not a movie about a rock star with their music simply part of the facts of the story. It is a musical in the truest sense, that uses his own music to show his tribulations through the eyes of a man during the troubled years of his life. The movie is not always chronological and in some cases is more figurative than historical. In this way it can convey Sir Elton John's life and struggles in a way that the viewer may understand on a more personal level. The acting, writing and singing are superb.
The star did not try to truly imitate Elton but instead preforned the pieces in his own style that he molded as closely as possible to the original. It sounds odd, but it works.
As always you can never sum up any life, book or story in a 2 or so hour movie, but this comes close. You leave feeling like you really got to know the real, yet flawed, human Elton John. Overall a wonderful movie.",/review/rw4880473/?ref_=tt_urv
31 May 2019,FrenchEddieFelson,7," A musical as pop as sad
","First things first, ",/review/rw4880473/?ref_=tt_urv
8 November 2019,classicsoncall,9," ""Just put on a great f..... show, and just don't kill yourself with drugs.""
","For whatever reason, I didn't catch this in theaters during it's opening run the way I did for ""Bohemian Rhapsody"". I think I liked this one slightly better, even though I'm not that much a fan of movie musicals. The way this story was presented was cleverly and artistically well put together, though if put into perspective, many of Elton John's mega-hits seemed to have been written well before he made his American debut at The Troubador at the age of twenty five. I never followed Elton's personal life that closely, but that all seemed to be poetic license for the sake of a narrative flow. Taron Egerton did a bang up job here, not only looking like Elton John on the way to super-star status, but sounded quite a bit like him as well. Given that Elton John himself gave Egerton and the film his blessing is all anyone needs to know about the underlying substance to the story. It's a shame that Reginald Dwight's parents never really cared for him, but then you have to consider how much that sadness translated into the singer's overall success. What the film put to rest for me was Elton's relationship with song writer Bernie Taupin, as I never really knew if Taupin was anything more than a collaborator rather than a musician himself. Additionally, as I watch all my films now with captioning enabled, I was surprised to learn how much of John's popular lyrics I never really knew. So overall, this was an entertaining experience, and one I'd welcome viewing again. The surprising thing is, it's actually shorter than one of Elton John's concerts. The man can do three hours without a break, always giving fans more than their money's worth.",/review/rw4880473/?ref_=tt_urv
5 June 2019,deblasiogwae,10," TARON EGERTON is the real ""A Star is Born"".
","There's a moment during the first half hr of Rocketman when Reggie is sitting at the piano in his robe. He looks at Taupin's lyrics and composes ""Your Song"".. His grandmother (who seems to be the only person who loved this lonely child) comes into the living room, sits down and then does something so beautiful it made me cry. She puts her hand to her chin and gazes in awe at what her grandson has produced. By this one gesture the director shows us what a genius Elton John was in his heyday. It's an overwhelming moment. I think even Taron himself may not realize just how great he is in this movie. It's a cliché to say in a biopic that ""he becomes"" the character he portrays. But Taron Egerton overcomes the cliché. He is breathtaking in this.",/review/rw4880473/?ref_=tt_urv
1 June 2019,RonGeeZee,8," Give Taron Egerton an Oscar IMMEDIATELY!!!
",He was AMAZING in the spirit of an fabulous Elton John biopic musical.... and Jamie Bell was awesome.. as usual!,/review/rw4880473/?ref_=tt_urv
19 May 2019,oliasdoug-407-409444,7," Should have expected this.
","It's going to get very mixed reviews. I predict many will love it, and many will revile it. I was caught somewhere in the middle. Without giving any actual spoilers away, consider this:",/review/rw4880473/?ref_=tt_urv
20 May 2019,Gresh854,6," Rocketman > Bohemian Rhapsody
","Rocketman decides to focus on Elton John's character evolution more than anything else, chronicling his life from when he was a wee-little boy to his glory days as the colorfully decorated, piano-playing, musically blustering star. One detail I must address that really hoisted the exploration of John's life was, in reality, the ""R"" rating.",/review/rw4880473/?ref_=tt_urv
25 December 2020,Morejambo54,5," Hmmm...
","It's alright. I really didn't like how much of a musical it was. There was a sad scene that instantly turned into a fun and happy song, this really took me out of the movie. Another thing that felt stupid was when someone would start singing mid sentence, maybe it's just because I don't like musicals...but it was rather annoying. The music is obviously good and the acting was great there was just so many things that pulled me out of the story and got me thinking only about the songs, which is the main part but I came for a movie not a collage of music videos. The ending was pretty bland also, another sad and depressing scene turned into a bright and happy song. Then it ended, just like that. The movie is enjoyable though I just personally prefer more realistic movies such as bohemian rhapsody which was executed superbly. I can understand how and why people enjoy it as much as they do. 5/10",/review/rw4880473/?ref_=tt_urv
