Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 February 2000,Buddy-51,," conventional romance with a surprise brave ending
","In ""Forces of Nature,"" Ben Affleck stars as Ben, a repressed, buttoned-up stuffed shirt writer who, through a series of natural and manmade mishaps, ends up spending the several days before his impending marriage in the company of a freespirited, totally spontaneous and liberated young woman named Sarah, played by Sandra Bullock.",/review/rw0530087/?ref_=tt_urv
13 October 1999,TxMike,," Pretty darned good movie, better than we thought it would be!
","This is a review of the DVD version of ""Forces of Nature"".",/review/rw0530087/?ref_=tt_urv
31 January 2003,bob the moo,," Planes, Trains andvery few laughs
","Two days before his wedding, Ben's grandfather has a heart attack while dancing with a stripper.  Due to the delay Ben's fiancé, Bridget, flies ahead to Savannah to make the preparations.  Ben catches a plane later the day and meets free-spirit Sarah.  When the plane is in a minor crash the two join up to head to Savannah by any way other than road, leading to one `comic' delay after another.  Meanwhile the two become a little closer and Ben begins to doubt that marriage is for him.",/review/rw0530087/?ref_=tt_urv
8 July 2007,lastliberal,7," Sometimes the people we meet change us forever.
",I cannot imagine anything that would be more fun than taking a road-trip with Sarah Lewis (Sandra Bullock). That is why I really think this film is worth watching. Ben Holmes (Ben Affleck) got something that very few of us ever get to experience - a couple of days with someone who will truly liberate us from our staid conventions and open our eyes to a world that we never knew even existed.,/review/rw0530087/?ref_=tt_urv
16 November 2005,csauer,10," I'm sorry, I liked it
","I read the user comments and was reluctant to view this movie. Well I'm sure glad I went against the crowd. This is a good movie! What more could you ask for. (Sandy is great) The scene I adored is when Sarah is beckoning Ben to come and dance. If a women ever did that to me I would run to her. I really enjoyed the ending but I won't discuss that. There were enough laughs to keep it lite and enjoyable. The gay bar was a real hoot. Ben did a superb acting job doing his dance all be it Sandy does'st hurt the eyes. The one thing I liked is this movie is not a tear jerker. Most of Sandy's movies have me shedding tears like a water works. The story line surely shows that people live their lives in very different ways and that gives the movie credence. What's to not like? Easy to follow has Sandy in it what more could you want? One criticism, what did they use to put on sandy's eye makeup on a putty knife?",/review/rw0530087/?ref_=tt_urv
17 September 2018,Wuchakk,6," Fun road romcom with Ben Affleck, a zany Sandra Bullock and a great ending
","A man (Ben Affleck) sets out to fly from New York to Savannah to be married to his bride (Maura Tierney), but circumstances compel him to use other means of transportation with an attractive, but screwy traveling companion (Sandra Bullock). Will this new relationship and their misadventures change his plans over the course of the next two days?",/review/rw0530087/?ref_=tt_urv
13 April 2000,TeaBunny,," Surprising, better than I expected
","After reading the back of the video box about the ""whirlwind romance"" and the plot about Ben heading towards his wedding and meeting a ""free-spirited"" woman who teaches him how to have fun, I didn't have much interest in seeing it. It sounded extremely trite, and I'm not too interested in Bullock or Affleck either. I was very surprised at the sharp dialogue and humor. And even though every frame of this film looked like a jeans commercial, I *liked* the cinematography and hip, colorful locales. Of course the whole thing was totally unbelievable and the various events that occur are a bit overdone... but I liked it anyway. I am a sucker for road movies, so that was part of the appeal for me... traveling, different locations (the laundromat, the snack bar with the giant globe and the Big KMart at 2AM). I expected Ben's bride-to-be to be a crashing bore or uptight priss, so the audience would root for Sarah and Ben. But she was funny and sharp also, and you don't feel like the marriage would suck all the life out of Ben as it seemed to have for others in the film. All of the things Ben overhears about marriage sucking is pretty funny. I only post here about movies that make an impression on me, whether good or bad... and this one made an impression. I liked it. And no one is more surprised about that than me.",/review/rw0530087/?ref_=tt_urv
2 September 2006,mgsmoviesniper,," I highly recommend this movie
","""Forces Of Nature"" got my attention from the start and didn't let up until the end. Ben Affleck and Sandra Bullock star as airline passengers brought together by the forces of nature while Ben Affleck's character Ben Holmes is on his way to his wedding. Maura Tierney portrays his fiancée and she brought life to a character that was in the background. This is the perfect set up for ""Forces Of Nature"" because it seems when Ben and Sarah Lewis make progress; the forces of nature somehow get in the way.",/review/rw0530087/?ref_=tt_urv
15 June 2004,harry_tk_yung,," An unexpected delight
",spoilers,/review/rw0530087/?ref_=tt_urv
11 January 2004,liannesang,10," This movie is so quirky and offbeat that it's really good!
","I don't know why many people diss this movie because it's actually really good.  Who better to have than Ben Affleck and Sandra Bullock?  They are perfect in their roles as ""Ben"" and ""Sarah"".  But I have to say if Sandra Bullock wasn't in this movie, it wouldn't be as enjoyable as it is.  There are a lot of laughs but not so much that it goes over the top and there is a lot of drama in it too.  It's a perfect mix.  The camera angles make this movie very unique too.",/review/rw0530087/?ref_=tt_urv
