Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 May 2018,pnickovich-781-88739,8," So I started this show honestly finding it annoying and stupid. HOW WRONG I WAS.
","Starting ""Final Space"", I found the lead characters oddly annoying and obnoxious, even though i generally like stupid silly, yet oddly witty humor, it was just too much too soon. But the more the main plot-line proceeded, the better the characters became. The character development in this show is brilliant. Towards the end, one cant help but really feel part of the squad and understand the relations and struggles the characters have towards another.",/review/rw7371922/?ref_=tt_urv
24 May 2021,marcresto,10," The Gary
","Wonderfully creative show
Intelligence stimulating and above all else fun.",/review/rw7371922/?ref_=tt_urv
27 April 2021,guasco-2,," Mandalorian should apologize for stealing from this show...
",Bounty hunter and Co have to protect a small powerful green baby from an evil overlord trying to track it down?,/review/rw7371922/?ref_=tt_urv
26 July 2018,hbrackley,9," Annoying at first but turned into something AMAZING
","First episode I thought it was an annoying, try hard, Futurama wannabe. But the character and story development is amazing, ""Chookity"".",/review/rw7371922/?ref_=tt_urv
13 September 2018,MoistMovies,10," Very rare is under the radar accurately used.. This series is really great
","I have not binge watched anything in a single session in along, long time. 
I have seen almost everything science fiction thats ever been made since 1970ish. Its my crack. 
This was like the feeling of smoking crack for the first time, even tho ive been a scifi junkie for 25+ years. Its some super space crack. 
And i liked it. Allot. 
Dont get deterred by the first couple eps, it picks up major steam after them. I did not expect to like the characters and connect with them on any level.. Its just not something that happens with any animated series to me very often. And im a big anime watcher. 
But i almost felt myself laughing out loud, and then getting a big ol' hold back a tear lump in the back of my throat within the same episodes. 
So rare for a something animated to make you feel that kinda of range of emotions, and care for the character. 
Do yourself a big favor and watch this series. 
I still cant believe its made by a simple youtuber either. Whos content is very mediocre to me. But most youtube persons are to me. 
I guess The great red man Conan saw something in this guy that meant he was destined for much greater things. And he was on the money with this guy. 
Far out. So good. 
In some ways its even better than rick and morty.",/review/rw7371922/?ref_=tt_urv
1 August 2018,benb-40394,9," You'll finish it in a day.
","When bored on Netflix your tempted with a lot of films and tv shows. As a fan of rick and morty, ""final space"" looked something I would probably watch with ease and maybe even enjoy. The first episode leaves you wanting more and by episode 4 you're a fan. Despite only 20 minute episodes the series does well in introducing all the characters and creating an intriguing storyline, but what surprised me most about this series is the emotional effect it had on me as a viewer. The humour is great, character development is on point and the storyline twists surprise you. A great little series to get involved in for a day until you've finished it.",/review/rw7371922/?ref_=tt_urv
25 August 2018,calicucu-11923,8," Music: OMG, the music!
","That is what kept me in the moment. The story telling was good, the character development also good; but the music was great and kept me in my chair.",/review/rw7371922/?ref_=tt_urv
26 March 2018,inciter,8," At 56 Age I enjoyed this thank you
",It was fun... Crisp and exciting awaiting for more excitement. The room to expand is in place go.....,/review/rw7371922/?ref_=tt_urv
31 July 2018,aonenaqvee,9," Fun, Refreshing show!
","These days, apart from the notoriously annoying kids shows, there are no animated shows that aren't excessively vulgar, with a good storyline and animation. However with final space, that all changes. 
 Final space is like a play on guardians of the galaxy and every mature animated show you've ever seen, however manages to do that without being crude or vulgar, 
 The story starts off with Gary, an intergalactic prisoner finding a green alien, who he names Mooncake. The first five episodes are fun, but a bit off putting due to the lack of character and story development. However, starting from the sixth episode, that all changes, and the story takes off.
 I highly recommend this show, so stick with it for the first few episodes, and you'll have the time of your life after that.",/review/rw7371922/?ref_=tt_urv
22 January 2020,muamba_eats_toast,8," Second season doesn't quite live up to the same standards
",First season was pretty much perfection and a solid 10/10 the most fun I'd had with a series in a while. Season 2 felt a lot less original and didn't reach the same heights whilst still being reasonably amusing and better than most would give 8/10 so 9/10 overall.,/review/rw7371922/?ref_=tt_urv
27 February 2018,Amthermandes,9," Looks like we're all in for a space treat
","Only one episode in (just finished the series premiere), and already I'm a fan. Show seems to have great potential!",/review/rw7371922/?ref_=tt_urv
10 August 2018,Johnny-the-Film-Sentinel-2187,8," Lots of Potential Here.
",Final Space is looking to be a promising comedy-drama space opera; sure the animation's simple and nothing groundbreaking but I think that's intentional considering the story stretches across the emotional spectrum. It's got some good drama and surprisingly genuine humor strung throughout the episodes; and David Tennant's portrayal of the Lord Commander is probably the star of the show (not surprising considering he's the baddie) alongside Avocato and Little Cato.,/review/rw7371922/?ref_=tt_urv
