Review_Date,Author,Rating,Review_Title,Review,Review_Url
26 November 2003,Nazi_Fighter_David,8," 'Nobody beats me in the kitchen!""
","Steven Seagal reprises his role as a one time SEAL team captain, a counter-terrorist expert who had to rely only on his personal skills in order to survive, and protect the hostages... He happens to be on the Grand Continental passenger train traveling from Denver to L.A... Seagal joins the only family he has, a 'cute kid' named Sarah (Katherine Heigl) after her parents died in a plane crash...",/review/rw1104305/?ref_=tt_urv
2 April 2019,imseeg,6," Dumb ""remake"" of Die Hard on a train. Hilariously stupid plot, but unintentionally very funny and full of gung ho action scenes. Good fun anyway!
","George Segal is gonna conquer some bad guys on a train, who want to destroy the world. YEAH!",/review/rw1104305/?ref_=tt_urv
31 May 2006,Howlin Wolf,5," Blind Man's Bluff.
","... Close your eyes and listen to all the explosions and the sound of limbs hitting flesh, and you may be happy. If you OPEN your eyes, however, that's when the implausibilities become much harder to ignore.",/review/rw1104305/?ref_=tt_urv
9 March 2008,rmax304823,6," Train and Story Go Fast!
","There's a moment in Howard Hawks' congenial Western, ""Rio Bravo,"" in which some bad guys have captured Wayne and are forcing him to trick a deputy into releasing a prisoner. Wayne, in his John Wayneness, has previously rid the world of a passel of evildoers. As they ready themselves, Wayne mutters something expressive of reluctance, and one of the bad guys says, ""If it had been up to me, you'd have never got up off the floor. Some of those you killed were friends of mine."" ",/review/rw1104305/?ref_=tt_urv
18 February 1999,CuriosityKilledShawn,10," Seagal's best and one hell of an exciting ride
","Since 2001 Seagal has been quite happy to let his film career crash and burn while he sings the blues and does all his strange little things in his personal life (have you ever tasted his wine or his energy drink?). But there was a time in the 90s when his name guaranteed you an hour and a half of broken bones, severed limbs, bad guys in agonizing pain and a showdown with a head villain who stands no chance against the awesome hurricane force that is Steven Seagal.",/review/rw1104305/?ref_=tt_urv
9 August 2006,NickMeron,6," Seagal accidentally ends up on a train full of terrorists and has to save the world
","Yes, the earthquake beam from space (heck, the whole story line and all of the villains too) are totally unbelievable. Frankly, if you can find a ""believable"" action movie, I have a beach house in Arizona you might want to buy. Yes, the production values were not the finest.",/review/rw1104305/?ref_=tt_urv
9 March 2010,Aaron1375,6," This siege really does not equal the first one.
","This movie was all right for the most part, but in the end becomes the typical Steven Seagal movie with the only major difference being he is actually reprising his role as the cook from the first ""Under Siege"". And the only carryover from that film is the fact he is supposed to be the same guy and cook. Part of the reason this one just did not have what the first film had is partly the no name cast aside from Seagal. The first film had a nice assortment of actors like Tommy Lee Jones and Gary Busey as the bad guys. It also had a very attractive sidekick for Seagal in that film in the form of a stripper that popped out of a cake. Here he is teamed up with some other dude and I think his niece, so decidedly a step down in the sidekick department. Here some computer terrorist type has hijacked a train and is planning something sinister, of course. He also has a bunch of military type nut jobs at his disposal. Well guess who is on the train, yes the cook from the first film and of course he is going to make things very hard on the bad guys. The action is okay and the film is not bad at all, just has a been there done that feel to it. Though these days almost all films have that same feel to it. So all in all it passes the time okay and is not boring and you get to see Seagal kick butt per the usual in his movies.",/review/rw1104305/?ref_=tt_urv
24 November 2004,GOWBTW,9," This is a great sequel to the first
","This is one of the best sequels to Steven Seagal. Under Siege 2: Dark Territory is not your ordinary hijack-action-adventure films. Since I do like trains, this movie was a plus for me. The part in this film was everyone, including Ryback(Seagal) got to be part of the action. His niece Sarah, played by Katherine Heigl, knew how to fight back. Bobby Zachs, played by Morris Chestnut, didn't shy away from the action, unless he saw Ryback kill one of the hijackers. The funny part was when one of the female passengers flashed her cleavage saying she ""broke her bra"", the perfect distraction to the hijacker. Great cast, great action, and a great plot I say. I don't care for the critics' opinion, I just liked this movie the way it is! Rating 3 out of 5 stars. 8 out of 10!",/review/rw1104305/?ref_=tt_urv
24 October 2010,Viva_Chiba,9," 100 minutes of pure bone breaking action
","I love action movies, if they features some decent bone breaking action, it's even better.",/review/rw1104305/?ref_=tt_urv
1 September 1999,moviecat-6,8," Best Steven Seagal movie yet. Exciting and re-watchable.
","The best Steven Seagal movie to date.  This is the second, and apparently the last, in the series in which Seagal plays Casey Ryback, an ex-Navy SEAL Captain, who, as explained in Under Siege, was demoted for punching out a superior for poor intelligence which got many of his men killed.  In Under Siege 2, his character has been promoted from Chief to Lieutenant, although we only find that out in the end.",/review/rw1104305/?ref_=tt_urv
