Review_Date,Author,Rating,Review_Title,Review,Review_Url
26 August 2019,oneill2424,10," Wow! What a Surprise!
","Saw the previews when it came out and I had absolutely zero interest in seeing it because I thought it was a typical Hallmark lovestruck type movie (yuk)... WRONG! Don't listen to the cold-hearted critics because they're WRONG! I loved the performances, the writing, the locations. I love movies that keep you guessing and go back and forth to cause a little confusion, and then, BAM, it all comes together! I didn't see many of the twists coming and the last moments of Rodrigo with his mother took my breath away. Her words mean so much to me because we are going through that same thing in my own family. See this movie. Take it for what it is and be prepared to feel. We all need to do that once in a while, don't we?",/review/rw4357072/?ref_=tt_urv
3 October 2019,eseptember,9," Much more than what you'd expect
","At the time when I watched this, the rating was 6.6. I hope it gets higher after people discover more of Dan Fogelman thanks to This Is Us, because this rating is just not fair.",/review/rw4357072/?ref_=tt_urv
25 December 2018,ari_nelson,9," Ignore the critics and the soulless...
","...because I'm glad I did!!! For some baffling reason this has low IMDB rating...I almost didn't watch because of this and boy I would've missed out on yet another brilliant Dan Fogelman story. Crazy, stupid love happens to be a go-to movie of mine and This Is Us is one of my favorite tv shows. So my husband and I gave Life Itself a whirl hoping for something similar in style. I'm pretty sure my heart exploded with emotion...in the best possible way. I LOVE movies that make me emotionally vulnerable (like opening montage scene of UP!) and this movie nabbed at every emotion humanly possible in 90 minutes. My combat veteran husband (who keeps his emotions on reserve, mind you) said, and I quote, ""Next to A Star Is Born, this is the best movie I've seen all year."" On top of that, the acting is superb. Grab some tissues and enjoy.",/review/rw4357072/?ref_=tt_urv
29 December 2018,shailee-71432,10," Beautiful
","I went out of my way today to review a movie. Something I have never done before in my life, but I felt I had to. I saw a review after watching the movie that made me upset. A reviewer said it was sad people called this movie entertainment when they didn't even watch the first five minutes of the movie. I was upset by this because I experienced this movie in a completely different way. This movie does an amazing job of portraying how life is terrible and wonderful and unexpected all at once. It shows how so many lives marked with tragedy can lead to something beautiful. I'm sad for anyone who is too small minded to understand and appreciate what this movie is trying to do. Amazing cast, great director, beautiful camera work and a captivating story. I loved this movie.",/review/rw4357072/?ref_=tt_urv
21 September 2018,mamlukman,10," Best movie of the 23 we saw at TIFF
","We just returned from the Toronto Inter. Film Festival. We saw 23 movies, and my wife and I agree this was the best we saw.",/review/rw4357072/?ref_=tt_urv
2 January 2019,yada2121,10," Life Itself is about Life.
","Tragedy may knock you down. But you get back up again because all the little parts of all those who came before you are inside of you, urging you to keep going. I have always wondered how people survive the tragedies in their lives. Families with lots of love do it all the time. Even best friends too. Now, I understand how the love and the memories can transcend the tragedies. Take us beyond the tragedies. And why we all must never dishonor those who have touched our hearts by forgetting about them. Because life is never forever. But it's best parts can be passed on to those you love and shared with those who loved you until the day they died. This is the power of this movie.",/review/rw4357072/?ref_=tt_urv
26 December 2018,oobrimah,10," A Great Dramatic Epic
","This movie is a great dramatic epic because the dialogue is great. The 'Book Thief' is a great dramatic epic because of it's excellent character development, essence of a literary novel or movie. 'Life Itself' does not engage in character development, yet you feel endeared to the characters because they somehow are defined by their dialogue. Never seen a movie soften an adverse event as much as this movie does, with outcome you focus on the good that could come out of the adverse event. Don't know why they threw in that 'goddamn' at end of the movie, but I overlooked it and gave it a 10 anyways.",/review/rw4357072/?ref_=tt_urv
3 October 2018,pantickatarina,9," Beautiful!
","I was apprehensive going to the movies because the movie is neither popular nor well-reviewed. What a surprise! I both laughed and cried in my seat. It has a beautifully written script, the story is original, emotional and immersing. Yes, it is messy at times, but so is life. I loved how it all tied together in the end. I felt that there are many many sentences from that movie that will soon be legendary.",/review/rw4357072/?ref_=tt_urv
19 May 2021,jaimemedina-36288,9," The unreliable narrator
","Once every 10 years or so a movie like this comes along and reaches into your chest and rips your heart out. It shows it to you - bloody and still beating. It is brutal, relentless, and beautiful, and it is a work of art.",/review/rw4357072/?ref_=tt_urv
21 September 2018,ferguson-6,7," cross-contient ripple effect
","Greetings again from the darkness. The theory is that heavy dramas find it challenging to attract an audience during times when real life and newscasts are filled with daily downers. One need only tune in to the local news to see that we are in just such a ""downer"" period right now, and it would be difficult to argue that this latest from writer/director Dan Fogelman (""This is Us"") is anything but the weightiest of heavy dramas - with an emphasis on the preciousness of time and life. ",/review/rw4357072/?ref_=tt_urv
