Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 December 2021,Fella_shibby,7," Entertaining heist movie with top notch cinematography.
",I enjoyed this one more than its predecessor.,/review/rw7493963/?ref_=tt_urv
17 November 2021,cricketbat,7," Is this the first time a spin-off is better than the original?
","I wasn't expecting much from Army of Thieves, but I ended up liking this prequel spin-off more than I liked Army of the Dead. The characters are what really make this movie enjoyable. Matthias Schweighöfer, Nathalie Emmanuel, and the rest of the gang have good chemistry & entertaining dialogue. And while it does seem strange to have a zombie apocalypse NOT be the center of your story, this film was still a fun ride.",/review/rw7493963/?ref_=tt_urv
30 October 2021,danielmanson,7," Better than Army of the Dead
",I'll be honest I was not a fan of Army of the Dead at all. So I had absolutely no expectations watching this and I have to say it is much better than I thought it would be. They also picked one of the better characters to do a prequel on also.,/review/rw7493963/?ref_=tt_urv
1 December 2021,blanche-2,8," A prequel to Army of the Dead
","This is good fun, and part of a series of films. I've only seen this one so far. This is a prequel to Army of the Dead.",/review/rw7493963/?ref_=tt_urv
1 November 2021,Calicodreamin,5," Meh
","Not bad but not great either, very meh. The safecracking is repetitive and the police chasing was lazy. The movie tried to be self aware but it didn't work. The team lacked chemistry and acting was only okay. Only good thing going is stunning visuals.",/review/rw7493963/?ref_=tt_urv
1 November 2021,roondogbb,8," A prequel that actually improves upon the original.
","Many people out there will not like the type of film that Army of Thieves is. Yet many people like myself love it. So, much like the previous film, scores will will either be very low or quite high.... A super serious drama Army of Thieves is not. What it is however is 2 hours, of light drama laced with comedy that is very enjoyable. It tells a prequel story of how the master safe cracker Sebastian, comes to be involved in the world of crime. Joining with a crew that include Gwendoline (Nathalie Emmanuel) as the master thief, Brad Cage (Stuart Martin) as the muscle, Beatrix (Noémie Nakai) as the hacker and finally Rolph (Guz Khan) as the Driver. All the actors and actresses were very good. Its not the type of script/film that one of them could show a 10/10 performance, however they brought to life the good script at hand",/review/rw7493963/?ref_=tt_urv
30 October 2021,frank-liesenborgs,7," A very positive surprise, craving for more.
","What makes this movie different is that it excels in the filming of the details. Every time they crack a safe and the film zooms in on the details, it is just marvellous. And then there is the superb acting of mainly Nathalie Emmanuel (Gwendoline) and Matthias Schweighöfer (Dieter). The plot and storyline are predictable but this does not prevent to put a quality label on this movie. Just watch the credits at the end, then you realize what an amount of work has been put into this movie. Now I am waiting for a sequel where they go for the fourth and final Wagner vault! This is not a zombie movie but a thoroughbred heist movie. Heist movies tend of course to be similar and predictable, and ""Army of Thieves"" is not different. You've got all the usual stuff from the assembly of the team of experts with highly specialized skills to the double-crossing. I was also happy to see a Nixon mask during a heist. The last time I saw this was in 1991 (Point Break)
""Army of Thieves,"" is a prequel starring and directed by the ""Army of the Dead"" ensemble player Matthias Schweighöfer and takes place in the very early days of the zombie apocalypse. With the undead safely confined to the United States, the Europe-set ""Thieves"" is free to focus entirely on pulling of the biggest heist in history.",/review/rw7493963/?ref_=tt_urv
4 November 2021,SnoopyStyle,6," more Dieter, less zombies
",This is a prequel to Army of the Dead (2021). Sebastian (Matthias Schweighöfer) is a mild-mannered bank teller by day and a YouTube expert on safes by night. His clip has one view. It's master thief Gwendoline (Nathalie Emmanuel) and she recruits him into her gang. They're planning to breaking into three legendary safes.,/review/rw7493963/?ref_=tt_urv
31 October 2021,denden85,6," Interesting and disappointing at the same time
","The movie starts in a very unique way. It is artistic and creates an interesting built up. The pace of the movie is fast enough to keep you awake, which is good; even if you're not too excited about the happening, you still don't get bored. However, the end of the movie doesn't make enough sense. It felt like sort of another movie. It's like nobody knew how to finish it properly, in an interesting and meaningful way. Also, ""Army"" of Thieves doesn't make much sense either. Where's the ""Army""? The ending of the movie might make more sense if there's second movie to it, but in any case, the ending is not fun.",/review/rw7493963/?ref_=tt_urv
31 October 2021,Master_Strange,7," The Safe Mechanisms are Beautifully Conveyed
","The acting was great across the line and kept me engaged. The plot was cliche, but what do you expect, its a recycled idea, but that's what makes it great. I've seen the story told time and time again, yet it still stayed engaging throughout. The cinematography is faultless especially the way the safe mechanisms are beautifully conveyed. I really enjoyed the movie whole time , a bit comical with series of bank heist . The acting and cinematography , background music all spot on.",/review/rw7493963/?ref_=tt_urv
