Review_Date,Author,Rating,Review_Title,Review,Review_Url
14 March 2019,feliciaa-08320,1," I used to like this show
","I really liked the first season, the second we're okay but the third I don't even recognize the series I once used to like.",/review/rw3627850/?ref_=tt_urv
29 January 2019,tzuuuUUUU,1," First season good, second questionable, third season a 1/10
","While first season was cheesy it still had an interesting story to follow, it was a great watch all in all for what it was 7.5/10. In the second season they started to run out of ideas and it was just ""okay"", I would rate it 5.5/10. The third season though.. oh my god. It might be one of the worst things ever made in human history. The writing is SO BAD, like its written by a 10 year old kid, everyone's acting is awful, like ten times worse than the first and second season. Nothing makes sense, no weight to anything.. everything is just awful. I would seriously give season 3 a 1 out of 10 and I am not kidding. A goddamn 1/10. Horrible.",/review/rw3627850/?ref_=tt_urv
9 February 2019,Ahmadkkotb,3," 100 m/h going downhill
","What started as a strong teen drama with thrilling mysteries and good twists and hit season two with a good plot, by season three totally lost it's charm, it no longer has any logic or reason begind it, simply a bunch of teens walking around acting like they're adults and adults letting a bunch of kids run the town in the most ridiculous ways to the point it's no longer in connection with reality",/review/rw3627850/?ref_=tt_urv
2 July 2021,pawanpunjabithewriter,6," How is it still surviving?
","Season one was terrific. I honestly rated 8/10. Season two got better and bigger with greater character arcs, suspense and crime-drama. Betty is wonderful. Jughead and FP make a great team. As per me, Season two gets an 8.5.",/review/rw3627850/?ref_=tt_urv
16 December 2021,MichalMizrachi,6," WHAT IS WITH THE SINGING?!
","Season 1 was great, the actors, the script, the storyline.",/review/rw3627850/?ref_=tt_urv
25 May 2022,keonir,1," ????????????
","Literally what the hell is this show & how had it been renewed for so many seasons with how absurd the writing is. The writers must've been taking the ""good stuff"" in their room and just wrote whatever nonsense came out of their heads during their bender.",/review/rw3627850/?ref_=tt_urv
21 March 2021,ethanjjacobs,2," Getting worse and worse
","Season 1 6.5/10
Is a promising start to the show , a negative is that it can have very cringy scenes but is a decent season overall and ends on a great cliffhanger",/review/rw3627850/?ref_=tt_urv
22 March 2021,ginahiza,1," Unsatisfactory
","I can't stand the script, the storyline doesn't even make sense. Why is it a musical all of a sudden? What the hell is the director doing?",/review/rw3627850/?ref_=tt_urv
26 July 2021,usuyami_13,1," How is this still getting renewed?
","It all went downhill after season 1, up to this point I can't understand why is this still getting renewed, specially when so many good shows get cancelled.",/review/rw3627850/?ref_=tt_urv
12 December 2018,Sleepin_Dragon,7," It's enjoyable fluff.
","I'm stunned by just how many episodes they've managed to churn out, talk about over egging the pudding. The characters transform inexplicably from week to week, and everything is so absurd, that 99% of it is impossible to comprehend. Yet there is something rather addictive about it, sure it's full of beautiful people, but there are some really interesting characters too, Cheryl in particular, great fun. They have recycled scenes from Carrie, Halloween, and just about every movie you can think of, but who cares, this is low brow, trashy, hugely enjoyable escapism. I would never repeat watch it, but I'll always sit down to a new series. 7/10",/review/rw3627850/?ref_=tt_urv
1 April 2019,almabjellerup-53059,1," First season was good, the rest is not worth your time.
","Started out great interesting and intriguing. But not it's just simply the worst. One of the worst shows I've seen. Too bad, really liked the first season.",/review/rw3627850/?ref_=tt_urv
26 May 2019,PsychoBeard666,3," Eurgh!
",I know I'm not the target audience but I at least expected some coherent writing or interesting plot points. Every episode is the same: nothing happens until the last 10 seconds which drops a bombshell to make you feel the need to keep watching.,/review/rw3627850/?ref_=tt_urv
26 November 2021,wandernn1-81-683274,2," Riverdale, The Community Run by 30 year old High School Students.
","I made it to Season 2 Ep. 12 before deciding, wow this show is just SO STUPID. I mean high school kids are running their parents, and running the town. Got sick of seeing Veronica tell her parents what's up. Got really sick of Archie who is supposedly the GOOD GUY WHO LOVES HIS DAD, not telling his DAD that he's spying on HIS DAD FOR THE FBI!!! LOL .... SO DUMB.",/review/rw3627850/?ref_=tt_urv
16 April 2017,koffeekupkriminalk,2," RiverFail
","Yet another CW show about 30-something teens where every conversation is a confrontation, where every character is so enamored of their ""mad skills"" and implied superiority it now transcends pathetic and is just plain boring, where the portrayal of under-aged drinking, promiscuous sex, and statutory rape is just standard operating procedure, where adults are so explicitly simple-minded, unaware, ignorant and un-involved it seems they were taken directly from a cell phone commercial, and where, apparently, millennial TV is devolving to at an alarming rate.",/review/rw3627850/?ref_=tt_urv
13 April 2019,flynnwcarson,1," Do people still watch this
",I actually used to like the show the first season was good the second season was questionable but the third is a complete mess,/review/rw3627850/?ref_=tt_urv
5 July 2019,armanwhannell,3," CRINGE
",First season was good. The second season was OK. But after watching the third season I wonder whether this TV show should be nominated for the cringiest TV series ever. Who else agrees with me?,/review/rw3627850/?ref_=tt_urv
