Review_Date,Author,Rating,Review_Title,Review,Review_Url
19 September 2019,UniqueParticle,8," ""Magic carpet ride""
","I want this New York and LA life, I'm tired of North Carolina! Strange concept that seems to work or at least it seems that way. I absolutely love the soundtrack, it makes for such a feel good movie! Friends with Benefits is really funny and has a bunch of really good points throughout! Justin Timberlake and Mila Kunis are a blast as close friends.",/review/rw2550286/?ref_=tt_urv
7 April 2012,jonathanruano,7," ""Friends with Benefits""
","""Friends with Benefits"" has a predictable and unoriginal rom-com storyline and its ending is pretty lame. Yet this movie coasts on the charisma of Justin Timberlake and Mila Kunis and a lot of sharp and witty dialogue. As long as these two actors are talking to each other or having sex, there is hardly ever a dull moment. And the reason for this seems to be simple enough. In most rom-coms, the actors play pretty dim-witted, boring and superficial people and therefore there is no reason to take interest in anything they may say or do. In this rom-com, ""Friends with Benefits,"" Timberlake and Kunis play fresh, independent and smart people and for this reason we are interested in the lives they lead and what they say to each other. So ""Friends with Benefits"" does not have much of a plot, but that does seem to matter because on this rare occasion we are happily distracted by the magnetism of two capable on screen actors who are playing two well-craft parts.",/review/rw2550286/?ref_=tt_urv
22 November 2011,liso1966,7," Cliché, predictable, but so honest and funny!
","This movie was all things cliché and predictable. Even though you know what is coming, the honesty with life's little quirks and human behavior was incredibly well done. ",/review/rw2550286/?ref_=tt_urv
9 December 2018,nogodnomasters,10," YA, YOU KNOW IT...
","Both Timberlake and Kunis have recently broken up with their partner. Kunis plays a recruiter for GQ magazine, and Timberlake is someone she ""stalked"" to head up their Art department. Timberlake's ex-gf is Emma Stone. What is interesting is that Kunis' character is the laid back type of person we would expect Emma Stone to play, while Stone (what little we see of her) plays an emotional character we would expect Kunis to play. I don't know if the producers did this by design, or they just lucked into it, but knowing this made the movie funny on a different level. Kunis is savvy enough to realize she has been ruined by romantic movies as she awaits her Prince to sweep her off her feet. You know at the end of the movie, come running to her as she is about to leave, and pour his heart out to her.",/review/rw2550286/?ref_=tt_urv
22 July 2011,Samiam3,6," A sweet satire that's almost good (but not quite)
","What I can say for Friends with Benefits is that it's a cute movie that doesn't reach it's full potential. The main problem to me is that when it starts, the film is being played as satire and when it ends, it's being played straight. As a result, Friends with Benefits does not quite rise above the romantic material it mocks, but on occasion it's funny and adorable.",/review/rw2550286/?ref_=tt_urv
1 October 2011,DICK STEEL,," A Nutshell Review: Friends with Benefits
","2011 will probably go down as the year Hollywood tells us having F* buddies is OK and encouraged, with no less than three films this year set around the premise of pure sex without strings or emotions attached, with Love and Other Drugs and No Strings Attached setting the precedence earlier with an incredibly good looking cast in all sorts of undress - Anne Hathaway, Jake Gyllenhaal, Natalie Portman and Ashton Kutcher - and added to the list will be current IT guy and girl Justin Timberlake and Mila Kunis rolling beneath the sheets in a typical love story between the emotionally unavailable and the emotionally damaged.",/review/rw2550286/?ref_=tt_urv
26 July 2011,itchywow,8," Good chemistry for sure
",I was expecting to have to compare this movie with No Strings Attached (or whatever that movie with Ashton Kutcher was) all the way through however I was pleasantly surprised that the story was a bit more complex despite the obvious parallels.,/review/rw2550286/?ref_=tt_urv
31 October 2014,lesleyharris30,7," Surprisingly Enjoyable with Great Chemistry Between its Leads,
","Friends with Benefits is a good movie with a pretty well developed storyline and a fantastic comedic cast.I thought this would be exactly like No Strings Attached,and I really hated that movie so I wasn't going to bother watching this,but my friends told me it was much different and better,and while I didn't believe them I gave this a chance and I'm happy I did,it is much better and it isn't similar at all to No Strings Attached other than the set up of two friends having casual relations.I cared about these characters a lot and wanted them to get together,there was really great chemistry between Mila Kunis and Justin Timberlake,and there are also hilarious cameos from great comedy actors such as Woody Harrelson,Andy Samberg.Emma Stone,Rashida Jones,Jason Segel,among others.My favourite part of the movie was Richard Jenkins,he delivered a great performance and the emotional addition of him struggling with Alzheimer's was a good idea and very sweet,I cared about him more than anyone else.It isn't anything outstanding,but it's funny and certainly a better than usual romantic comedy that I would recommend to anyone looking for a good one. ",/review/rw2550286/?ref_=tt_urv
5 July 2011,DonFishies,7," A raunchy sex comedy that starts off sweet but becomes sour all too quickly
","I was unsure what to expect going into Friends with Benefits at an advanced screening a few weeks ago. It always seemed a bit too close in plot to No Strings Attached (made extra odd as the female leads Mila Kunis and Natalie Portman had literally just starred together in Black Swan), a film that came out less than six months ago, and while the trailers looked amusing, they seemed to look a little too close to an atypical romantic comedy. But the film actually ended up surprising me. Well, the first half at least.",/review/rw2550286/?ref_=tt_urv
30 June 2011,threephil,8," A Cliché Romantic Comedy that Pokes Fun at Other Romantic Comedies
",I was able to see a sneak screening of this movie almost 1 month prior to it's official release. I honestly walked in simply thinking I was seeing another typical romantic comedy with my girlfriend. To my surprise it was much more.,/review/rw2550286/?ref_=tt_urv
