Review_Date,Author,Rating,Review_Title,Review,Review_Url
4 September 2005,jotix100,7," The numbers racket
","""Hoodlum"" is a film that deserved much better. Bill Duke, its talented director, gives us a picture of what the Harlem of the thirties was like. In fact, ""Hoodlum"" suffers when it's compared to Coppola's ""The Cotton Club"". Mr. Duke, an actor himself, was able to amass a great cast and he got performances that are amazing from this first rate ensemble.",/review/rw2680139/?ref_=tt_urv
26 September 2015,Hey_Sweden,7," An entertaining gangster picture with a great cast.
","Overlong but riveting, highly visceral mob movie with a difference, as it shows the rise to prominence of ""Bumpy"" Johnson (Laurence Fishburne). Johnson, fresh from a stint in prison, goes to work for successful Harlem numbers racketeer Stephanie St. Clair (Cicely Tyson), then takes over the operation when she is sent to prison. His approach, unsurprisingly, is much different and more proactive than hers, which comes in handy when they are forced to deal with the activities of Arthur Flegenheimer, a.k.a. ""Dutch Schultz"" (Tim Roth), a pathologically greedy, flamboyantly nasty creep just full of swagger.",/review/rw2680139/?ref_=tt_urv
17 May 2007,RaiderJack,9," I Had Forgotten How Good This Movie Actually Is!!!!
",I had this movie on homemade VHS for a while and just received the DVD.,/review/rw2680139/?ref_=tt_urv
18 December 2015,LeonLouisRicci,7," Brutal Character Studies and Fine Period Detail Highlight
","Colorful, violent, a good cast, and excellent period recreation highlight this depression era Gangster Movie. Directed by Actor Bill Duke, it is at times talky and languishes a bit, but the action pieces are stylish and visceral.",/review/rw2680139/?ref_=tt_urv
11 February 2003,dynamicresolve,8," A great film, victim to negative people
","It seems to me like in today's film world, critics, whether it be Ebert or the viewers, are quick to down a film if it has a large budget.  I think Hoodlum fell victim to this epidemic.  With a bankroll of wonderful actors and actresses, and some of the best historical recreation of the locations, the movie delivers. The plot was simple, but it doesn't need to be complicated in a gangster flick like this.  It was based on real people, so the creators of the film cannot go ballistic on changing the story.  Maybe the 'critics' would like it better if it had a little green man who uses the force, or maybe a future crime prevention device.  Well, you won't find this here.  It's a wonderful, semi-true story about the way things were in Harlem and the surroundings areas back then.  Fishburn turned in a wonderful performance, and Roth played a great villian as he always does.  Just relax, and take it for what it's meant to be.  Entertainment.",/review/rw2680139/?ref_=tt_urv
10 April 2009,zardoz-13,7," A Lavishly Mounted But Uneven Black Gangster Epic With a Superior Cast
","Snap-brim fedoras, vintage autos, blazing Tommy guns, corrupt public officials and greedy mobsters battling it out over turf rights recur throughout director Bill Duke's violent, 1930s' racketeering epic ""Hoodlum,"" a pictorially authentic actioneer that evokes memories of the classic Robert Stack television series ""The Untouchables."" Although ""Hoodlum"" boasts a top-drawer cast, including Laurence Fishburne, Vanessa Williams, Tim Roth, and Andy Garcia, this lavishly mounted but uneven gangster saga suffers from its rambling length, garrulous script and a shortage of shoot-outs. As the first major film to headline the crimes of Harlem's infamous Black Godfather Ellsworth 'Bumpy' Johnson, this production offers a novel departure for audiences that are weary of superheroes, female warriors and hard-bitten cops who have were crowding the big-screen when ""Hoodlum"" appeared in 1997.",/review/rw2680139/?ref_=tt_urv
28 January 2002,bob the moo,," Entertaining but ultimately shallow gangster film that's been done before
","`Harlem 1934.  In a world impoverished by the great depression, the single largest business in Harlem is an illegal lottery known as the `numbers'. For many, a winning numbers slip is the only chance to put food on the table.  The undisputed leader of the Harlem numbers is Madame Queen, who has run this multi-million dollar business quietly and peacefully for over a decade.  Notorious gangster Dutch Schultz has defied the wishes of his partner, crime chief Charles `Lucky' Luciano and decided it's time to share in the profits.  There is only one obstacle in Dutch Schultz's path of destruction.  His name is Ellsworth `Bumpy' Johnson.'",/review/rw2680139/?ref_=tt_urv
19 June 2021,quitwastingmytime,2," Huge Waste of Talent
","Half a dozen of the finest actors around wasted in a disjointed, dull, poorly written and directed film.",/review/rw2680139/?ref_=tt_urv
24 February 2001,Monkasi,," Maltin-style review
","Riveting film about gang wars and race relations in 1930s New York, with Ellsworth ""Bumpy"" Johnson (Laurence Fishburne) at the center. Engaging characters and situations make this overlong movie watchable; but Andy Garcia doesn't channel Luciano as well as he should, and Tim Roth turns Dutch Schultz into such a blatant stock villain that one wonders what the real Arthur Fleggenheimer was like. Otherwise, excellent performances all around - and Paul Benjamin steals several scenes as a creepy assassin who talks as if he eats tobacco leaves for breakfast. Emotional and powerful.",/review/rw2680139/?ref_=tt_urv
22 May 2003,allar100,5," A waste of good talent
","This film had a lot of talent in it, but it just wasn't very good.  It seems like it was a throwback of some of the old blaxploitation films.  But I am not sure if they were trying to do that, or if it just came out that way. Anyway, a flat drawn out story, and choppy direction didn't help this movie in the least bit.  Even that action scenes weren't very good.  See it if you must, but you really aren't missing anything.",/review/rw2680139/?ref_=tt_urv
