Review_Date,Author,Rating,Review_Title,Review,Review_Url
14 January 2023,Mimzzzz,7," Dog love
","I really do not understand some bad reviews here. I mean Ok, you can talk about irresponsability and the son is maybe a little bit annoying, but everyone can happen this anytime. You can find yourself in a miserable situation to lose your dog and ofcourse there is no one to blame but yourself.",/review/rw8802407/?ref_=tt_urv
16 January 2023,DarkVulcan29,9," Surprisngly enjoyable
","I first thought that this was gonna be real silly with campy like acting, the trailer on Netflix made it seem like it was gonna seem that way, but has I watched the film, it started to grow on me, for anybody who every has loved a dog, I believe will find this movie enjoyable.",/review/rw8802407/?ref_=tt_urv
15 January 2023,srgymrat33,6," It's a dog movie ...
",Did I enjoy it ? Yes . Will I watch it again ? No .,/review/rw8802407/?ref_=tt_urv
15 January 2023,wthr-65114,10," A realistic view of the human condition.
","An emotionally lost young man adopts a puppy while attending college. When he graduates, with no job prospects on the horizon, he returns to his parent's home, dog in tow. His parents bond with this special animal as well, all while frustrated with their son's lack of drive.",/review/rw8802407/?ref_=tt_urv
13 January 2023,sue-06239,8," Feel-good film for dog lovers
","We wanted a brief break from bloodthirsty Vikings battling it out so we decided to go for a totally different, feel-good film that leaves you thinking, actually, there are some lovely people in this world.",/review/rw8802407/?ref_=tt_urv
18 January 2023,rufusmcd,10," What is with all the hate?
",""" These people are terrible. They made the wrong choices . They are rich and are able to do this"" Really? The movie The Titanic has rich arrogant people in it too who made a slew of wrong choices but somehow everyone loves that movie. How about the fact they made mistakes which apparently none on the haters never do. How about basing your review on the movie and not the real people its based on. Its a nice feel good movie that been done a thousand times before. The reason for that is people like to see other people find their pets. I suppose none of you have never lost a pet or anything else that was dear to you. Check yourselves.",/review/rw8802407/?ref_=tt_urv
13 January 2023,gitapar,6," Great movies without the son ;-)
",The hopeless and drifting son aquires a dog and his fractured relationship with his parents takes a turn when he loses the dog because of his thoughtlessness and they band together as a search party.,/review/rw8802407/?ref_=tt_urv
14 January 2023,gracelamprell,7," Cheesy but a nice watch
","Only really a movie for people who own and love dogs but definitely will make you smile. I didn't think I was particularly invested until the ending when I was suddenly crying so they definitely pull at the heart strings. The acting from the main boy was really good, shame some of the material he had to work with wasn't always great. There was a side story about the son which did seem a bit unnecessary and probably that time could have been put toward some more content of the missing dog on his little adventures which I did think there needed to be more of. Also very distracting that the dog had a weird goofy name but then again it's a true story so they have to honour the original doggo. Enjoyed overall!",/review/rw8802407/?ref_=tt_urv
17 January 2023,irmamarie-937-495593,9," Don't listen to those knocking this film
","First off, I must say, Rob Lowe has gotten better looking with age. I do not understand the reviews talking about the son being annoying. What reality do you live in? I thought the character reflected many young people who graduate from college and feel lost. The love for his dog was heartwarming. I really enjoyed this movie. Knowing that it is a true story, it restores my faith in humanity. So many good people helped the family.",/review/rw8802407/?ref_=tt_urv
20 January 2023,PotatoSkit,7," Jamesasrose the pretentious ""dog trainer"" know it all
","Decent movie, I mean I cried so of course it's one of those movies that def hit at your heartstrings. If you're up for a cheesy tear jerker and you need a therapeutic cry then watch it. If not then don't. It won't win any Oscar's nor will it awe you with amazing acting. If you've seen enough dog movies you know what you're in for. Also, it's your doggie you can train it and raise it however you want. As long as they're loved and cared for everything else falls into place. My dogs (2 very healthy happy dogs) were never properly trained and they're the happiest dogs. So do and raise your dogs as you wish and give them all the love:)",/review/rw8802407/?ref_=tt_urv
22 January 2023,maheushellie,10," A Really Heartfelt Film
","This movie was really heartfelt. But I am not only a dog lover but I love all animals. I am certainly glad I don't go off of the ratings, especially what's written, when deciding to watch a film. This movie is about a young man in college trying to find his way. He experiences rejection from his peers and even parents for him not knowing what his career path is. He sees a dog out at campus one day, and decides to get himself a dog too. He finds himself the perfect dog at a shelter, who needed him as much as he needed the dog. Then while walking on a trail with his friend, the dog wasn't on his leash, and starts chasing a fox, and gets lost in the mountains, which is not hard to believe, and it was very sad and relatable too.",/review/rw8802407/?ref_=tt_urv
17 January 2023,kateann1027,2," Based on a true story but did not need to happen
","The relationship between Gonker and his irresponsible, uninformed human is a love beautiful to see. Unfortunately for Gonker letting a dog off leash in the woods with a strong prey drive and no strong recall response is a horrible and tragic thing to do. His parents thinking a shock collar is a responsible choice instead of positive dog training is horrible and stupidity at its worst. Making a movie like this sends the wrong message to dog parents. I get its a true story with a happy ending BUT There should have been a clear message at the end of the movie saying ""We do not advocate this uninformed treatment of any canine. Please find a good canine trainer to avoid losing your treasured fur member of your family and traumatizing your lost dog having to fend for themselves and barely surviving in the human world.""",/review/rw8802407/?ref_=tt_urv
13 January 2023,kodiwuffel,3," It hurts, it just hurts
","The story is really simple, easy to understand and pretty boring.",/review/rw8802407/?ref_=tt_urv
16 January 2023,e-66469,10," Waxh the whole movie
",I scrolled through the reviews on this and was disappointed that the 1/10 person didn't even finish the movie and talked about how it took to long to get to the point. GROW SOME PASHENT PANTS. I am 13 and made it through this movie beter than some person who is probably 25 or older. I thought it was a great move especially for dog lovers. Definitely recommend if you have some free time. It is a little sad at some points but definitely is a great tru story. I definitely relate to this story. When you lose your dog all you want to do is find them. I have experienced this with one of my dogs before not to this extent but I have lost a dog for a few hours and it felt like day's.,/review/rw8802407/?ref_=tt_urv
14 January 2023,tommy5677,5," I muddled through
","The only reason this review got a 5 is because of Rob Lowe. That's it. Even at the ripe age of 58, this man continues to pack a handsome punch and it's obvious in this movie that he's hitting the gym on a regular basis.",/review/rw8802407/?ref_=tt_urv
15 January 2023,domialenic,1," pathetic
","Of course all you dog and animal lovers will have watched this movie. Based o a ""true"" story after all . But it can go beyond the ridiculous which this production certainly did. The sugar will stick with you for a long time. Nothing wrong with a bit of sentimental story telling. But here we have the story of an obviously very privileged family that could afford dedicating themselves 24/24 to finding their family pet, no expenses spared. Nothing really wrong with the premise. But to much is to much. It comes to the stage where one feels uncomfortable with the amount of fakeness and over the top artificial emotionality..",/review/rw8802407/?ref_=tt_urv
23 January 2023,bonnierae,4," Could have been so much better!
",The storyline is an interesting one--and apparently true. But the acting is clunky and the script even worse. And I love Rob Lowe! He seems at times to be a bit embarrassed at even being in this movie.,/review/rw8802407/?ref_=tt_urv
18 January 2023,zaltman_bleros,6," Not enough dog
","It's an enjoyable film that is lacking in the dog department. The dog is lost on the Apalachen (something) Trail and the film focuses on the search for the dog, the relationship with the father and son and the people they meet along the way that help them with flyers and spreading the word about the lost dog. I would have wanted to also see the ordeals of the dog Gronker but alas it was not to be. I also hate it that the trailer was misleading us, thinking the father was not fan of the dog the son brought home when in fact he loved that dog as much as the son. Why do they do that with trailers. Anyway whoopie, I reached the minimum character limit. Dog Gone is a good old feel good family movie. It's fine, just wished to see more dog in it.",/review/rw8802407/?ref_=tt_urv
