Review_Date,Author,Rating,Review_Title,Review,Review_Url
26 May 2021,ThomDerd,7," It's not The Raid. But it's good enough.
",It's definitely a good martial arts/ action film but not as good as the 2 Raid films which are kind of similar style to this one.,/review/rw4408972/?ref_=tt_urv
20 October 2018,Leofwine_draca,10," The Raid 3 in all but name!
","I was hugely disappointed when RAID director Gareth Evans revealed that THE RAID 3 was never going to happen, but I'm delighted to report that THE NIGHT COMES FOR US is the next best thing. It's another breakneck Indonesian action flick with a routine plot, good actors, and astonishing and lengthy action sequences. Joe Taslim - the SWAT team leader in THE RAID - plays the hero, a former assassin who leaves his old life but find it coming after him. Iko Uwais is unusually cast as the villain while Julie Estelle - THE RAID 2's Hammer Girl - appears as an assassin. This film boasts a series of incredibly violent martial arts fights that utilise all manner of props and weaponry in a bid to destroy and disable the human body in as many creative ways as possible. The fight choreography is crisp and clear, the actors obviously skilled at what they do, and the pulse-pounding mayhem never lets up; it's hard to pick a favourite fight when there are so many stand-out moments here. What I can say is that the bloodshed is incredibly explicit, making this by far the most gruesome action film I've ever watched. And I can't wait to see it again!",/review/rw4408972/?ref_=tt_urv
12 November 2018,BA_Harrison,9," Oh so violent.
","For those who thought that The Raid 1 & 2 were the last word in kinetic, ultra-brutal martial arts movies, think again: The Night Comes For Us, from director Timo Tjahjanto, is a strong contender for the most excessively violent, blood-drenched action flick ever made. The film's many fight scenes are wonderfully choreographed and flawlessly executed, Tjahanto's breath-taking direction employing shooting techniques that are guaranteed to astound, although it's the sheer quantity of blood and guts that really impresses.",/review/rw4408972/?ref_=tt_urv
29 October 2018,Fella_shibby,10," One of the best action film after The Raid Redemption. Brutal, gruesome, gritty, relentless action extravaganza.
","What an amazing action/horror film it is man.
Yes, u heard it rite. U can call it a horror film too. The amount of non stop kills, stabbings, brutal n insane violent scenes, the non stop splatter is far more than in any recent horror films.
Coming back to the action, the choreography of the fight scenes is top notch. It is a non stop action extravaganza for fans of the genre. There r too many brutal action scenes. The pool ball scene with the scalp attached to it may upset some viewers.
With Iko Uwais as the villain, Joe Taslim as the man seeking redemption, Julie Estelle as the badass femme fatale n Zack Lee as the strong n daring junkie, then u probably get a solid action film.
Hats off to Timo Tjahjanto (Macabre, segments from Vhs 2 n ABC's of death, Killers n Headshot).
Kill Bill, John Wick, Rambo n Expendables looks like kindergarten in front of this film.",/review/rw4408972/?ref_=tt_urv
22 October 2018,kamau-15267,10," One of the finest
","This will easily go down to the best Martial arts movie I've seen in the last 5 years or so. Iko Uwais and Co. did there parts perfectly. Am very thrilled of the ideal of brilliants of the choreography *madness*
This was truly a gem not only the action sequences spectacular, and I iterate spectacular but the story line and acting as well as screenplay was very tastefully done.",/review/rw4408972/?ref_=tt_urv
20 October 2018,AndreasHardcastle,5," Great gore, painful story/story telling, so and so martial arts
",My first thought when I saw this one released: New Iko Uwais movie? Must see!,/review/rw4408972/?ref_=tt_urv
20 October 2018,HotDoggyBoomBooM,6," martial art gorefest 10/10 with a bland character script.
","WATCH THIS MOVIE IT's WORTH FOR THE ACTION AND GORE
Yes when i heard the name iko uwais new movie is out on netflix i just jumped into it cause even though story is weak his actions his enough to steer through and i was kinda disappointed in this .not here to spoil the show but here's how it goes if you have seen these movies headshot (DIR & PRO made this flick) ,raid 1&2 you might have seen how quick and agile group of minion thugs wielding machete are ..but here they made it like some sort of horde waiting for the cast( not here to spoil) to make the next move and yeah to be killed eventually but here is the catch after 1 or 2 fighting scene you can see that they made these cast like meat shield absorbing more than 3 or 7 maybe even more death blows only to be killed by enemy boss Eventually sigh:(
it bugs me the most to say that it was like some martial art tournament game strong vs strong which we could forsee it already with a story so vague i cant expect more .
GORE PART: only word i can say is daaaaaaaaam and brutal junks of flesh flying & lying everywhere coupled with vicious martial arts and weaponry which is a huge + and a treat to watch if you love gore of course.",/review/rw4408972/?ref_=tt_urv
21 October 2018,lebronjamesisaloser,10," Makes John Wick look like child's play.
","I am going to keep this review nice and short.
If you don't mind over-the-top violence and appreciate action movies then this movie is, plainly put, the best action movie of all time. That's right, I said it.",/review/rw4408972/?ref_=tt_urv
20 October 2018,fluffset,9," Pity for the henchman
","Henchmen are just an extra, an extra who appear to glorify the hero. Their life will last for around 10 second, if they are lucky, maybe its just their bone, if not, you know it.",/review/rw4408972/?ref_=tt_urv
25 October 2018,MrSelfPaid,8," Chop chop chippity chop chop...
","You think you've seen it all? Action, blood, guts, brains, bullets, body parts, broken teeth, sliced fingers, chopped heads, smashed heads, broken skulls, broken bones, protruding bones, hmmm? Think you've seen it all? SMH ... you haven't... until you watch this film.",/review/rw4408972/?ref_=tt_urv
