Review_Date,Author,Rating,Review_Title,Review,Review_Url
12 February 2014,bkrauser-81-311064,8," Never Have I Been so Wrong About a Movie
","Like many of you, the first time I saw the trailer for The Lego Movie (2014) I thought to myself, ""Are you kidding me?!"" Yet another movie based on a franchise of toys aimed towards families willing to cough up the cash just to shut their kids up. Can't we for once make movies for kids that don't dull the senses? Have we truly come to the point where there are no original thoughts? Yet after seeing not just families but college kids' line up to see sold out viewings I became interested. In addition, The Lego Movie managed to muster a staggering 93% on rottentomatoes.com, an unheard of fresh score in the February film graveyard. In short; curiosity got the best of me.",/review/rw2956092/?ref_=tt_urv
29 December 2018,vithiet,9," Expected a basic kids movie and was pleasantly surprised
",Kids will love it but the writing and layered humor will also please most adults. Very well done!,/review/rw2956092/?ref_=tt_urv
7 February 2014,BrentHankins,9," An absolute must-see, consistently entertaining from start to finish.
","Hollywood has a long history of taking beloved relics from our  childhood and adapting them into big-screen entertainment, with the  unfortunate truth being that the final product often bears little  resemblance to the source material that our younger counterparts loved  so much. Typically we're left with something that feels like a cheap,  hollow cash-in (The Smurfs, Garfield, Alvin and the Chipmunks), or a  bloated, special effects-laden monstrosity full of explosions and poor  acting (Battleship, Transformers, G.I. Joe: Rise of Cobra).  So it was with much trepidation that I sat down to watch The Lego  Movie, steeling myself for an experience that would be little more than  a two- hour commercial designed to drive traffic into the nearest toy  store, coaxing money out of the wallets of parents and into the pockets  of the Danish toy company. Instead, I was treated with one of the most  original, creative and entertaining films I've seen in years, which has  quickly cemented itself as the first must-see movie of 2014.  Emmett (Chris Pratt) is a construction worker, obediently carrying out  his daily duties in accordance with the instruction manual provided to  all Lego citizens by President (Lord) Business (Will Ferrell), an  obsessive compulsive, maniacal CEO bent on world domination. Think Lex  Luthor, but as a complete control freak with less intelligence and more  mustache-twirling insanity.  A chance encounter with the beautiful WyldStyle (Elizabeth Banks) leads  Emmett to the mythical Piece of Resistance, an ancient relic spoken of  only in prophecy that can be used to save the Lego citizens from their  impending doom. Wyldstyle quickly whisks Emmett away and brings him  before the Master Builders, which include the sagelike Vitruvius  (Morgan Freeman), the manic 1980s astronaut Benny (Charlie Day), and  WyldStyle's boyfriend, Batman (Will Arnett, in perhaps the film's most  hilarious vocal performance). Together, the Master Builders formulate a  plan to defeat Lord Business by infiltrating his massive high-rise  fortress, using the Piece of Resistance to defeat him once and for all   provided they can escape the clutches of the terrifying Good Cop/Bad  Cop (Liam Neeson), Lord Business' most loyal henchman.  From the opening moments of the film, The Lego Movie fires an endless  array of jokes at its audience from seemingly every angle. Writers Phil  Lord and Christopher Miller (who also directed the film) have an expert  grasp of the absurd, and they use it to great effect, ensuring that  every scene is stuffed to the gills with laughs. Many of the film's  best moments are derived from the fact that the characters, vehicles,  and environments are created from Lego pieces: one of the rules  established by the filmmakers was that everything appearing on screen  must be possible to construct in the real world.  There's an especially clever twist that occurs during the third act  that, if attempted by less talented filmmakers, could've easily  derailed the entire experience, but Lord and Miller's pitch-perfect  execution makes it work. With lightning-fast wit, a surprising amount  of action, and perhaps a bit of attention deficit disorder, The Lego  Movie is consistently entertaining from start to finish. It's a  brilliant mix of humor, heart, and creativity, and provides a great  foundation to build on.  Sorry, I couldn't resist at least one Lego-related pun. But seriously,  The Lego Movie is fantastic.  -- Brent Hankins",/review/rw2956092/?ref_=tt_urv
11 March 2014,tuomas_gimli,9," Everything is indeed awesome
","I'd be surprised if anyone saw this coming. The Lego Movie is quite simply unlike anything seen in a long while: rip-roaringly hilarious, gorgeous to look at, imaginative beyond belief, a great parody of worn out ""chose one"" clichés and also rather poignant and touching. ",/review/rw2956092/?ref_=tt_urv
20 January 2018,Platypuschow,7," The LEGO Movie: A surprising accomplishment
","I went into The Lego Movie expecting drivel, I thought it'd be alike the DC ones but without the DC element to appease me. Thankfully I was wrong, way wrong.",/review/rw2956092/?ref_=tt_urv
6 February 2014,cameraslie,10," A reminder of how fun Lego can be.
","The stand out feature of the Lego Movie for me would be the way the Lego Universe was created. The movie paid great attention to detail making everything appear as it would made from Lego, including the water and clouds, and the surfaces people walked on all had the circles sticking upwards a Lego piece would have. Combined with all the yellow faces, and Lego part during building, I was convinced action took place in the Lego Universe.",/review/rw2956092/?ref_=tt_urv
30 December 2014,bob the moo,," Doesn't quite have the heart the message needed, but it is still energetic, clever and funny
","It was approaching the end of the year when I finally joined everyone else and enjoyed seeing the Lego Movie, a few seasons after it was released. Although I try not to pay attention to hype and critical response, it did seem like a positive that the same people sneering at Transformers for being a pumped-up toy commercial, were perfectly in love with the Lego Movie even though it is entirely reasonable to point out that it will do that product absolutely no harm to be literally the building blocks of a bright, colorful film where one of the messages is to be creative and mess around with things. The plot is quite light – a perfectly ordinary construction worker who spends his life following instructions and order, suddenly finds himself declared the Special One by a group called the Master Builders, who are racing to prevent Lord Business from destroying the world as they know it.",/review/rw2956092/?ref_=tt_urv
1 December 2018,joefletch-16443,10," A lego product based movie
","This a fantastic movie with great animation and characters that are likeable. Chris Pratt, Elizabeth Banks and all the others the song is annoying though.",/review/rw2956092/?ref_=tt_urv
6 February 2014,PassPopcorn,8," Pass the Popcorn! review
","To be honest  when I first heard of 'The Lego Movie' I thought it to  be a ridiculous idea and automatically dismissed it as something bad.  However, when I gave it a second thought, I realized I kind of liked  the idea. I mean, why not create a big budget movie that takes place  inside the Lego universe? At least it's somewhat original (there have  been previous Lego movies, but they were all direct-to-video, and from  what I realize  they are much different from this one). And in this  age of spin-offs, remakes, prequels, etc. originality is more valuable  than ever. Add to that the amazing cast in the movie, and I, for one,  needed no more reasons to see this movie  and I ultimately enjoyed it.  The movie opens with the movie's villain, Lord Business (voiced by Will  Ferrell), stealing a mysterious artifact called the 'Kragle' (I hope  I've written it correctly) from a wizard named Vitruvius (voiced by  Morgan Freeman), in order to destroy the Universe. During their  encounter, Vitruvius tells of a prophecy about a Chosen one, who will  find another mystical artifact, called 'The Resistance Piece' and will  put an end to Business's mettle. 8 and a half years later, Lord  Business's alter ego  President Business  is ruling the whole world  in a sort of totalitarian way. We then meet the movie's protagonist,  Emmet (voiced by Chris Pratt), who one day accidentally stumbles upon  'The Resistance Piece' and is thought to be the Chosen one by a group  of Lego characters called the MasterBuilders.  Despite the fact that The Lego Movie's plot summary may seem a bit  complicated (and despite the fact that I hailed the movie's originality  a moment ago), the movie is actually pretty predictable and formulaic.  That isn't necessarily a bad thing  actually, the movie has an  explanation of some sort for why it is so predictable  but the movie  does get slightly tedious from time to time. The only other possible  downsides to the movie besides that, are the movie's third act, which  gets clingy in some parts, and some of the action scenes. I like how  the animation is a combination of both stop motion and CGI, but this  unusual style of animation may be hard to follow during a few action  scenes  and I fear this scenes might be even harder to follow if you  decide to watch the movie in 3D. Nonetheless, all this downsides to the  movie are easily overshadowed by its qualities.  The movie's biggest quality is definitely that it is fun. The Lego  Movie is a nostalgic look back at childhood and it helps to realize  that our child games were often very silly, ridiculous, over the top  and funny  and in that way The Lego Movie could be better appreciated  by adults than by children. Virtually almost every scene contains a  silly joke or gag and I was constantly giggling throughout the whole  movie. The Lego Movie easily succeeds in being a feel good,  ridiculously entertaining movie that is worth your time. Moreover,  another The Lego Movie's quality is that it has quite an impressive  cast (Pratt, Ferrell, Banks, Day, Brie, Freeman, Hill, Neeson,  Offerman, O'Neil, etc.), that portrays a bunch of very colorful and  memorable characters. In short, if you are interested in watching a  nostalgic throwback to your childhood or just want to watch a fun,  feel-good movie, you mustn't skip The Lego Movie.  Rating: 8/10",/review/rw2956092/?ref_=tt_urv
7 February 2014,jonathan-e-denny,10," Childhood Awesomeness
",I was the only adult who didn't bring kids to the theater and all I can say is that I was leading the clapping when the credits rolled.,/review/rw2956092/?ref_=tt_urv
