Review_Date,Author,Rating,Review_Title,Review,Review_Url
17 August 2016,TheMovieDoctorful,10," Tragically Underrated Disney Film, One Of Their Best
","Until the release of ""Frozen"", ""Treasure Planet"" may have been the most over marketed Disney film of all time upon release. Back in 2002, it was EVERYWHERE. TV Spots for it were played almost religiously, ""Treasure Planet"" action figures and games were constantly being advertised between commercials on pretty much every kids entertainment channel and various fast food restaurants and cereal brands included ""Treasure Planet"" toys with their products. So obviously under-marketing was not the movie's problem...Which baffles me as the film was a massive financial flop earning only $109.6 million on a $140 million budget. So taking that into consideration, along with the fact that Disney would follow up ""Treasure Planet"" with the dismal ""The Jungle Book 2"" and the atrocious ""Home On The Range"", that MUST mean the movie was awful right? WRONG. Not only is ""Treasure Planet"" a childhood favorite, but is hands down one of the best, most emotional, most exciting and most investing Disney movies of all time. It's the most underrated without question.",/review/rw2957969/?ref_=tt_urv
9 December 2020,CubsandCulture,10," I am so glad I re-watched this...it is wonderful
","I had a very negative reaction to this film when it first came out, thinking that transporting Treasure Island into space was as silly as turning Dangerous Liaisons into a teen melodrama, ala Cruel Intentions. I recently reread the novel and decided to watch a few cinematic treatments of the story. This one ended up standing out from other versions. It is remarkable how close the final film is to the spirit of the novel while scrambling the plot, characters. It is just as an exciting piece of visual entertainment as the novel is of prose. A lot of the choices the script makes-beefing up Silver as a father figure-really land with this setting.",/review/rw2957969/?ref_=tt_urv
26 March 2004,dbborroughs,9," Someday This Will Be Hailed as a Great Film
","Somewhere along the way this film got lost. I'm inclined to think that Disney buried this film on purpose since it opened at exactly the same time as the latest Harry Potter film. This was the film that, according to Disney, the future of traditional animation hung, and they went out of their way to bury it, going so far as to declare it a failure even before the first days grosses came out.",/review/rw2957969/?ref_=tt_urv
16 January 2006,Company_of_Wolves,7," Swashbuckling Science Fiction
","Treasure Planet is the adaptation of the classic swashbuckling children's tale of Treasure Island by Robert Louis Stevenson. R.L.S originally wrote Treasure Island chapter by chapter for his son, as a bed time story for each night. When the story was first published it was actually condemned by some! Claiming that such violent tales encouraged boys to become ner-do-well's such as the pirates it glorifies! Suffice to say, Disney's futuristic adaptation fails to capture the rebellious nature of the original Treasure Island. Fans and fanatics can gripe all they want if a scene is missing from the book, or if a character's been changed, but as long as the core meaning of the story remains, it's essence. Then adaptation has been successful. Treasure Planet does not capture the essence of the book entirely, in fact it lacks a lot of it's power due mainly to the protagonist. Jim Hawkins of Treasure Planet does not suffer as much as his archaic counterpart, therefore his character does not under go the same heroic journey and does not emerge as profoundly changed as R.L.S original did.",/review/rw2957969/?ref_=tt_urv
3 December 2002,kalel6868,8," Incredible Visuals Compensate for an Overly Familiar Story
","Robert Louis Stephenson's `Treasure Island' has always been one of my favorite classic stories.  The tale of a teenage boy thrust into the adventure of a lifetime features pirates, swordfights, an ocean voyage, betrayals, and buried treasure among many other classic adventure-story ingredients  what's not to love?",/review/rw2957969/?ref_=tt_urv
19 September 2005,blueraptor77,8," Worth more than the credit everyone gives it...
","Upfront, I thoroughly enjoyed this movie beyond what I thought I would take from it. Being an animation major I can thoroughly pick apart most movies, especially what Disney puts out now-a-days. Unfortunately for their movie Treasure Planet, either it was ahead of itself ambitiously, or it was rumors that spread like wildfire (when it was being released) that killed it. Actually, that's why I didn't see this film until very recently, because of everyone's (and mine at the time) prejudice against Disney features springing up amongst way too many viewers, and especially for this film. I believed them that this film was terrible, and subsequently never got to see it until a week ago. Man, everyone was wrong.",/review/rw2957969/?ref_=tt_urv
17 July 2020,siderite,9," One of the last true Disney animations?
","This movie can be seen as a blend of the old and the new on every level. It is a remake of the classic Treasure Island book, but it's set in space (or a sort of space-like universe). It blends classically hand-drawn animation with CG. It features the good old tried tropes of Disney stories, including endearing but rather unfashionable approaches to human relationships (see the strong female character getting hitched with the one male who stands up to her). It flopped when it was released, but it is a rather fun adventure aimed at older children.",/review/rw2957969/?ref_=tt_urv
21 July 2020,r96sk,10," I love every single detail about this film
","Unequivocally, unmistakably, undeniably Disney's greatest animated film. A masterpiece, as far as I'm concerned. Long read ahead!",/review/rw2957969/?ref_=tt_urv
15 March 2006,emasterslake,8," It was cool for a Sci-Fi version of Treasure Island
",I saw this in theaters back in Late 2002.,/review/rw2957969/?ref_=tt_urv
3 February 2007,gkbowood,8," Supremely rippin ride!
","Cast yer sails matey...we be blastin outta these worlds! It was all good: cast,script, music, and the effects animation was the BEST! So why the rate of 8 then, well I really didn't like B.E.N.'s personality, but I'm sure others out there will love him. There are plenty of funny moments, endearing moments (without being sappy), and just the right touch of suspense to keep you hanging on. I was so glad the romance was played down for once, along with those endless Disney love songs. The one scene in the movie that is accompanied by song is such a score! Completes the scene of who Jim is and how he feels with just that one song. Bravo Johnny Rzeznik! I plan to go out and buy this DVD. I only wish I could have a Morphy on my computer to play with; Disney missed the boat big time on that gold.",/review/rw2957969/?ref_=tt_urv
13 May 2009,TheLittleSongbird,8," Very well done animated film!
","Sure it isn't perfect, but then again, few movies are. The visuals are a delight to look at, with a wide range of colours, and the art direction is much better than it is in most direct to video sequels. The music is lovely too, not the best score in the world, but I liked it. However, the story is very overly-familiar and some of the characters aren't quite as convincing as others. Be thankful that the voice talents are so good, like Tony Jay lending his distinguished voice as the narrator. Emma Thompson is lovely as Amelia and makes the most of some witty dialogue, and David Hyde Pierce impresses as well. Martin Short is good as BEN but his character isn't quite as appealing as the others, Morph was one of my favourites. I liked the idea of making Silver a cyborg, and Brian Murray does a respectable job, and Jim, while slightly bland to start with was appealing. All in all, a well done animated film, that is only let down by slightly unoriginal plotting. 8/10 Bethany Cox.",/review/rw2957969/?ref_=tt_urv
1 February 2006,jonricco-1,8," For Roy
",Everyone show watch and buy this movie if for no other reason than to support Roy Disney against Michael Eisner!!,/review/rw2957969/?ref_=tt_urv
9 May 2006,darklord2777,10," Amazing Movie
","This movie, even though given a bad rap by the critics, happens to be one of the best movies in the world. If you have not seen it, step away from your computer and rush out to get it. I don't wanna see you till you have that movie. Got it? Good now watch it. This movie's amazing graphics, twisting and riveting storyline, although based on the book Treasure Island it has many changes, including story changes, characters, and its planets not islands. Its amazing even though made by Disney anyone from age 10-100 can love this movie! The final sense with Silver and Hawkins is amazing and yet, in a way a bit sad. (That might have been a spoiler thats why I checked Spoiler) I also Loved the Music, it was amazing. The greatness in the whole film was flawless. The song ""I'm still here"" by the goo goo dolls was spectacular. I could not find anything about this whole film that did not make me smile, with the voices fitting the characters perfectly, and the amzaing graphics! This was a amazing film by Disney. It would make Robert Louis Stevenson proud, especially for the name of the ship the RLS Legicy; or the Robert Louis Stevenson Legicy. You could really feel Jims struggle, and Silver's emotions. I could not find one flaw with this movie! I gave it a 11 out of 10.",/review/rw2957969/?ref_=tt_urv
23 December 2005,arrohed1025,10," Wonderful!! Highly underrated
","When this film first came out, I was quite a bit skeptical, given what I thought was another lame Disney storyline like Atlantis, Emperor's New Groove and Mulan, and opted out of seeing it in theaters. Now 3 years later I was curious to see what it was all about, so I gave it a chance and rented it. To my surprise, I was blown away by the brilliant animation and complex storyline (going beyond the book), and wondered how this film could have been so overlooked. The coming of age story about a teenage boy deals with real issues in today's world, and how each of us has our own potential to reach. I also loved the score and the music by John Rzeznik. The only complaints I have is that Jim looks much older than his supposed age (15), perhaps 17 or so, and that the robot was obnoxious and shouldn't have been added in at the end. All in all, I'd have to put this on my list of favorite Disney films since The Lion King and Pocahontas.",/review/rw2957969/?ref_=tt_urv
