Review_Date,Author,Rating,Review_Title,Review,Review_Url
22 October 2018,AlsExGal,8," Elegant and painfully passionate
","There were many scenes in this movie that stuck with me, most of which have probably been discussed to death (the dad, the peach, the sheer pleasure of sitting around reading, swimming, and doing whatever you want unsupervised).",/review/rw3846805/?ref_=tt_urv
18 February 2018,TheLittleSongbird,10," The joy and pain of love and desire
","Saw 'Call Me By Your Name' as someone trying to see as many films from 2017 as possible, because same sex love has been portrayed beautifully more than once and because it was one of the best received films of the year with a lot of award attention as we speak.",/review/rw3846805/?ref_=tt_urv
17 May 2018,Sebastien02,10," A touching romance
","« Call me by your name » is a beautiful movie about first love. The atmosphere is dreamy and I have been taken on an emotional journey for two hours. Timothée Chalamet and Armie Hammer give remarkable performances. There is a great chemistry between them. The charming landscapes, the good soundtrack and the delicate direction also contribute to this achievement. I like the way homosexuality is portrayed: being gay is normal; there is no drama queen and no pathos. This is a touching story that makes me want to fall in love.",/review/rw3846805/?ref_=tt_urv
23 October 2017,howard.schumann,10," It is about compassion, trust, and wisdom
","Chiron, in Barry Jenkins' Oscar-winning film ""Moonlight,"" in addition to being gay and black, has to deal with drug abuse, bullying, and the lack of a supportive home environment. In contrast, in Luca Guadagnino's (""A Bigger Splash"") achingly beautiful Call Me by Your Name, 17-year-old Elio's (Timothée Chalamet, ""Love the Coopers"") life is safe, comfortable, and surrounded by love though, like Chiron, he must come to terms with his true identity. Written by three-time Oscar nominee James Ivory and adapted from the 2007 novel by Andre Aciman, Call Me by Your Name is set in the summer of 1983 where Oliver (Armie Hammer, ""Free Fire"") is an American research assistant studying with art history Professor Perlman (Michael Stuhlbarg, ""Steve Jobs"") at Perlman's gorgeous villa in Northern Italy.",/review/rw3846805/?ref_=tt_urv
12 December 2017,paulfairbanksusa,10," It happens when you least expect it
","Beauty in the midst of all the ugliness we're living in, it's like a shock. I wept like I hadn't wept in a movie since I was very young. It made me think and remember summers of my own life. It made remember sounds and smells. I was transported. The smartness, candor and gentleness of this unexpected love story goes beyond anything I've ever seen. Luca Guadagnino is rapidly becoming one my favorite directors working today. Armie Hammer completely demolished my preconceptions with a performance that is total perfection and I haven't mention Timothee Chalamet yet. No I need to dedicate the lasts paragraphs to him because his performance goes beyond perfection. I didn't know him at all. Now I' a fan. It reminded me of the first time I saw Daniel Day Lewis playing a gay punk in ""My Beautiful Launderette"" An explosion of beauty when you least expected. Thank you for that.",/review/rw3846805/?ref_=tt_urv
14 December 2017,borromeot,10," Timothee Chalamet
","I cried my eyes out. It was cleansing and reinvigorating. Timothee Chalamet is the living image of a friend from my childhood. He had a similar experience but a very different outcome and it made me think with a broken heart that if my friend had had a father like Elio's father he could have had a real chance at a happy, constructive life, instead of the agonizing pain that he went through. I hadn't though about him for years and Timothee brought him back to me with enormous power. What a beautiful, beautiful performance. Armie Hammer is a total revelation, the perfect foil for a first love. Michael Stuhlbarg introduces us to a character I had never seen on the screen before. He moved me no end, Then, of course, Luca Guadagnino. My hat to you sir. This is a film I will see many times.",/review/rw3846805/?ref_=tt_urv
5 October 2017,The-Awesome-One,10," A masterpiece that will stay with you long after the credits
","Call Me By Your Name is the kind of movie that makes you sit through the credits with tears rolling down your face, staring blankly at the screen with a lump in your throat and tightness in your chest. ",/review/rw3846805/?ref_=tt_urv
13 January 2019,punch_p,10," Call Me By Your Name is an unapologetic celebration of emotion.
","It's hard for me to talk about this film without just hurling adjectives at the page; it's tender, beautiful, sexy, hilarious and deeply moving - a romance story for the ages, directed and acted with a passionate sincerity.",/review/rw3846805/?ref_=tt_urv
2 February 2017,mcs26891,," A Cinematic Classic
","How can any review rightfully describe Call Me By Your Name? I had the immense privilege of seeing it at Sundance before 99.99% of the world, so now I am one of the select few in charge of p(r)eaching the gospel that is Call Me By Your Name. This film is simply a masterpiece, possibly the best romance film of all time, and one of the best films of all time as well.",/review/rw3846805/?ref_=tt_urv
25 August 2017,candelach,10," Sensual Italian summer
","This film is pure sensuality and emotion. You can see through the character's eyes, taste through their mouths but most importantly you feel, by God how you feel. Luca Guadagnino manages to extract the very best out of his actors: Armie Hammer's performance shows unprecedented depth and Timothee Chalamet is the essence of awe inspiring acting, this film will land him an Oscar nomination at the very least.",/review/rw3846805/?ref_=tt_urv
28 September 2019,ronakkotian,8," The power of LOVE!
",Call Me By Your Name is one of those films which doesn't feel like a film but rather a journey of self discovery which we witness and feel as if it's happening at that exact moment.,/review/rw3846805/?ref_=tt_urv
13 December 2022,Sleepin_Dragon,9," A moving love story.
","Seventeen year old Elio falls for his father's research assistant, mature American Oliver.",/review/rw3846805/?ref_=tt_urv
14 December 2018,linoayumu,10," Truly one of the best.
","It doesn't take a genius to understand nor appreciate this film. It does however, take an open mind to see and feel the beauty this film has to offer. It is perfection incarnate. Never have I been so moved by a film such as this one. It was an absolute pleasure watching it.",/review/rw3846805/?ref_=tt_urv
