Review_Date,Author,Rating,Review_Title,Review,Review_Url
11 June 2022,stefano66-665-192848,8," Not bad at all
","As I wrote in title of my review this show it's not bad at all. I don't understand the reason why there are so many bad reviews. For sure it's not a masterpiece at all but as entertainment it's good enough to spend some hours watching this show. Ya it's more on teens side probably...the soundtrack, the actors etc...it's polically correct maybe a little bit too much and it's not bad at all. The characters sometimes are a little bit ""over"" and the story too. But if u wanna pure entertainment with vampires, monsters etc give it a chance without prejudice and u will not disappointed.",/review/rw8224646/?ref_=tt_urv
12 June 2022,spotsandstripes-72861,10," Super fun!!
","I had such a fun time watching this, it's so nice to see a cheesy show that has lesbian main characters. I hate that so many people are treating it as though it has to be a masterpiece, we deserve to have our fun supernatural romances too!! It was very wattpad-y but that was honestly my favourite thing about it. The cast is superb, the lore is interesting, not to mention the lovable characters. Netflix had better give us a renewal and not cancel it like every single other wlw show they've made.",/review/rw8224646/?ref_=tt_urv
11 June 2022,smalikmarch,9," Love Moderately
","I love the 2000s teen flick approach on this. No matter what people say about that, I will stand by it. It's a teen vampire flick, it's only appropriate for it to pay homage to its successors. The hunter and prey trope is amazing, the lesbian pining approach is amazing. ""It's a cliche trope"" of course it is, it's a teen flick.",/review/rw8224646/?ref_=tt_urv
10 June 2022,dcuevas-30596,10," Super fun!
","Great mythology, acting, romance and friendship. The cast has great chemistry and the families feel like family. Super fun and campy that remind me of 2000 shows.",/review/rw8224646/?ref_=tt_urv
11 June 2022,jgbjsfz,10," First time for queer romance without the hangover tropes
","This is incredible. The first time I've seen a queer girl relationship that wasn't overly sexualised to fake-hetro Katy Perry I-kissed-a-girl vibes, and overshadowed by some great coming out story. They're here, they're queer, and they've got way bigger problems to sink their teeth into. Absolute joyride to have a good monster slasher show with protagonists I can enjoy as well.",/review/rw8224646/?ref_=tt_urv
11 June 2022,Lexipedia_26,9," Was this corny? Yes. Was I giggling and screaming the whole time? Yes
","Ok so maybe the graphics weren't the greatest and maybe the acting was a little corny and cringe, but I'll be damned to say that I was giggling and screaming at my screen every scene that cal and jul had together and for them alone I give it a 9, I said what I said.",/review/rw8224646/?ref_=tt_urv
10 June 2022,nabi21,8," Fun!
","What a fun, campy show! It's not the best TV has to offer, some lame action and a few laugh out loud lines of dialogue here and there, but I am glued to my seat! Plus, the romance between the two female leads is very sweet, not to mention both are super likable and badass! It's obvious Netflix obviously didn't give this show a big budget, and compared to the other shows and movies on the platform, I really don't understand why. It's way more interesting than some of the other originals Netflix has been producing. In any case, the show worked with what it got, and it paid off. I hope the show is renewed for season 2 with a bigger budget, definitely give the show a shot!",/review/rw8224646/?ref_=tt_urv
10 June 2022,star_hazard,8," A dash of Buffy meeting Killing Eve but focus on romance
","First off let me just say if you're going to reiterate how this is Buffy this and that then congrats you have watched what Victoria Schwab, the author of the book this was based on, intended it to be! My expectations going in here was a lot of angst and teen drama but surprisingly missing from here. I mean there's some negatives still since they are teenagers but like it's not all ""I'm going to choose bad decisions and never thinks things through because it's all about me"" type of bs.",/review/rw8224646/?ref_=tt_urv
10 June 2022,bhernandez2216,10," Never forget for first love with a Vampire
","I am absolutely falling in love again, like I fell in love with the Vampire Diaries and the Originals and also of course, Teen Wolf. First Kill tells a pretty good romantic story about a vampire Hunter who fell in love with a vampire and it does bring pretty good TVD, TO, and TW vibes. Sarah Catherine Hook and Imani Lewis are the next generation for two best actress with their amazing performances, and they've brought the best lesbian romance and best hunter monster team up, they just became the next Teen Monster filmmaking icons for this show on Netflix.",/review/rw8224646/?ref_=tt_urv
10 June 2022,amymua,10," Great Show
",Loved this!!! Such a great storyline! Very modern day Romeo and Juliet....,/review/rw8224646/?ref_=tt_urv
