Review_Date,Author,Rating,Review_Title,Review,Review_Url
17 September 2019,Stay_away_from_the_Metropol,6," A pill that's easy to swallow but difficult to enjoy
","My primary thought is that I'm happy someone made a film that shines a spotlight on a very serious problem currently becoming more common amongst sex workers. As a sex worker myself, I am exposed to the perspectives and activities of a wide array of sex workers on a daily basis. I have observed an increasing amount of sex workers who feel validated in their decisions to become con-artists, bragging proudly about robbing their own clients. While I'm happy that this is starting to be discussed in the mainstream media, that doesn't mean it's a pleasant thing to observe. It's tragic that in an era when sex work does seem to be getting to a place where it's more openly accepted, we have unabashed behavior like this which is going to make people second guess any progress we may have established thus far - it's heavily counterproductive. Overall, the movie mostly just made me feel frustrated, sad, and worried for the future - but it was the correlation to reality that I couldn't get off of my mind. I wasn't very enveloped in the world of the film itself - mostly just reminded of my worries regarding the industry and the way it's pupils and society will carry on being effected by on another from here on out.",/review/rw5118185/?ref_=tt_urv
13 November 2019,imjaredross,7," One Big Surprise
","I've seen this film getting constant hate before it's release and I honestly did not understand why and upon watching it for myself, I really don't understand. Hustlers is one of the most surprising films of the year with an intriguing true story and stellar performances with a possible career best performance from Jennifer Lopez.",/review/rw5118185/?ref_=tt_urv
14 October 2019,CANpatbuck3664,8," Lopez Steals the Show but Solid Acting and Camaraderie Makes Hustlers Entertaining
","When you're watching a movie about bad people doing bad things (gangster movies, financial crime pictures etc.) its naturally hard to sympathize with the characters. The movie has to do the extra work so you can picture walking in their shoes so you can see why the characters are doing what they're doing. My blueprint for accomplishing this (or the best template to follow) is the Martin Scorsese comedy The Wolf of Wall Street. Jordan Belfort (the protagonist played by Leonardo DiCaprio) and his buddy are TERRIBLE human beings, they're criminals, they're bigots and sexists and they don't care whose lives their ruining to get what they want (bigger parties, more women and most of all more money). But the ride is so crazy and watching them just splurge on anything and everything, its so fun that you let go of your morality just to join them on this journey. This is something that Hustlers manages to do and if this hadn't been accomplished, the movie would have dropped like a stone. The actions of Ramona (Jennifer Lopez), Destiny (Constance Wu) and their partners in crime are awful, sure their victims are @$$holes, but they're still drugging them, stealing all of their money then using their positions as strippers to shame them into not reporting them. If the genders were switched, this would be a horror movie. Luckily, the camaraderie between the girls is so strong and its so fun to watch them enjoy the fruits of their labours, you can put the morality of their actions aside and just follow them. I enjoyed watching this movie just for the performances and the vibe it exudes with these women pulling one over on ""The Man.""",/review/rw5118185/?ref_=tt_urv
21 September 2019,paul-allaer,7," J.Lo shines in gritty yet funny stripper drama
","""Hustlers"" (2019 release; 110 min.) is ""Inspired By a True Story"", we are reminded at the beginning. As the movie opens, it is ""2007"" and an Asian-American girl named Dorothy is getting ready for work at a strip club. Then a Latina woman named Ramona makes her grand entrance and does a spectacular pole dance as Fiona Apple's ""Criminal"" blasts from the speakers. Duly impressed, Dorothy reaches out to Ramona for some dancing tips, and the two hit it off. We then go to ""2014"" where we see Dorothy being interviewed by a journalist... At this point we are 10 min. into the movie, but to tell you more of the plot would spoil your viewing experience, you'll just have to see for yourself how it all plays out.",/review/rw5118185/?ref_=tt_urv
23 March 2021,HotToastyRag,3," Disgusting
","The beginning scenes of Hustlers show an un-sugar-coated view of strippers at a low-class club. In a crowded ""dressing room"", the girls talk about their bodies as the pieces of equipment they are, they aren't shy, they look used and beaten down, and the clientele and atmosphere are so sleazy, it makes you feel like you'll catch something merely by watching it. Then Jennifer Lopez shows up. She's beautiful, sexy, confident, savvy, entitled - basically, she's Jennifer Lopez.",/review/rw5118185/?ref_=tt_urv
25 September 2019,muamba_eats_toast,6," Expected more
",After seeing some of the big praise the film has had including talks of Oscar nominations for Lopez I expected a lot lot more from the film. It was still ok but reasonably good rather than anything exceptional with multiple flaws.,/review/rw5118185/?ref_=tt_urv
16 September 2019,DylanMcChillin,," Mediocre at best
","This movie wasn't the worst one that I've ever seen. That being said, it certainly wasn't the best. The problem is that the director tried too hard to make the actresses look sexy and shied too much away from character development. Each character ended up being a shallow figure whose biggest strengths were her dance moves. In this day and age I would've expected something far better.",/review/rw5118185/?ref_=tt_urv
21 April 2020,Xstal,7," 'If we don't do it someone else will'...
",Tables (and poles) well and truly turned with not altogether unpredictable consequences.,/review/rw5118185/?ref_=tt_urv
5 December 2019,CinemaClown,," The Cinematic Equivalent Of Getting A Lap Dance
","Crafted with passion, told with compassion & exhibiting a finer understanding of the subject matter to catapult itself above its counterparts and into the spotlight, Hustlers brims with an infectious charm & unbridled energy that makes it a fun & entertaining delight, and earns huge tips on the strength of its charismatic ladies.",/review/rw5118185/?ref_=tt_urv
17 September 2019,nichelsearobinson-18552,3," Expected more
","Given that I read the article written by Jessica Pressler and seen the 20/20 The Hustler documentary, the movie left me unfilled. By any means not saying what these women did was right but three women hustling rich Wall Street men out of their money was fascinating but the way this movie was told was too hollywood. Here's what I thought was missing and didn't make sense. The 20/20 documentary gave me more insight than the movie. I had more respect for these women. They were like the wolf on Wall Street, three women hustling Wall Street men out of their credit cards. But watching the movie I didn't see that. There were good laughs here and there but I walked away without a complete story. This movie had too many big names and wasn't focusing on the storytelling. If this film had did more research and took more time, this could have been bigger than wolf on Wall Street. Their story was in a continuous loop of the crime rather than getting to the root of why it really started in the first place. Working at gentleman's club is not all glamours and these women don't go after their money because of the stock market crash. This film did not have a lot substance for me to want to see again. Second movie JLo has produce that I was disappointed.",/review/rw5118185/?ref_=tt_urv
