Review_Date,Author,Rating,Review_Title,Review,Review_Url
6 June 2002,capkronos,9," This is a fine, fine film.
","I guess different people can extract different meanings from GHOST WORLD and all nail exactly why it was made. For me, it was the chronicle of that small group of people who don't, and probably never will, quite fit into this world. They're here on the fringes though, just existing in their own parallel universe, or their own ""ghost world."" Though it sounds depressing, this film is hardly a downer, it's full of humor, satire and acute observations on life. The overall production is excellent (the brightness and colors in the photography, costumes and sets is stunning)... plus it pulls off the impossible by successfully steering toward dead-on seriousness near the conclusion to drive it's point across.",/review/rw1729265/?ref_=tt_urv
30 October 2002,moonspinner55,7," Deadpan comic revulsion
","Two female high school grads plan to get jobs and hang together, but bonds become frayed and paths separate after one of the girls ends up on an unintended journey of self-discovery. From the comic-book which takes a perverse delight in celebrating the geeky side of all of us, ""Ghost World"" is profane and cynical, but also surprisingly blithe and bright. I rather enjoyed it but realize it's not for every taste. Thora Birch and Scarlett Johansson are incredibly rich and vivid in their roles (low-keyed, deadpan, but not blanks); their love-hate friendship is convincing and blessedly free of melodramatics--even they seem to cherish the personality conflicts that come up, it may give them more ammunition. As for the ending, I'm not sure whether it is ingenious or a cop-out, but it did leave me touched (in a bemused, nostalgic way). A movie with much to offer. *** from ****",/review/rw1729265/?ref_=tt_urv
31 March 2019,FrenchEddieFelson,8," Adorable advocacy on the end of adolescence and the anti-conformism
","For a few weeks, the daily life of Rebecca and Enid, two teenagers who spend their time complaining and pesting, with a decided opinion on almost everything, without any diplomatic filter. One could almost think they were educated in France, at least partially. Thus, following their 4381st perfidy of the week, they meet Seymour, a lonely middle-aged music aficionado. Surprisingly, in contact with Seymour, Enid discovers the concept of benevolence. Despite the 25-year gap, they seem connected with real affinities. In fact, the film takes place at a time when Rebecca and Enid have just graduated from high school, and what seemed to be gratuitous malice is probably more an uncontrolled anger based on the fear of leaving their adolescence to join a world they hardly appreciate: the adult society. They fear to grow up and move on. In a way, Seymour was a transition or a key milestone for Enid: the perfect guy, at the perfect time. Thanks to Seymour, Enid has matured and learned to live differently, with a significantly more open mind. The world does not revolves anymore around herself: she is now part of it. Time to take a bus to discover it! Like Jules Winnfield said during the coffee shop conversation, within ",/review/rw1729265/?ref_=tt_urv
20 January 2008,Benedict_Cumberbatch,," Waking Life
","""We graduated from high school. How totally amazing"", says a sarcastic Enid Coleslaw (Thora Birch, in the best performance of her career), at the beginning of ""Ghost World"". Enid and her best friend, Rebecca (a 15 year-old Scarlett Johansson) discuss how much they longed for their graduation day, and when it finally came, it wasn't as cheerful as they were expecting. While Rebecca finds a job and tries to move on, Enid doesn't know what to do with her life and spends most of her time with Seymour (Steve Buscemi, playing the most humane variation of all the 'losers' he's been playing his whole life, and that's why he's so great at it), a lonely older man whose biggest pleasure is collecting rare, old records.",/review/rw1729265/?ref_=tt_urv
17 January 2002,Movie-12,10," For those of us who tire of standard teen movies, here's the film to make our day. **** (out of four)
",GHOST WORLD / (2001) **** (out of four),/review/rw1729265/?ref_=tt_urv
11 June 2002,JHollis,9," Mature, intelligent and haunting (but in a good way)
","Movies that criticise the world can fall into many traps, leaving the viewer to feel jaded by the film's experience.  Ghost World's witty appraisal of 'America' successfully avoids being childishly caustic or self-important and thus emerges as one of the best films of 2001. We sympathise with Enid (the luscious Thora Birch) without being expected to completely believe that her cynical world-view is necessarily the right one. Enid's (and her best-friend Rebecca's)negativity is turned on all around them, and their obsessive need to be cool but on their own terms sees them take post-modernism to its absurd conclusion.",/review/rw1729265/?ref_=tt_urv
1 July 2004,tfrizzell,," Walking Through Your Life As Nothing Else Moves.
","Two high school outcasts (Thora Birch and Scarlett Johansson) graduate and it appears that the duo will continue to be best friends. They seek out work and a place to live, but before that they go around and make fun of seemingly everyone around them. The situations are quirky and hilarious, but soon they pull a prank on a lonely man (Steve Buscemi) that leaves Birch feeling sorry for the stranger. Thus Birch, with Johansson in tow, decide to meet Buscemi and the results are mixed at best. However the strangest of relationships starts as Birch makes it a goal to find a woman that Buscemi can date. Meanwhile Johansson accepts what she must do and starts to work at a local Starbucks. Birch, totally unsure of what she wants to do with her life (both personally and professionally), begins to drift away from her best friend just as Buscemi finds a woman he likes (Stacy Travis). Oddly Birch becomes jealous of this development and does her best to keep Buscemi single and miserable (like herself obviously). Birch struggles through with all this plus a home-life that she dislikes as her father (the priceless Bob Balaban) starts to re-create a relationship with a woman that she has always hated (the uncredited Teri Garr in a short cameo). She also spends her days taking a remedial art class so she can indeed finalize her high school diploma. ""Ghost World"" is an immensely interesting experience as Birch (best known for ""American Beauty"") and Johansson (who is an amazing young talent, just think ""Lost in Translation"") are totally believable as youngsters with quiet angst and sadness issues. Their slow divergence as the film progresses is a hard thing to view because you know that neither want that. Buscemi is amazing as a loner who mirrors the two youngsters (Birch in particular). Co-writers Terry Zwigoff (who also directed) and Daniel Clowes received Oscar nominations for a script that was actually adapted from a comic book (no kidding). This is a wonderfully smart and poignant black comedy that is arguably the best production from the teen genre. It is to the 2000s what ""Rebel Without a Cause"" was to the 1950s and what ""American Graffiti"" was to the 1970s. There are also shades of Bob Rafelson's ""Five Easy Pieces"" here. An under-rated and exceptional gem. 4.5 out of 5 stars.",/review/rw1729265/?ref_=tt_urv
9 October 2017,planktonrules,7," Two angry, sullen hipsters....who try very hard not to try.
","""Ghost World"" is not a film for everyone. Its characters are certainly unusual but not necessarily crowd-pleasers. It also features a vague ending...something which most film viewers would not appreciate.",/review/rw1729265/?ref_=tt_urv
1 September 2007,lauraeileen894,," An excellent parable about disaffected youth
","Terry Zwigoff has created an excellent parable about disaffected youth in ""Ghost World"". The character of Enid (memorably played by Thora Birch) is a sardonic iconoclast, and a bit of a hero to me. She has her own style, speaks her razor sharp mind, and truly doesn't care what people think about her. Picture a female, proactive version of Holden Caulfield. I desperately wish I were more like Enid when I was in high school. ",/review/rw1729265/?ref_=tt_urv
25 June 2001,awalter1,8," Join the human race... or not.
","Best friends Enid and Rebecca graduate from high school and find themselves forced to enter the real world. Enid (more than Rebecca) is a counter-culture rebel who hates this world of frauds and losers, and she subsequently has trouble getting and keeping a job. One day the girls decide to play a prank on a lonely middle-aged loser named Seymour. Their plan backfires, though, and Enid becomes a little obsessed with the man. First she feels sorry for Seymour, then he becomes something of a hero to her, and she resolves to help him at least find a girlfriend. ""Maybe I just can't stand the thought of a world where a guy like you can't get a date,"" she tells him. Meanwhile, Enid seems to be avoiding the challenge of getting her own life started.",/review/rw1729265/?ref_=tt_urv
