Review_Date,Author,Rating,Review_Title,Review,Review_Url
10 November 2002,bsmith5552,7," Jack Ryan Saves the World!
","""The Sum of All Fears"" is the latest film in the Jack Ryan series as written by Tom Clancy. In the previous films, Ryan was presented as a family man and played by Alex Baldwin and Harrison Ford. This time around we are asked to accept a Ryan who is 25 years younger (Ben Affleck), unmarried and a nerdy, wet behind the ears CIA historian. The age difference would have been more believable had the film been set in 1973, when the story begins, rather than the present.",/review/rw1109012/?ref_=tt_urv
10 March 2007,eastbergholt2002,8," Well Made Thriller
","Sum of All Fears is an enjoyable thriller and the type of movie the Hollywood studios have always been good at making. It's slick, expensive-looking, well-acted and two hours of far-fetched fun. Ben Affleck plays CIA Agent and superman Jack Ryan PhD. Ryan is a former marine, linguist and all-round polymath who saves the world from impending disaster. Affleck is youthful and convincing as Ryan and makes him seem fallible and likable. Ryan becomes a confidant of the wise and sensible CIA Director Bill Cabot (Morgan Freeman) and acquires a beautiful and successful girlfriend (Bridget Moynahan) who believes he's a historian. ",/review/rw1109012/?ref_=tt_urv
31 August 2014,ma-cortes,7," Exciting and thrilling installment in which a young analyst , Jack Ryan, must supply advise to US President , then goes into action
","Jack Ryan's entry with lots of noisy action , thrills , chills , tension and amazing thriller . This blockbuster is an acceptable adaptation of the novel by Tom Clancy , companion to other prior renditions . The title is paraphrased from a Winston Churchill speech; ""Why, you can take the most gallant sailor, the most intrepid airman or the most audacious soldier, put them at a table together - what do you get? The sum of their fears."" It deals with CIA analyst Jack Ryan (Ben Affleck) along with a ranking member (Morgan Freeman) of Presidential administration must thwart the plans of a terrorist faction that threatens to induce a catastrophic conflict between the United States and Russia's newly elected president by detonating a nuclear weapon at a football game in Baltimore. As there are 27,000 Nuclear Weapons and One Is Missing . Now Ryan goes back in action for the most vital assignment of his life : to save the President (James Cromwell) and the nation .",/review/rw1109012/?ref_=tt_urv
11 June 2002,svannozzi,," Forget that you have read the book.
","This movie is very good and worth the money to go see. IF... you are able to forget that you read a book by the same title who's author was the executive director of the film.  If you are able to separate the two you will enjoy the film.  I found that I was able to enjoy the film but had long discussions and was bothered by many inconsistencies from the book.  The location of the action (Baltimore), the time (2002), the time the activity took place in Jack Ryan's life (early), the level of his position within the CIA (low), the lack of any other fears to sum up, all were very different from the book and while I was able to enjoy the film as I watched it is has been bothering me more as I reflect on it.",/review/rw1109012/?ref_=tt_urv
2 January 2017,Leofwine_draca,7," A snappy and surprising thriller
","Here's a fresh interpretation of a popular Tom Clancy novel, which mixes CIA jargon with presidential anguish into a pleasing, pulse-pounding brew. The impact of the 9/11 disaster is readily apparent in this suspenseful movie which is part disaster-film itself. The old trick of US vs. Russia (but not really) is familiar territory, but through crisp writing and engaging characters the story is given time to develop, strengthening the clichés and making everything very watchable. A strong budget leads to some very effective effects sequences, and cinematography and score are both excellent. The cast is also populated with some strong character actors – Liev Schrieber has never been better than here, as a spy; Morgan Freeman does his 'wise old mentor' role with skill, wit and relish; James Cromwell makes for a very human and believable president; even the usually bland Ben Affleck comes out good, having followed in Harrison Ford's shoes as the heroic Jack Ryan.",/review/rw1109012/?ref_=tt_urv
23 December 2002,MovieAddict2016,7," Read the Book...
","""The Sum of All Fears,"" based on the # 1 New York Times bestselling novel by Tom Clancy, features Ben Affleck as Jack Ryan, a historian who somehow or another, by writing a paper on the new Russian leader, is spotted by the CIA Deputy Director (Morgan Freeman). ",/review/rw1109012/?ref_=tt_urv
5 July 2003,mrchaos33,," Holes big enough to fly a jet through
","This is a ridiculous movie. First the casting of Ben Affleck as Jack Ryan just doesn't make sense, chronologically (he's already been played by the much older Harrison Ford and Alec Baldwin) or physically - Affleck just isn't commanding enough for the role. Secondly the movie is simply capitalizing on North America's new found fear of terrorism on home turf, and thirdly the screenwriter Paul Attanasio took huge liberties with the Tom Clancy novel, including, in a stroke of misguided political correctness, changing the bad guys from Middle Eastern to Nazis. Of course everyone hates Nazis, so the filmmakers are not going to offend anyone (Hollywood finds it so hard to get good hateful villains now that Russia is no longer communist) but are we to believe that there is a worldwide conspiracy by super-rich and powerful Nazis to pit two world powers against one another? And how, after the blast (yes, there is a huge atomic explosion), does Ben Affleck piece together this entire conspiracy using only a cell phone and a palm pilot? I'm willing to suspend disbelief in most movies, but this movie has holes big enough to fly a jet through.",/review/rw1109012/?ref_=tt_urv
26 June 2002,preppy-3,7," Not bad
","Russia and the U.S. are on the verge of a nuclear war all masterminded by a terrorist.  Jack Ryan (Ben Affleck) knows, but can he convince both the governments?",/review/rw1109012/?ref_=tt_urv
28 May 2007,ccthemovieman-1,2," A Disgrace To Clancy's Book & An Insult To All Of Us
","This film was a far cry from the book by Tom Clancy, who wrote about Al Queda terrorists reading a set off a nuclear bomb in America. The latter must have been sick watching this movie and typically-Left Wing Hollywood changed the script to being one with Nazis as the villains instead.",/review/rw1109012/?ref_=tt_urv
30 October 2002,Undead_Master,10," Enthralling film. LOVED IT
","After reading several negative reviews, I was shocked when I finally saw `The sum of all fears'. I simply LOVED this movie . It was totally thrilling. It had all the ingredients of a great adventure and to top it off it was visually poetic and emotionally stirring. ",/review/rw1109012/?ref_=tt_urv
